|dates|Pulaski_Arkansas_UnitedStates.JHU_ConfirmedCases.data|Pulaski_Arkansas_UnitedStates.JHU_ConfirmedCases.missing|Pulaski_Arkansas_UnitedStates.NYT_ConfirmedCases.data|Pulaski_Arkansas_UnitedStates.NYT_ConfirmedCases.missing|Pulaski_Arkansas_UnitedStates.JHU_ConfirmedDeaths.data|Pulaski_Arkansas_UnitedStates.JHU_ConfirmedDeaths.missing|Pulaski_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.data|Pulaski_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|58289.0|0|58289.0|0|896.0|0|0.0|100
0|2021-10-18|58303.0|0|58303.0|0|896.0|0|0.0|100
0|2021-10-19|58358.0|0|58358.0|0|900.0|0|0.0|100
0|2021-10-20|58410.0|0|58410.0|0|901.0|0|0.0|100
0|2021-10-21|58446.0|0|58446.0|0|900.0|0|0.0|100
0|2021-10-22|58503.0|0|58503.0|0|902.0|0|0.0|100
0|2021-10-23|58544.0|0|58544.0|0|902.0|0|0.0|100
0|2021-10-24|58567.0|0|58567.0|0|902.0|0|0.0|100
0|2021-10-25|58595.0|0|58595.0|0|902.0|0|0.0|100
0|2021-10-26|58651.0|0|58651.0|0|905.0|0|0.0|100
0|2021-10-27|58690.0|0|58690.0|0|908.0|0|0.0|100
0|2021-10-28|58725.0|0|58725.0|0|909.0|0|0.0|100
0|2021-10-29|58766.0|0|58766.0|0|908.0|0|0.0|100
0|2021-10-30|58798.0|0|58798.0|0|909.0|0|0.0|100
0|2021-10-31|58826.0|0|58826.0|0|909.0|0|0.0|100
0|2021-11-01|58841.0|0|58841.0|0|909.0|0|0.0|100
0|2021-11-02|58905.0|0|58905.0|0|914.0|0|0.0|100
0|2021-11-03|58940.0|0|58940.0|0|916.0|0|0.0|100
0|2021-11-04|58971.0|0|58971.0|0|916.0|0|0.0|100
0|2021-11-05|59017.0|0|59017.0|0|917.0|0|0.0|100
0|2021-11-06|59062.0|0|59062.0|0|917.0|0|0.0|100
0|2021-11-07|59088.0|0|59088.0|0|918.0|0|0.0|100
0|2021-11-08|59088.0|0|59102.0|0|918.0|0|0.0|100
0|2021-11-09|59171.0|0|59171.0|0|919.0|0|0.0|100
0|2021-11-10|59214.0|0|59214.0|0|921.0|0|0.0|100
0|2021-11-11|59256.0|0|59256.0|0|923.0|0|0.0|100
0|2021-11-12|59301.0|0|59301.0|0|923.0|0|0.0|100
0|2021-11-13|59345.0|0|59345.0|0|924.0|0|0.0|100
