|dates|Ziebach_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Ziebach_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Ziebach_SouthDakota_UnitedStates.Male_Total_Population.data|Ziebach_SouthDakota_UnitedStates.Male_Total_Population.missing|Ziebach_SouthDakota_UnitedStates.Female_Total_Population.data|Ziebach_SouthDakota_UnitedStates.Female_Total_Population.missing|Ziebach_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Ziebach_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-10-18|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-10-19|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-10-20|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-10-21|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-10-22|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-10-23|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-10-24|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-10-25|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-10-26|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-10-27|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-10-28|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-10-29|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-10-30|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-10-31|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-11-01|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-11-02|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-11-03|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-11-04|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-11-05|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-11-06|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-11-07|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-11-08|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-11-09|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-11-10|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-11-11|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-11-12|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-11-13|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-11-14|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-11-15|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-11-16|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-11-17|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-11-18|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-11-19|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-11-20|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-11-21|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-11-22|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-11-23|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-11-24|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-11-25|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-11-26|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-11-27|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-11-28|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-11-29|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-11-30|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-12-01|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-12-02|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-12-03|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-12-04|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-12-05|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-12-06|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-12-07|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-12-08|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-12-09|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-12-10|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-12-11|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-12-12|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-12-13|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-12-14|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-12-15|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-12-16|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-12-17|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-12-18|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-12-19|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-12-20|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-12-21|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-12-22|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-12-23|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-12-24|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-12-25|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-12-26|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-12-27|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-12-28|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-12-29|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-12-30|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2021-12-31|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2022-01-01|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2022-01-02|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2022-01-03|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2022-01-04|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2022-01-05|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2022-01-06|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2022-01-07|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2022-01-08|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2022-01-09|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2022-01-10|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2022-01-11|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2022-01-12|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2022-01-13|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2022-01-14|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2022-01-15|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2022-01-16|263.0|0|1369.0|0|1373.0|0|774.0|0
0|2022-01-17|263.0|0|1369.0|0|1373.0|0|774.0|0
