|dates|SantaFe_NewMexico_UnitedStates.JHU_ConfirmedCases.data|SantaFe_NewMexico_UnitedStates.JHU_ConfirmedCases.missing|SantaFe_NewMexico_UnitedStates.NYT_ConfirmedCases.data|SantaFe_NewMexico_UnitedStates.NYT_ConfirmedCases.missing|SantaFe_NewMexico_UnitedStates.JHU_ConfirmedDeaths.data|SantaFe_NewMexico_UnitedStates.JHU_ConfirmedDeaths.missing|SantaFe_NewMexico_UnitedStates.JHU_ConfirmedRecoveries.data|SantaFe_NewMexico_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|12838.0|0|13062.0|0|167.0|0|0.0|100
0|2021-10-18|12904.0|0|13128.0|0|167.0|0|0.0|100
0|2021-10-19|12923.0|0|13147.0|0|167.0|0|0.0|100
0|2021-10-20|12941.0|0|13165.0|0|167.0|0|0.0|100
0|2021-10-21|12978.0|0|13202.0|0|167.0|0|0.0|100
0|2021-10-22|13013.0|0|13237.0|0|167.0|0|0.0|100
0|2021-10-23|13013.0|0|13237.0|0|167.0|0|0.0|100
0|2021-10-24|13013.0|0|13237.0|0|167.0|0|0.0|100
0|2021-10-25|13090.0|0|13314.0|0|168.0|0|0.0|100
0|2021-10-26|13118.0|0|13342.0|0|169.0|0|0.0|100
0|2021-10-27|13157.0|0|13381.0|0|170.0|0|0.0|100
0|2021-10-28|13198.0|0|13422.0|0|170.0|0|0.0|100
0|2021-10-29|13232.0|0|13456.0|0|171.0|0|0.0|100
0|2021-10-30|13232.0|0|13456.0|0|171.0|0|0.0|100
0|2021-10-31|13232.0|0|13456.0|0|171.0|0|0.0|100
0|2021-11-01|13334.0|0|13558.0|0|171.0|0|0.0|100
0|2021-11-02|13361.0|0|13585.0|0|171.0|0|0.0|100
0|2021-11-03|13408.0|0|13632.0|0|172.0|0|0.0|100
0|2021-11-04|13467.0|0|13691.0|0|172.0|0|0.0|100
0|2021-11-05|13526.0|0|13750.0|0|173.0|0|0.0|100
0|2021-11-06|13526.0|0|13750.0|0|173.0|0|0.0|100
0|2021-11-07|13526.0|0|13750.0|0|173.0|0|0.0|100
0|2021-11-08|13681.0|0|13912.0|0|174.0|0|0.0|100
0|2021-11-09|13723.0|0|13954.0|0|175.0|0|0.0|100
0|2021-11-10|13723.0|0|13986.0|0|175.0|0|0.0|100
0|2021-11-11|13755.0|0|13986.0|0|175.0|0|0.0|100
0|2021-11-12|13917.0|0|14148.0|0|175.0|0|0.0|100
0|2021-11-13|13917.0|0|14148.0|0|175.0|0|0.0|100
0|2021-11-14|13917.0|0|14148.0|0|175.0|0|0.0|100
0|2021-11-15|14061.0|0|14292.0|0|175.0|0|0.0|100
0|2021-11-16|14093.0|0|14324.0|0|175.0|0|0.0|100
0|2021-11-17|14121.0|0|14352.0|0|175.0|0|0.0|100
0|2021-11-18|14187.0|0|14418.0|0|177.0|0|0.0|100
0|2021-11-19|14290.0|0|14521.0|0|180.0|0|0.0|100
0|2021-11-20|14290.0|0|14521.0|0|180.0|0|0.0|100
0|2021-11-21|14290.0|0|14521.0|0|180.0|0|0.0|100
0|2021-11-22|14531.0|0|14762.0|0|180.0|0|0.0|100
0|2021-11-23|14568.0|0|14799.0|0|181.0|0|0.0|100
0|2021-11-24|14627.0|0|14858.0|0|181.0|0|0.0|100
0|2021-11-25|14627.0|0|14858.0|0|181.0|0|0.0|100
0|2021-11-26|14627.0|0|14858.0|0|181.0|0|0.0|100
0|2021-11-27|14627.0|0|14858.0|0|181.0|0|0.0|100
0|2021-11-28|14627.0|0|14858.0|0|181.0|0|0.0|100
0|2021-11-29|14885.0|0|15116.0|0|183.0|0|0.0|100
0|2021-11-30|14930.0|0|15161.0|0|184.0|0|0.0|100
0|2021-12-01|14984.0|0|15215.0|0|184.0|0|0.0|100
0|2021-12-02|15079.0|0|15310.0|0|184.0|0|0.0|100
0|2021-12-03|15079.0|0|15364.0|0|184.0|0|0.0|100
0|2021-12-04|15186.0|0|15417.0|0|185.0|0|0.0|100
0|2021-12-05|15186.0|0|15417.0|0|185.0|0|0.0|100
0|2021-12-06|15360.0|0|15593.0|0|185.0|0|0.0|100
0|2021-12-07|15391.0|0|15624.0|0|185.0|0|0.0|100
0|2021-12-08|15465.0|0|15698.0|0|185.0|0|0.0|100
0|2021-12-09|15561.0|0|15794.0|0|185.0|0|0.0|100
0|2021-12-10|15641.0|0|15834.0|0|187.0|0|0.0|100
0|2021-12-11|15641.0|0|15874.0|0|187.0|0|0.0|100
0|2021-12-12|15641.0|0|15874.0|0|187.0|0|0.0|100
0|2021-12-13|15767.0|0|16000.0|0|188.0|0|0.0|100
0|2021-12-14|15767.0|0|16011.0|0|188.0|0|0.0|100
0|2021-12-15|15835.0|0|16068.0|0|190.0|0|0.0|100
0|2021-12-16|15835.0|0|16102.0|0|190.0|0|0.0|100
0|2021-12-17|16003.0|0|16135.0|0|191.0|0|0.0|100
0|2021-12-18|16003.0|0|16236.0|0|191.0|0|0.0|100
0|2021-12-19|16003.0|0|16236.0|0|191.0|0|0.0|100
0|2021-12-20|16209.0|0|16442.0|0|192.0|0|0.0|100
0|2021-12-21|16243.0|0|16476.0|0|193.0|0|0.0|100
0|2021-12-22|16282.0|0|16515.0|0|195.0|0|0.0|100
0|2021-12-23|16366.0|0|16599.0|0|195.0|0|0.0|100
0|2021-12-24|16366.0|0|16599.0|0|195.0|0|0.0|100
0|2021-12-25|16366.0|0|16599.0|0|195.0|0|0.0|100
0|2021-12-26|16366.0|0|16599.0|0|195.0|0|0.0|100
0|2021-12-27|16611.0|0|16844.0|0|196.0|0|0.0|100
0|2021-12-28|16649.0|0|16882.0|0|198.0|0|0.0|100
