|dates|Ada_Idaho_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Ada_Idaho_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Ada_Idaho_UnitedStates.Male_Total_Population.data|Ada_Idaho_UnitedStates.Male_Total_Population.missing|Ada_Idaho_UnitedStates.Female_Total_Population.data|Ada_Idaho_UnitedStates.Female_Total_Population.missing|Ada_Idaho_UnitedStates.MaleAndFemale_Under18_Population.data|Ada_Idaho_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-10-18|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-10-19|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-10-20|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-10-21|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-10-22|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-10-23|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-10-24|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-10-25|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-10-26|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-10-27|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-10-28|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-10-29|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-10-30|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-10-31|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-11-01|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-11-02|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-11-03|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-11-04|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-11-05|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-11-06|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-11-07|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-11-08|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-11-09|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-11-10|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-11-11|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-11-12|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-11-13|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-11-14|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-11-15|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-11-16|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-11-17|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-11-18|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-11-19|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-11-20|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-11-21|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-11-22|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-11-23|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-11-24|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-11-25|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-11-26|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-11-27|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-11-28|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-11-29|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-11-30|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-12-01|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-12-02|67792.0|0|235266.0|0|234700.0|0|111737.0|0
