|dates|Comanche_Kansas_UnitedStates.JHU_ConfirmedCases.data|Comanche_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Comanche_Kansas_UnitedStates.NYT_ConfirmedCases.data|Comanche_Kansas_UnitedStates.NYT_ConfirmedCases.missing|Comanche_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Comanche_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Comanche_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Comanche_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|247.0|0|247.0|0|11.0|0|0.0|100
0|2021-10-18|251.0|0|251.0|0|11.0|0|0.0|100
0|2021-10-19|251.0|0|251.0|0|11.0|0|0.0|100
0|2021-10-20|263.0|0|263.0|0|12.0|0|0.0|100
0|2021-10-21|263.0|0|263.0|0|12.0|0|0.0|100
0|2021-10-22|271.0|0|271.0|0|12.0|0|0.0|100
0|2021-10-23|271.0|0|271.0|0|12.0|0|0.0|100
0|2021-10-24|271.0|0|271.0|0|12.0|0|0.0|100
0|2021-10-25|281.0|0|281.0|0|12.0|0|0.0|100
0|2021-10-26|281.0|0|281.0|0|12.0|0|0.0|100
0|2021-10-27|290.0|0|290.0|0|12.0|0|0.0|100
0|2021-10-28|290.0|0|290.0|0|12.0|0|0.0|100
0|2021-10-29|296.0|0|296.0|0|12.0|0|0.0|100
0|2021-10-30|296.0|0|296.0|0|12.0|0|0.0|100
0|2021-10-31|296.0|0|296.0|0|12.0|0|0.0|100
0|2021-11-01|302.0|0|302.0|0|12.0|0|0.0|100
0|2021-11-02|302.0|0|302.0|0|12.0|0|0.0|100
0|2021-11-03|308.0|0|308.0|0|12.0|0|0.0|100
0|2021-11-04|308.0|0|308.0|0|12.0|0|0.0|100
0|2021-11-05|309.0|0|309.0|0|12.0|0|0.0|100
0|2021-11-06|309.0|0|309.0|0|12.0|0|0.0|100
0|2021-11-07|309.0|0|309.0|0|12.0|0|0.0|100
0|2021-11-08|309.0|0|309.0|0|13.0|0|0.0|100
0|2021-11-09|309.0|0|309.0|0|13.0|0|0.0|100
0|2021-11-10|309.0|0|315.0|0|13.0|0|0.0|100
0|2021-11-11|315.0|0|315.0|0|13.0|0|0.0|100
0|2021-11-12|318.0|0|318.0|0|13.0|0|0.0|100
0|2021-11-13|318.0|0|318.0|0|13.0|0|0.0|100
0|2021-11-14|318.0|0|318.0|0|13.0|0|0.0|100
0|2021-11-15|319.0|0|319.0|0|13.0|0|0.0|100
0|2021-11-16|319.0|0|319.0|0|13.0|0|0.0|100
0|2021-11-17|323.0|0|323.0|0|13.0|0|0.0|100
0|2021-11-18|323.0|0|323.0|0|13.0|0|0.0|100
0|2021-11-19|325.0|0|325.0|0|13.0|0|0.0|100
0|2021-11-20|325.0|0|325.0|0|13.0|0|0.0|100
0|2021-11-21|325.0|0|325.0|0|13.0|0|0.0|100
0|2021-11-22|325.0|0|325.0|0|13.0|0|0.0|100
0|2021-11-23|325.0|0|325.0|0|13.0|0|0.0|100
0|2021-11-24|325.0|0|329.0|0|13.0|0|0.0|100
0|2021-11-25|329.0|0|329.0|0|13.0|0|0.0|100
0|2021-11-26|329.0|0|329.0|0|13.0|0|0.0|100
0|2021-11-27|329.0|0|329.0|0|13.0|0|0.0|100
0|2021-11-28|329.0|0|329.0|0|13.0|0|0.0|100
0|2021-11-29|331.0|0|331.0|0|13.0|0|0.0|100
0|2021-11-30|331.0|0|331.0|0|13.0|0|0.0|100
0|2021-12-01|334.0|0|334.0|0|13.0|0|0.0|100
0|2021-12-02|334.0|0|334.0|0|13.0|0|0.0|100
0|2021-12-03|334.0|0|339.0|0|13.0|0|0.0|100
0|2021-12-04|339.0|0|339.0|0|13.0|0|0.0|100
0|2021-12-05|339.0|0|339.0|0|13.0|0|0.0|100
0|2021-12-06|343.0|0|343.0|0|13.0|0|0.0|100
0|2021-12-07|343.0|0|343.0|0|13.0|0|0.0|100
0|2021-12-08|345.0|0|345.0|0|13.0|0|0.0|100
0|2021-12-09|345.0|0|345.0|0|13.0|0|0.0|100
0|2021-12-10|345.0|0|345.0|0|13.0|0|0.0|100
0|2021-12-11|345.0|0|345.0|0|13.0|0|0.0|100
0|2021-12-12|345.0|0|345.0|0|13.0|0|0.0|100
0|2021-12-13|346.0|0|346.0|0|13.0|0|0.0|100
