|dates|Allegan_Michigan_UnitedStates.BLS_EmployedPopulation.data|Allegan_Michigan_UnitedStates.BLS_EmployedPopulation.missing|Allegan_Michigan_UnitedStates.BLS_UnemployedPopulation.data|Allegan_Michigan_UnitedStates.BLS_UnemployedPopulation.missing|Allegan_Michigan_UnitedStates.BLS_UnemploymentRate.data|Allegan_Michigan_UnitedStates.BLS_UnemploymentRate.missing|Allegan_Michigan_UnitedStates.BLS_LaborForcePopulation.data|Allegan_Michigan_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-12-19|57811.0|0|2888.0|0|4.757903754592332|0|60699.0|0
0|2021-12-20|57811.0|0|2888.0|0|4.757903754592332|0|60699.0|0
0|2021-12-21|57811.0|0|2888.0|0|4.757903754592332|0|60699.0|0
0|2021-12-22|57811.0|0|2888.0|0|4.757903754592332|0|60699.0|0
0|2021-12-23|57811.0|0|2888.0|0|4.757903754592332|0|60699.0|0
0|2021-12-24|57811.0|0|2888.0|0|4.757903754592332|0|60699.0|0
0|2021-12-25|57811.0|0|2888.0|0|4.757903754592332|0|60699.0|0
0|2021-12-26|57811.0|0|2888.0|0|4.757903754592332|0|60699.0|0
0|2021-12-27|57811.0|0|2888.0|0|4.757903754592332|0|60699.0|0
0|2021-12-28|57811.0|0|2888.0|0|4.757903754592332|0|60699.0|0
0|2021-12-29|57811.0|0|2888.0|0|4.757903754592332|0|60699.0|0
0|2021-12-30|57811.0|0|2888.0|0|4.757903754592332|0|60699.0|0
0|2021-12-31|57811.0|0|2888.0|0|4.757903754592332|0|60699.0|0
0|2022-01-01|57811.0|0|2888.0|0|4.757903754592332|0|60699.0|0
0|2022-01-02|57811.0|0|2888.0|0|4.757903754592332|0|60699.0|0
0|2022-01-03|57811.0|0|2888.0|0|4.757903754592332|0|60699.0|0
0|2022-01-04|57811.0|0|2888.0|0|4.757903754592332|0|60699.0|0
0|2022-01-05|57811.0|0|2888.0|0|4.757903754592332|0|60699.0|0
0|2022-01-06|57811.0|0|2888.0|0|4.757903754592332|0|60699.0|0
