|dates|Brown_Illinois_UnitedStates.JHU_ConfirmedCases.data|Brown_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Brown_Illinois_UnitedStates.NYT_ConfirmedCases.data|Brown_Illinois_UnitedStates.NYT_ConfirmedCases.missing|Brown_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Brown_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Brown_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Brown_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1058.0|0|1058.0|0|9.0|0|0.0|100
0|2021-10-18|1064.0|0|1064.0|0|10.0|0|0.0|100
0|2021-10-19|1065.0|0|1065.0|0|10.0|0|0.0|100
0|2021-10-20|1065.0|0|1065.0|0|10.0|0|0.0|100
0|2021-10-21|1066.0|0|1066.0|0|10.0|0|0.0|100
0|2021-10-22|1066.0|0|1066.0|0|10.0|0|0.0|100
0|2021-10-23|1066.0|0|1066.0|0|10.0|0|0.0|100
0|2021-10-24|1066.0|0|1066.0|0|10.0|0|0.0|100
0|2021-10-25|1071.0|0|1071.0|0|10.0|0|0.0|100
0|2021-10-26|1071.0|0|1071.0|0|10.0|0|0.0|100
0|2021-10-27|1071.0|0|1071.0|0|10.0|0|0.0|100
0|2021-10-28|1074.0|0|1074.0|0|10.0|0|0.0|100
0|2021-10-29|1074.0|0|1074.0|0|11.0|0|0.0|100
0|2021-10-30|1074.0|0|1074.0|0|11.0|0|0.0|100
0|2021-10-31|1074.0|0|1074.0|0|11.0|0|0.0|100
0|2021-11-01|1074.0|0|1074.0|0|11.0|0|0.0|100
0|2021-11-02|1076.0|0|1076.0|0|11.0|0|0.0|100
0|2021-11-03|1076.0|0|1076.0|0|11.0|0|0.0|100
0|2021-11-04|1082.0|0|1082.0|0|11.0|0|0.0|100
0|2021-11-05|1085.0|0|1085.0|0|11.0|0|0.0|100
0|2021-11-06|1085.0|0|1085.0|0|11.0|0|0.0|100
0|2021-11-07|1085.0|0|1085.0|0|11.0|0|0.0|100
0|2021-11-08|1087.0|0|1087.0|0|11.0|0|0.0|100
0|2021-11-09|1088.0|0|1088.0|0|11.0|0|0.0|100
0|2021-11-10|1088.0|0|1088.0|0|11.0|0|0.0|100
0|2021-11-11|1088.0|0|1088.0|0|11.0|0|0.0|100
0|2021-11-12|1088.0|0|1088.0|0|11.0|0|0.0|100
0|2021-11-13|1088.0|0|1088.0|0|11.0|0|0.0|100
0|2021-11-14|1088.0|0|1088.0|0|11.0|0|0.0|100
0|2021-11-15|1088.0|0|1088.0|0|11.0|0|0.0|100
0|2021-11-16|1090.0|0|1090.0|0|12.0|0|0.0|100
0|2021-11-17|1092.0|0|1092.0|0|12.0|0|0.0|100
0|2021-11-18|1092.0|0|1092.0|0|12.0|0|0.0|100
0|2021-11-19|1092.0|0|1092.0|0|12.0|0|0.0|100
0|2021-11-20|1092.0|0|1092.0|0|12.0|0|0.0|100
0|2021-11-21|1092.0|0|1092.0|0|12.0|0|0.0|100
0|2021-11-22|1093.0|0|1093.0|0|12.0|0|0.0|100
0|2021-11-23|1096.0|0|1096.0|0|12.0|0|0.0|100
0|2021-11-24|1097.0|0|1097.0|0|12.0|0|0.0|100
0|2021-11-25|1097.0|0|1097.0|0|12.0|0|0.0|100
0|2021-11-26|1097.0|0|1097.0|0|12.0|0|0.0|100
0|2021-11-27|1097.0|0|1097.0|0|12.0|0|0.0|100
0|2021-11-28|1097.0|0|1097.0|0|12.0|0|0.0|100
0|2021-11-29|1110.0|0|1110.0|0|12.0|0|0.0|100
0|2021-11-30|1113.0|0|1113.0|0|12.0|0|0.0|100
0|2021-12-01|1116.0|0|1116.0|0|12.0|0|0.0|100
0|2021-12-02|1116.0|0|1120.0|0|12.0|0|0.0|100
0|2021-12-03|1125.0|0|1125.0|0|12.0|0|0.0|100
0|2021-12-04|1125.0|0|1125.0|0|12.0|0|0.0|100
0|2021-12-05|1125.0|0|1125.0|0|12.0|0|0.0|100
0|2021-12-06|1138.0|0|1138.0|0|12.0|0|0.0|100
0|2021-12-07|1141.0|0|1141.0|0|12.0|0|0.0|100
0|2021-12-08|1143.0|0|1143.0|0|12.0|0|0.0|100
0|2021-12-09|1152.0|0|1152.0|0|12.0|0|0.0|100
0|2021-12-10|1156.0|0|1156.0|0|12.0|0|0.0|100
0|2021-12-11|1156.0|0|1156.0|0|12.0|0|0.0|100
0|2021-12-12|1156.0|0|1156.0|0|12.0|0|0.0|100
0|2021-12-13|1165.0|0|1165.0|0|12.0|0|0.0|100
0|2021-12-14|1165.0|0|1170.0|0|12.0|0|0.0|100
0|2021-12-15|1171.0|0|1171.0|0|12.0|0|0.0|100
0|2021-12-16|1175.0|0|1175.0|0|12.0|0|0.0|100
0|2021-12-17|1176.0|0|1176.0|0|13.0|0|0.0|100
0|2021-12-18|1176.0|0|1176.0|0|13.0|0|0.0|100
0|2021-12-19|1176.0|0|1176.0|0|13.0|0|0.0|100
0|2021-12-20|1182.0|0|1182.0|0|13.0|0|0.0|100
0|2021-12-21|1190.0|0|1190.0|0|13.0|0|0.0|100
0|2021-12-22|1194.0|0|1194.0|0|13.0|0|0.0|100
0|2021-12-23|1196.0|0|1196.0|0|13.0|0|0.0|100
0|2021-12-24|1196.0|0|1196.0|0|13.0|0|0.0|100
0|2021-12-25|1196.0|0|1196.0|0|13.0|0|0.0|100
0|2021-12-26|1196.0|0|1196.0|0|13.0|0|0.0|100
0|2021-12-27|1201.0|0|1201.0|0|13.0|0|0.0|100
0|2021-12-28|1205.0|0|1205.0|0|13.0|0|0.0|100
0|2021-12-29|1208.0|0|1208.0|0|13.0|0|0.0|100
0|2021-12-30|1216.0|0|1216.0|0|13.0|0|0.0|100
0|2021-12-31|1216.0|0|1216.0|0|13.0|0|0.0|100
0|2022-01-01|1216.0|0|1216.0|0|13.0|0|0.0|100
0|2022-01-02|1216.0|0|1216.0|0|13.0|0|0.0|100
0|2022-01-03|1229.0|0|1229.0|0|13.0|0|0.0|100
0|2022-01-04|1236.0|0|1236.0|0|13.0|0|0.0|100
0|2022-01-05|1247.0|0|1247.0|0|13.0|0|0.0|100
0|2022-01-06|1258.0|0|1258.0|0|13.0|0|0.0|100
0|2022-01-07|1280.0|0|1280.0|0|13.0|0|0.0|100
0|2022-01-08|1280.0|0|1280.0|0|13.0|0|0.0|100
0|2022-01-09|1280.0|0|1280.0|0|13.0|0|0.0|100
0|2022-01-10|1315.0|0|1315.0|0|13.0|0|0.0|100
0|2022-01-11|1336.0|0|1336.0|0|13.0|0|0.0|100
0|2022-01-12|1367.0|0|1367.0|0|13.0|0|0.0|100
0|2022-01-13|1367.0|0|1380.0|0|13.0|0|0.0|100
0|2022-01-14|1398.0|0|1398.0|0|13.0|0|0.0|100
0|2022-01-15|1398.0|0|1398.0|0|13.0|0|0.0|100
0|2022-01-16|1398.0|0|1398.0|0|13.0|0|0.0|100
0|2022-01-17|1398.0|0|0.0|100|13.0|0|0.0|100
