|dates|Putnam_NewYork_UnitedStates.JHU_ConfirmedCases.data|Putnam_NewYork_UnitedStates.JHU_ConfirmedCases.missing|Putnam_NewYork_UnitedStates.NYT_ConfirmedCases.data|Putnam_NewYork_UnitedStates.NYT_ConfirmedCases.missing|Putnam_NewYork_UnitedStates.JHU_ConfirmedDeaths.data|Putnam_NewYork_UnitedStates.JHU_ConfirmedDeaths.missing|Putnam_NewYork_UnitedStates.JHU_ConfirmedRecoveries.data|Putnam_NewYork_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|12420.0|0|12420.0|0|96.0|0|0.0|100
0|2021-10-18|12439.0|0|12439.0|0|96.0|0|0.0|100
0|2021-10-19|12448.0|0|12448.0|0|96.0|0|0.0|100
0|2021-10-20|12469.0|0|12469.0|0|97.0|0|0.0|100
0|2021-10-21|12492.0|0|12492.0|0|98.0|0|0.0|100
0|2021-10-22|12509.0|0|12509.0|0|98.0|0|0.0|100
0|2021-10-23|12529.0|0|12529.0|0|98.0|0|0.0|100
0|2021-10-24|12541.0|0|12541.0|0|98.0|0|0.0|100
0|2021-10-25|12550.0|0|12550.0|0|98.0|0|0.0|100
0|2021-10-26|12557.0|0|12557.0|0|98.0|0|0.0|100
0|2021-10-27|12578.0|0|12578.0|0|98.0|0|0.0|100
0|2021-10-28|12600.0|0|12600.0|0|98.0|0|0.0|100
0|2021-10-29|12620.0|0|12620.0|0|98.0|0|0.0|100
0|2021-10-30|12632.0|0|12632.0|0|98.0|0|0.0|100
0|2021-10-31|12643.0|0|12643.0|0|98.0|0|0.0|100
0|2021-11-01|12650.0|0|12650.0|0|98.0|0|0.0|100
0|2021-11-02|12659.0|0|12659.0|0|98.0|0|0.0|100
0|2021-11-03|12669.0|0|12669.0|0|98.0|0|0.0|100
0|2021-11-04|12677.0|0|12677.0|0|98.0|0|0.0|100
0|2021-11-05|12698.0|0|12698.0|0|98.0|0|0.0|100
0|2021-11-06|12707.0|0|12707.0|0|98.0|0|0.0|100
0|2021-11-07|12716.0|0|12716.0|0|98.0|0|0.0|100
0|2021-11-08|12726.0|0|12726.0|0|98.0|0|0.0|100
0|2021-11-09|12734.0|0|12734.0|0|98.0|0|0.0|100
0|2021-11-10|12734.0|0|12747.0|0|98.0|0|0.0|100
0|2021-11-11|12764.0|0|12764.0|0|98.0|0|0.0|100
0|2021-11-12|12780.0|0|12780.0|0|98.0|0|0.0|100
0|2021-11-13|12802.0|0|12802.0|0|98.0|0|0.0|100
0|2021-11-14|12812.0|0|12812.0|0|98.0|0|0.0|100
0|2021-11-15|12824.0|0|12824.0|0|99.0|0|0.0|100
0|2021-11-16|12840.0|0|12840.0|0|99.0|0|0.0|100
0|2021-11-17|12852.0|0|12852.0|0|99.0|0|0.0|100
0|2021-11-18|12875.0|0|12875.0|0|100.0|0|0.0|100
0|2021-11-19|12905.0|0|12905.0|0|100.0|0|0.0|100
0|2021-11-20|12920.0|0|12920.0|0|100.0|0|0.0|100
0|2021-11-21|12937.0|0|12937.0|0|101.0|0|0.0|100
0|2021-11-22|12954.0|0|12954.0|0|101.0|0|0.0|100
0|2021-11-23|12972.0|0|12972.0|0|101.0|0|0.0|100
0|2021-11-24|12997.0|0|12997.0|0|101.0|0|0.0|100
0|2021-11-25|13013.0|0|13013.0|0|101.0|0|0.0|100
0|2021-11-26|13055.0|0|13055.0|0|101.0|0|0.0|100
0|2021-11-27|13074.0|0|13074.0|0|101.0|0|0.0|100
0|2021-11-28|13091.0|0|13091.0|0|101.0|0|0.0|100
0|2021-11-29|13122.0|0|13122.0|0|101.0|0|0.0|100
0|2021-11-30|13145.0|0|13145.0|0|101.0|0|0.0|100
0|2021-12-01|13194.0|0|13194.0|0|101.0|0|0.0|100
0|2021-12-02|13249.0|0|13249.0|0|101.0|0|0.0|100
0|2021-12-03|13249.0|0|13290.0|0|101.0|0|0.0|100
0|2021-12-04|13335.0|0|13335.0|0|101.0|0|0.0|100
0|2021-12-05|13365.0|0|13365.0|0|101.0|0|0.0|100
0|2021-12-06|13401.0|0|13401.0|0|101.0|0|0.0|100
0|2021-12-07|13437.0|0|13437.0|0|101.0|0|0.0|100
0|2021-12-08|13508.0|0|13508.0|0|101.0|0|0.0|100
0|2021-12-09|13565.0|0|13565.0|0|101.0|0|0.0|100
0|2021-12-10|13630.0|0|13630.0|0|101.0|0|0.0|100
0|2021-12-11|13714.0|0|13714.0|0|101.0|0|0.0|100
0|2021-12-12|13772.0|0|13772.0|0|101.0|0|0.0|100
0|2021-12-13|13808.0|0|13808.0|0|101.0|0|0.0|100
0|2021-12-14|13808.0|0|13857.0|0|101.0|0|0.0|100
0|2021-12-15|13932.0|0|13932.0|0|102.0|0|0.0|100
0|2021-12-16|14000.0|0|14000.0|0|102.0|0|0.0|100
0|2021-12-17|14119.0|0|14119.0|0|103.0|0|0.0|100
0|2021-12-18|14215.0|0|14215.0|0|103.0|0|0.0|100
0|2021-12-19|14320.0|0|14320.0|0|104.0|0|0.0|100
0|2021-12-20|14430.0|0|14430.0|0|104.0|0|0.0|100
0|2021-12-21|14533.0|0|14533.0|0|104.0|0|0.0|100
0|2021-12-22|14667.0|0|14667.0|0|104.0|0|0.0|100
0|2021-12-23|14811.0|0|14811.0|0|104.0|0|0.0|100
0|2021-12-24|15020.0|0|15020.0|0|104.0|0|0.0|100
0|2021-12-25|15020.0|0|15020.0|0|104.0|0|0.0|100
0|2021-12-26|15093.0|0|15093.0|0|105.0|0|0.0|100
0|2021-12-27|15104.0|0|15104.0|0|106.0|0|0.0|100
0|2021-12-28|15124.0|0|15124.0|0|106.0|0|0.0|100
0|2021-12-29|15754.0|0|15754.0|0|106.0|0|0.0|100
0|2021-12-30|16221.0|0|16221.0|0|106.0|0|0.0|100
0|2021-12-31|16740.0|0|16740.0|0|106.0|0|0.0|100
