|dates|McLean_Kentucky_UnitedStates.JHU_ConfirmedCases.data|McLean_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|McLean_Kentucky_UnitedStates.NYT_ConfirmedCases.data|McLean_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|McLean_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|McLean_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|McLean_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|McLean_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1440.0|0|1439.0|0|38.0|0|0.0|100
0|2021-10-18|1453.0|0|1452.0|0|38.0|0|0.0|100
0|2021-10-19|1454.0|0|1453.0|0|38.0|0|0.0|100
0|2021-10-20|1457.0|0|1456.0|0|39.0|0|0.0|100
0|2021-10-21|1464.0|0|1463.0|0|39.0|0|0.0|100
0|2021-10-22|1468.0|0|1467.0|0|39.0|0|0.0|100
0|2021-10-23|1468.0|0|1467.0|0|39.0|0|0.0|100
0|2021-10-24|1468.0|0|1467.0|0|39.0|0|0.0|100
0|2021-10-25|1473.0|0|1472.0|0|39.0|0|0.0|100
0|2021-10-26|1475.0|0|1474.0|0|39.0|0|0.0|100
0|2021-10-27|1476.0|0|1475.0|0|39.0|0|0.0|100
0|2021-10-28|1480.0|0|1479.0|0|39.0|0|0.0|100
0|2021-10-29|1487.0|0|1486.0|0|40.0|0|0.0|100
0|2021-10-30|1487.0|0|1486.0|0|40.0|0|0.0|100
0|2021-10-31|1487.0|0|1486.0|0|40.0|0|0.0|100
0|2021-11-01|1492.0|0|1491.0|0|40.0|0|0.0|100
0|2021-11-02|1495.0|0|1494.0|0|40.0|0|0.0|100
0|2021-11-03|1497.0|0|1496.0|0|40.0|0|0.0|100
0|2021-11-04|1501.0|0|1500.0|0|40.0|0|0.0|100
0|2021-11-05|1502.0|0|1501.0|0|40.0|0|0.0|100
0|2021-11-06|1502.0|0|1501.0|0|40.0|0|0.0|100
0|2021-11-07|1502.0|0|1501.0|0|40.0|0|0.0|100
0|2021-11-08|1505.0|0|1504.0|0|40.0|0|0.0|100
0|2021-11-09|1508.0|0|1507.0|0|40.0|0|0.0|100
0|2021-11-10|1508.0|0|1508.0|0|40.0|0|0.0|100
0|2021-11-11|1509.0|0|1508.0|0|40.0|0|0.0|100
0|2021-11-12|1513.0|0|1512.0|0|40.0|0|0.0|100
0|2021-11-13|1513.0|0|1512.0|0|40.0|0|0.0|100
0|2021-11-14|1513.0|0|1512.0|0|40.0|0|0.0|100
0|2021-11-15|1518.0|0|1517.0|0|40.0|0|0.0|100
0|2021-11-16|1523.0|0|1522.0|0|40.0|0|0.0|100
0|2021-11-17|1529.0|0|1528.0|0|41.0|0|0.0|100
