|dates|Scott_Indiana_UnitedStates.JHU_ConfirmedCases.data|Scott_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Scott_Indiana_UnitedStates.NYT_ConfirmedCases.data|Scott_Indiana_UnitedStates.NYT_ConfirmedCases.missing|Scott_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Scott_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Scott_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Scott_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4339.0|0|4346.0|0|68.0|0|0.0|100
0|2021-10-18|4358.0|0|4365.0|0|69.0|0|0.0|100
0|2021-10-19|4366.0|0|4373.0|0|72.0|0|0.0|100
0|2021-10-20|4384.0|0|4391.0|0|73.0|0|0.0|100
0|2021-10-21|4385.0|0|4392.0|0|74.0|0|0.0|100
0|2021-10-22|4389.0|0|4396.0|0|74.0|0|0.0|100
0|2021-10-23|4389.0|0|4396.0|0|74.0|0|0.0|100
0|2021-10-24|4389.0|0|4396.0|0|74.0|0|0.0|100
0|2021-10-25|4398.0|0|4405.0|0|75.0|0|0.0|100
0|2021-10-26|4405.0|0|4412.0|0|76.0|0|0.0|100
0|2021-10-27|4418.0|0|4425.0|0|76.0|0|0.0|100
0|2021-10-28|4425.0|0|4432.0|0|76.0|0|0.0|100
0|2021-10-29|4435.0|0|4442.0|0|76.0|0|0.0|100
0|2021-10-30|4435.0|0|4442.0|0|76.0|0|0.0|100
0|2021-10-31|4435.0|0|4442.0|0|76.0|0|0.0|100
0|2021-11-01|4453.0|0|4460.0|0|76.0|0|0.0|100
0|2021-11-02|4460.0|0|4467.0|0|76.0|0|0.0|100
0|2021-11-03|4472.0|0|4479.0|0|76.0|0|0.0|100
0|2021-11-04|4484.0|0|4491.0|0|76.0|0|0.0|100
0|2021-11-05|4500.0|0|4507.0|0|76.0|0|0.0|100
0|2021-11-06|4500.0|0|4507.0|0|76.0|0|0.0|100
0|2021-11-07|4500.0|0|4507.0|0|76.0|0|0.0|100
0|2021-11-08|4521.0|0|4528.0|0|76.0|0|0.0|100
0|2021-11-09|4523.0|0|4530.0|0|77.0|0|0.0|100
0|2021-11-10|4542.0|0|4549.0|0|77.0|0|0.0|100
0|2021-11-11|4583.0|0|4590.0|0|77.0|0|0.0|100
0|2021-11-12|4596.0|0|4603.0|0|77.0|0|0.0|100
0|2021-11-13|4596.0|0|4603.0|0|77.0|0|0.0|100
0|2021-11-14|4596.0|0|4603.0|0|77.0|0|0.0|100
0|2021-11-15|4624.0|0|4630.0|0|78.0|0|0.0|100
0|2021-11-16|4635.0|0|4641.0|0|78.0|0|0.0|100
0|2021-11-17|4653.0|0|4659.0|0|78.0|0|0.0|100
0|2021-11-18|4679.0|0|4685.0|0|78.0|0|0.0|100
0|2021-11-19|4689.0|0|4695.0|0|78.0|0|0.0|100
0|2021-11-20|4689.0|0|4695.0|0|78.0|0|0.0|100
0|2021-11-21|4689.0|0|4695.0|0|78.0|0|0.0|100
0|2021-11-22|4727.0|0|4733.0|0|78.0|0|0.0|100
0|2021-11-23|4734.0|0|4740.0|0|78.0|0|0.0|100
0|2021-11-24|4759.0|0|4765.0|0|78.0|0|0.0|100
0|2021-11-25|4759.0|0|4765.0|0|78.0|0|0.0|100
0|2021-11-26|4759.0|0|4765.0|0|78.0|0|0.0|100
0|2021-11-27|4759.0|0|4765.0|0|78.0|0|0.0|100
0|2021-11-28|4759.0|0|4765.0|0|78.0|0|0.0|100
0|2021-11-29|4803.0|0|4809.0|0|78.0|0|0.0|100
0|2021-11-30|4828.0|0|4834.0|0|80.0|0|0.0|100
0|2021-12-01|4857.0|0|4863.0|0|80.0|0|0.0|100
0|2021-12-02|4882.0|0|4888.0|0|80.0|0|0.0|100
0|2021-12-03|4915.0|0|4921.0|0|80.0|0|0.0|100
