|dates|Sussex_Delaware_UnitedStates.JHU_ConfirmedCases.data|Sussex_Delaware_UnitedStates.JHU_ConfirmedCases.missing|Sussex_Delaware_UnitedStates.NYT_ConfirmedCases.data|Sussex_Delaware_UnitedStates.NYT_ConfirmedCases.missing|Sussex_Delaware_UnitedStates.JHU_ConfirmedDeaths.data|Sussex_Delaware_UnitedStates.JHU_ConfirmedDeaths.missing|Sussex_Delaware_UnitedStates.JHU_ConfirmedRecoveries.data|Sussex_Delaware_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|34475.0|0|34475.0|0|613.0|0|0.0|100
0|2021-10-18|34627.0|0|34627.0|0|613.0|0|0.0|100
0|2021-10-19|34683.0|0|34683.0|0|614.0|0|0.0|100
0|2021-10-20|34777.0|0|34777.0|0|616.0|0|0.0|100
0|2021-10-21|34874.0|0|34874.0|0|615.0|0|0.0|100
0|2021-10-22|34969.0|0|34969.0|0|615.0|0|0.0|100
0|2021-10-23|35022.0|0|35022.0|0|620.0|0|0.0|100
0|2021-10-24|35117.0|0|35117.0|0|620.0|0|0.0|100
0|2021-10-25|35163.0|0|35163.0|0|620.0|0|0.0|100
0|2021-10-26|35198.0|0|35198.0|0|621.0|0|0.0|100
0|2021-10-27|35252.0|0|35252.0|0|621.0|0|0.0|100
0|2021-10-28|35330.0|0|35330.0|0|622.0|0|0.0|100
0|2021-10-29|35419.0|0|35419.0|0|630.0|0|0.0|100
0|2021-10-30|35495.0|0|35495.0|0|630.0|0|0.0|100
0|2021-10-31|35560.0|0|35560.0|0|630.0|0|0.0|100
0|2021-11-01|35610.0|0|35610.0|0|630.0|0|0.0|100
0|2021-11-02|35627.0|0|35627.0|0|633.0|0|0.0|100
0|2021-11-03|35693.0|0|35693.0|0|633.0|0|0.0|100
0|2021-11-04|35771.0|0|35771.0|0|633.0|0|0.0|100
0|2021-11-05|35824.0|0|35771.0|0|635.0|0|0.0|100
0|2021-11-06|35886.0|0|35886.0|0|638.0|0|0.0|100
0|2021-11-07|35949.0|0|35949.0|0|638.0|0|0.0|100
0|2021-11-08|35992.0|0|35992.0|0|638.0|0|0.0|100
0|2021-11-09|36009.0|0|36009.0|0|639.0|0|0.0|100
0|2021-11-10|36009.0|0|36056.0|0|639.0|0|0.0|100
0|2021-11-11|36103.0|0|36103.0|0|639.0|0|0.0|100
0|2021-11-12|36186.0|0|36186.0|0|639.0|0|0.0|100
0|2021-11-13|36261.0|0|36261.0|0|642.0|0|0.0|100
0|2021-11-14|36318.0|0|36318.0|0|642.0|0|0.0|100
0|2021-11-15|36345.0|0|36345.0|0|642.0|0|0.0|100
0|2021-11-16|36348.0|0|36348.0|0|642.0|0|0.0|100
0|2021-11-17|36372.0|0|36372.0|0|642.0|0|0.0|100
0|2021-11-18|36400.0|0|36400.0|0|646.0|0|0.0|100
0|2021-11-19|36461.0|0|36461.0|0|646.0|0|0.0|100
0|2021-11-20|36846.0|0|36846.0|0|647.0|0|0.0|100
