|dates|Berks_Pennsylvania_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Berks_Pennsylvania_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Berks_Pennsylvania_UnitedStates.Male_Total_Population.data|Berks_Pennsylvania_UnitedStates.Male_Total_Population.missing|Berks_Pennsylvania_UnitedStates.Female_Total_Population.data|Berks_Pennsylvania_UnitedStates.Female_Total_Population.missing|Berks_Pennsylvania_UnitedStates.MaleAndFemale_Under18_Population.data|Berks_Pennsylvania_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|72352.0|0|206740.0|0|213412.0|0|93834.0|0
0|2021-10-18|72352.0|0|206740.0|0|213412.0|0|93834.0|0
0|2021-10-19|72352.0|0|206740.0|0|213412.0|0|93834.0|0
0|2021-10-20|72352.0|0|206740.0|0|213412.0|0|93834.0|0
0|2021-10-21|72352.0|0|206740.0|0|213412.0|0|93834.0|0
0|2021-10-22|72352.0|0|206740.0|0|213412.0|0|93834.0|0
0|2021-10-23|72352.0|0|206740.0|0|213412.0|0|93834.0|0
0|2021-10-24|72352.0|0|206740.0|0|213412.0|0|93834.0|0
0|2021-10-25|72352.0|0|206740.0|0|213412.0|0|93834.0|0
0|2021-10-26|72352.0|0|206740.0|0|213412.0|0|93834.0|0
0|2021-10-27|72352.0|0|206740.0|0|213412.0|0|93834.0|0
0|2021-10-28|72352.0|0|206740.0|0|213412.0|0|93834.0|0
0|2021-10-29|72352.0|0|206740.0|0|213412.0|0|93834.0|0
0|2021-10-30|72352.0|0|206740.0|0|213412.0|0|93834.0|0
0|2021-10-31|72352.0|0|206740.0|0|213412.0|0|93834.0|0
0|2021-11-01|72352.0|0|206740.0|0|213412.0|0|93834.0|0
0|2021-11-02|72352.0|0|206740.0|0|213412.0|0|93834.0|0
0|2021-11-03|72352.0|0|206740.0|0|213412.0|0|93834.0|0
0|2021-11-04|72352.0|0|206740.0|0|213412.0|0|93834.0|0
0|2021-11-05|72352.0|0|206740.0|0|213412.0|0|93834.0|0
0|2021-11-06|72352.0|0|206740.0|0|213412.0|0|93834.0|0
0|2021-11-07|72352.0|0|206740.0|0|213412.0|0|93834.0|0
0|2021-11-08|72352.0|0|206740.0|0|213412.0|0|93834.0|0
0|2021-11-09|72352.0|0|206740.0|0|213412.0|0|93834.0|0
0|2021-11-10|72352.0|0|206740.0|0|213412.0|0|93834.0|0
0|2021-11-11|72352.0|0|206740.0|0|213412.0|0|93834.0|0
0|2021-11-12|72352.0|0|206740.0|0|213412.0|0|93834.0|0
0|2021-11-13|72352.0|0|206740.0|0|213412.0|0|93834.0|0
0|2021-11-14|72352.0|0|206740.0|0|213412.0|0|93834.0|0
0|2021-11-15|72352.0|0|206740.0|0|213412.0|0|93834.0|0
0|2021-11-16|72352.0|0|206740.0|0|213412.0|0|93834.0|0
0|2021-11-17|72352.0|0|206740.0|0|213412.0|0|93834.0|0
0|2021-11-18|72352.0|0|206740.0|0|213412.0|0|93834.0|0
0|2021-11-19|72352.0|0|206740.0|0|213412.0|0|93834.0|0
0|2021-11-20|72352.0|0|206740.0|0|213412.0|0|93834.0|0
0|2021-11-21|72352.0|0|206740.0|0|213412.0|0|93834.0|0
0|2021-11-22|72352.0|0|206740.0|0|213412.0|0|93834.0|0
0|2021-11-23|72352.0|0|206740.0|0|213412.0|0|93834.0|0
0|2021-11-24|72352.0|0|206740.0|0|213412.0|0|93834.0|0
0|2021-11-25|72352.0|0|206740.0|0|213412.0|0|93834.0|0
0|2021-11-26|72352.0|0|206740.0|0|213412.0|0|93834.0|0
0|2021-11-27|72352.0|0|206740.0|0|213412.0|0|93834.0|0
0|2021-11-28|72352.0|0|206740.0|0|213412.0|0|93834.0|0
0|2021-11-29|72352.0|0|206740.0|0|213412.0|0|93834.0|0
0|2021-11-30|72352.0|0|206740.0|0|213412.0|0|93834.0|0
0|2021-12-01|72352.0|0|206740.0|0|213412.0|0|93834.0|0
0|2021-12-02|72352.0|0|206740.0|0|213412.0|0|93834.0|0
0|2021-12-03|72352.0|0|206740.0|0|213412.0|0|93834.0|0
0|2021-12-04|72352.0|0|206740.0|0|213412.0|0|93834.0|0
