|dates|Phillips_Arkansas_UnitedStates.JHU_ConfirmedCases.data|Phillips_Arkansas_UnitedStates.JHU_ConfirmedCases.missing|Phillips_Arkansas_UnitedStates.NYT_ConfirmedCases.data|Phillips_Arkansas_UnitedStates.NYT_ConfirmedCases.missing|Phillips_Arkansas_UnitedStates.JHU_ConfirmedDeaths.data|Phillips_Arkansas_UnitedStates.JHU_ConfirmedDeaths.missing|Phillips_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.data|Phillips_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3177.0|0|3177.0|0|76.0|0|0.0|100
0|2021-10-18|3177.0|0|3177.0|0|76.0|0|0.0|100
0|2021-10-19|3177.0|0|3177.0|0|76.0|0|0.0|100
0|2021-10-20|3182.0|0|3182.0|0|76.0|0|0.0|100
0|2021-10-21|3186.0|0|3186.0|0|76.0|0|0.0|100
0|2021-10-22|3187.0|0|3187.0|0|76.0|0|0.0|100
0|2021-10-23|3188.0|0|3188.0|0|76.0|0|0.0|100
0|2021-10-24|3187.0|0|3187.0|0|76.0|0|0.0|100
0|2021-10-25|3187.0|0|3187.0|0|76.0|0|0.0|100
0|2021-10-26|3189.0|0|3189.0|0|76.0|0|0.0|100
0|2021-10-27|3192.0|0|3192.0|0|76.0|0|0.0|100
0|2021-10-28|3195.0|0|3195.0|0|77.0|0|0.0|100
0|2021-10-29|3202.0|0|3202.0|0|77.0|0|0.0|100
0|2021-10-30|3202.0|0|3202.0|0|77.0|0|0.0|100
0|2021-10-31|3203.0|0|3203.0|0|77.0|0|0.0|100
0|2021-11-01|3207.0|0|3207.0|0|77.0|0|0.0|100
0|2021-11-02|3207.0|0|3207.0|0|77.0|0|0.0|100
0|2021-11-03|3208.0|0|3208.0|0|77.0|0|0.0|100
0|2021-11-04|3208.0|0|3208.0|0|77.0|0|0.0|100
0|2021-11-05|3209.0|0|3209.0|0|77.0|0|0.0|100
0|2021-11-06|3217.0|0|3217.0|0|77.0|0|0.0|100
0|2021-11-07|3217.0|0|3217.0|0|77.0|0|0.0|100
0|2021-11-08|3217.0|0|3218.0|0|77.0|0|0.0|100
