|dates|McKenzie_NorthDakota_UnitedStates.JHU_ConfirmedCases.data|McKenzie_NorthDakota_UnitedStates.JHU_ConfirmedCases.missing|McKenzie_NorthDakota_UnitedStates.NYT_ConfirmedCases.data|McKenzie_NorthDakota_UnitedStates.NYT_ConfirmedCases.missing|McKenzie_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.data|McKenzie_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|McKenzie_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|McKenzie_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2249.0|0|2249.0|0|20.0|0|0.0|100
0|2021-10-18|2255.0|0|2255.0|0|20.0|0|0.0|100
0|2021-10-19|2265.0|0|2265.0|0|20.0|0|0.0|100
0|2021-10-20|2276.0|0|2276.0|0|20.0|0|0.0|100
0|2021-10-21|2286.0|0|2286.0|0|20.0|0|0.0|100
0|2021-10-22|2291.0|0|2291.0|0|20.0|0|0.0|100
0|2021-10-23|2293.0|0|2293.0|0|20.0|0|0.0|100
0|2021-10-24|2294.0|0|2294.0|0|20.0|0|0.0|100
0|2021-10-25|2297.0|0|2297.0|0|20.0|0|0.0|100
0|2021-10-26|2309.0|0|2309.0|0|20.0|0|0.0|100
0|2021-10-27|2318.0|0|2318.0|0|21.0|0|0.0|100
0|2021-10-28|2328.0|0|2328.0|0|21.0|0|0.0|100
0|2021-10-29|2336.0|0|2336.0|0|21.0|0|0.0|100
0|2021-10-30|2340.0|0|2340.0|0|21.0|0|0.0|100
0|2021-10-31|2345.0|0|2345.0|0|21.0|0|0.0|100
0|2021-11-01|2350.0|0|2350.0|0|21.0|0|0.0|100
0|2021-11-02|2360.0|0|2360.0|0|21.0|0|0.0|100
0|2021-11-03|2367.0|0|2367.0|0|21.0|0|0.0|100
0|2021-11-04|2374.0|0|2374.0|0|21.0|0|0.0|100
0|2021-11-05|2377.0|0|2377.0|0|21.0|0|0.0|100
0|2021-11-06|2379.0|0|2379.0|0|21.0|0|0.0|100
0|2021-11-07|2381.0|0|2381.0|0|21.0|0|0.0|100
0|2021-11-08|2381.0|0|2381.0|0|21.0|0|0.0|100
0|2021-11-09|2386.0|0|2386.0|0|21.0|0|0.0|100
0|2021-11-10|2386.0|0|2396.0|0|21.0|0|0.0|100
0|2021-11-11|2406.0|0|2406.0|0|21.0|0|0.0|100
0|2021-11-12|2412.0|0|2412.0|0|21.0|0|0.0|100
0|2021-11-13|2416.0|0|2416.0|0|21.0|0|0.0|100
