|dates|Sargent_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Sargent_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Sargent_NorthDakota_UnitedStates.Male_Total_Population.data|Sargent_NorthDakota_UnitedStates.Male_Total_Population.missing|Sargent_NorthDakota_UnitedStates.Female_Total_Population.data|Sargent_NorthDakota_UnitedStates.Female_Total_Population.missing|Sargent_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Sargent_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-10-18|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-10-19|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-10-20|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-10-21|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-10-22|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-10-23|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-10-24|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-10-25|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-10-26|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-10-27|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-10-28|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-10-29|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-10-30|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-10-31|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-11-01|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-11-02|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-11-03|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-11-04|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-11-05|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-11-06|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-11-07|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-11-08|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-11-09|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-11-10|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-11-11|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-11-12|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-11-13|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-11-14|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-11-15|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-11-16|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-11-17|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-11-18|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-11-19|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-11-20|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-11-21|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-11-22|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-11-23|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-11-24|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-11-25|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-11-26|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-11-27|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-11-28|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-11-29|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-11-30|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-12-01|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-12-02|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-12-03|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-12-04|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-12-05|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-12-06|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-12-07|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-12-08|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-12-09|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-12-10|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-12-11|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-12-12|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-12-13|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-12-14|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-12-15|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-12-16|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-12-17|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-12-18|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-12-19|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-12-20|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-12-21|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-12-22|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-12-23|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-12-24|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-12-25|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-12-26|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-12-27|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-12-28|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-12-29|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-12-30|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2021-12-31|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2022-01-01|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2022-01-02|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2022-01-03|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2022-01-04|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2022-01-05|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2022-01-06|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2022-01-07|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2022-01-08|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2022-01-09|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2022-01-10|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2022-01-11|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2022-01-12|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2022-01-13|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2022-01-14|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2022-01-15|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2022-01-16|872.0|0|2080.0|0|1790.0|0|803.0|0
0|2022-01-17|872.0|0|2080.0|0|1790.0|0|803.0|0
