|dates|Pottawatomie_Kansas_UnitedStates.JHU_ConfirmedCases.data|Pottawatomie_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Pottawatomie_Kansas_UnitedStates.NYT_ConfirmedCases.data|Pottawatomie_Kansas_UnitedStates.NYT_ConfirmedCases.missing|Pottawatomie_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Pottawatomie_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Pottawatomie_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Pottawatomie_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2746.0|0|2746.0|0|41.0|0|0.0|100
0|2021-10-18|2750.0|0|2750.0|0|41.0|0|0.0|100
0|2021-10-19|2750.0|0|2750.0|0|41.0|0|0.0|100
0|2021-10-20|2765.0|0|2765.0|0|41.0|0|0.0|100
0|2021-10-21|2765.0|0|2765.0|0|41.0|0|0.0|100
0|2021-10-22|2782.0|0|2782.0|0|41.0|0|0.0|100
0|2021-10-23|2782.0|0|2782.0|0|41.0|0|0.0|100
0|2021-10-24|2782.0|0|2782.0|0|41.0|0|0.0|100
0|2021-10-25|2791.0|0|2791.0|0|42.0|0|0.0|100
0|2021-10-26|2791.0|0|2791.0|0|42.0|0|0.0|100
0|2021-10-27|2809.0|0|2809.0|0|42.0|0|0.0|100
0|2021-10-28|2809.0|0|2809.0|0|42.0|0|0.0|100
0|2021-10-29|2827.0|0|2827.0|0|42.0|0|0.0|100
0|2021-10-30|2827.0|0|2827.0|0|42.0|0|0.0|100
0|2021-10-31|2827.0|0|2827.0|0|42.0|0|0.0|100
0|2021-11-01|2830.0|0|2830.0|0|42.0|0|0.0|100
0|2021-11-02|2830.0|0|2830.0|0|42.0|0|0.0|100
0|2021-11-03|2849.0|0|2849.0|0|42.0|0|0.0|100
0|2021-11-04|2849.0|0|2849.0|0|42.0|0|0.0|100
0|2021-11-05|2869.0|0|2869.0|0|42.0|0|0.0|100
0|2021-11-06|2869.0|0|2869.0|0|42.0|0|0.0|100
0|2021-11-07|2869.0|0|2869.0|0|42.0|0|0.0|100
0|2021-11-08|2889.0|0|2889.0|0|43.0|0|0.0|100
0|2021-11-09|2889.0|0|2889.0|0|43.0|0|0.0|100
0|2021-11-10|2889.0|0|2935.0|0|43.0|0|0.0|100
0|2021-11-11|2935.0|0|2935.0|0|44.0|0|0.0|100
0|2021-11-12|2964.0|0|2964.0|0|44.0|0|0.0|100
0|2021-11-13|2964.0|0|2964.0|0|44.0|0|0.0|100
0|2021-11-14|2964.0|0|2964.0|0|44.0|0|0.0|100
0|2021-11-15|2979.0|0|2979.0|0|44.0|0|0.0|100
0|2021-11-16|2979.0|0|2979.0|0|44.0|0|0.0|100
0|2021-11-17|3034.0|0|3034.0|0|44.0|0|0.0|100
0|2021-11-18|3034.0|0|3034.0|0|44.0|0|0.0|100
0|2021-11-19|3056.0|0|3056.0|0|44.0|0|0.0|100
0|2021-11-20|3056.0|0|3056.0|0|44.0|0|0.0|100
0|2021-11-21|3056.0|0|3056.0|0|44.0|0|0.0|100
0|2021-11-22|3084.0|0|3084.0|0|44.0|0|0.0|100
0|2021-11-23|3084.0|0|3084.0|0|44.0|0|0.0|100
0|2021-11-24|3084.0|0|3120.0|0|44.0|0|0.0|100
0|2021-11-25|3120.0|0|3120.0|0|44.0|0|0.0|100
