|dates|Beaverhead_Montana_UnitedStates.JHU_ConfirmedCases.data|Beaverhead_Montana_UnitedStates.JHU_ConfirmedCases.missing|Beaverhead_Montana_UnitedStates.NYT_ConfirmedCases.data|Beaverhead_Montana_UnitedStates.NYT_ConfirmedCases.missing|Beaverhead_Montana_UnitedStates.JHU_ConfirmedDeaths.data|Beaverhead_Montana_UnitedStates.JHU_ConfirmedDeaths.missing|Beaverhead_Montana_UnitedStates.JHU_ConfirmedRecoveries.data|Beaverhead_Montana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1382.0|0|1382.0|0|15.0|0|0.0|100
0|2021-10-18|1383.0|0|1383.0|0|15.0|0|0.0|100
0|2021-10-19|1406.0|0|1406.0|0|15.0|0|0.0|100
0|2021-10-20|1411.0|0|1411.0|0|15.0|0|0.0|100
0|2021-10-21|1432.0|0|1432.0|0|15.0|0|0.0|100
0|2021-10-22|1435.0|0|1435.0|0|15.0|0|0.0|100
0|2021-10-23|1435.0|0|1435.0|0|15.0|0|0.0|100
0|2021-10-24|1435.0|0|1435.0|0|15.0|0|0.0|100
0|2021-10-25|1438.0|0|1438.0|0|15.0|0|0.0|100
0|2021-10-26|1452.0|0|1452.0|0|15.0|0|0.0|100
0|2021-10-27|1464.0|0|1464.0|0|15.0|0|0.0|100
0|2021-10-28|1473.0|0|1473.0|0|17.0|0|0.0|100
0|2021-10-29|1477.0|0|1477.0|0|17.0|0|0.0|100
0|2021-10-30|1477.0|0|1477.0|0|17.0|0|0.0|100
0|2021-10-31|1477.0|0|1477.0|0|17.0|0|0.0|100
0|2021-11-01|1486.0|0|1486.0|0|17.0|0|0.0|100
0|2021-11-02|1489.0|0|1489.0|0|17.0|0|0.0|100
0|2021-11-03|1491.0|0|1491.0|0|17.0|0|0.0|100
0|2021-11-04|1496.0|0|1496.0|0|18.0|0|0.0|100
0|2021-11-05|1498.0|0|1498.0|0|18.0|0|0.0|100
0|2021-11-06|1498.0|0|1498.0|0|18.0|0|0.0|100
0|2021-11-07|1498.0|0|1498.0|0|18.0|0|0.0|100
0|2021-11-08|1498.0|0|1498.0|0|18.0|0|0.0|100
0|2021-11-09|1503.0|0|1503.0|0|17.0|0|0.0|100
0|2021-11-10|1503.0|0|1509.0|0|17.0|0|0.0|100
0|2021-11-11|1509.0|0|1509.0|0|20.0|0|0.0|100
