|dates|Newton_Indiana_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Newton_Indiana_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Newton_Indiana_UnitedStates.Male_Total_Population.data|Newton_Indiana_UnitedStates.Male_Total_Population.missing|Newton_Indiana_UnitedStates.Female_Total_Population.data|Newton_Indiana_UnitedStates.Female_Total_Population.missing|Newton_Indiana_UnitedStates.MaleAndFemale_Under18_Population.data|Newton_Indiana_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|2728.0|0|7073.0|0|6938.0|0|2954.0|0
0|2021-10-18|2728.0|0|7073.0|0|6938.0|0|2954.0|0
0|2021-10-19|2728.0|0|7073.0|0|6938.0|0|2954.0|0
0|2021-10-20|2728.0|0|7073.0|0|6938.0|0|2954.0|0
0|2021-10-21|2728.0|0|7073.0|0|6938.0|0|2954.0|0
0|2021-10-22|2728.0|0|7073.0|0|6938.0|0|2954.0|0
0|2021-10-23|2728.0|0|7073.0|0|6938.0|0|2954.0|0
0|2021-10-24|2728.0|0|7073.0|0|6938.0|0|2954.0|0
0|2021-10-25|2728.0|0|7073.0|0|6938.0|0|2954.0|0
0|2021-10-26|2728.0|0|7073.0|0|6938.0|0|2954.0|0
0|2021-10-27|2728.0|0|7073.0|0|6938.0|0|2954.0|0
0|2021-10-28|2728.0|0|7073.0|0|6938.0|0|2954.0|0
0|2021-10-29|2728.0|0|7073.0|0|6938.0|0|2954.0|0
0|2021-10-30|2728.0|0|7073.0|0|6938.0|0|2954.0|0
0|2021-10-31|2728.0|0|7073.0|0|6938.0|0|2954.0|0
0|2021-11-01|2728.0|0|7073.0|0|6938.0|0|2954.0|0
0|2021-11-02|2728.0|0|7073.0|0|6938.0|0|2954.0|0
0|2021-11-03|2728.0|0|7073.0|0|6938.0|0|2954.0|0
0|2021-11-04|2728.0|0|7073.0|0|6938.0|0|2954.0|0
0|2021-11-05|2728.0|0|7073.0|0|6938.0|0|2954.0|0
0|2021-11-06|2728.0|0|7073.0|0|6938.0|0|2954.0|0
0|2021-11-07|2728.0|0|7073.0|0|6938.0|0|2954.0|0
0|2021-11-08|2728.0|0|7073.0|0|6938.0|0|2954.0|0
0|2021-11-09|2728.0|0|7073.0|0|6938.0|0|2954.0|0
0|2021-11-10|2728.0|0|7073.0|0|6938.0|0|2954.0|0
0|2021-11-11|2728.0|0|7073.0|0|6938.0|0|2954.0|0
0|2021-11-12|2728.0|0|7073.0|0|6938.0|0|2954.0|0
0|2021-11-13|2728.0|0|7073.0|0|6938.0|0|2954.0|0
0|2021-11-14|2728.0|0|7073.0|0|6938.0|0|2954.0|0
0|2021-11-15|2728.0|0|7073.0|0|6938.0|0|2954.0|0
0|2021-11-16|2728.0|0|7073.0|0|6938.0|0|2954.0|0
0|2021-11-17|2728.0|0|7073.0|0|6938.0|0|2954.0|0
0|2021-11-18|2728.0|0|7073.0|0|6938.0|0|2954.0|0
0|2021-11-19|2728.0|0|7073.0|0|6938.0|0|2954.0|0
0|2021-11-20|2728.0|0|7073.0|0|6938.0|0|2954.0|0
0|2021-11-21|2728.0|0|7073.0|0|6938.0|0|2954.0|0
0|2021-11-22|2728.0|0|7073.0|0|6938.0|0|2954.0|0
0|2021-11-23|2728.0|0|7073.0|0|6938.0|0|2954.0|0
0|2021-11-24|2728.0|0|7073.0|0|6938.0|0|2954.0|0
0|2021-11-25|2728.0|0|7073.0|0|6938.0|0|2954.0|0
0|2021-11-26|2728.0|0|7073.0|0|6938.0|0|2954.0|0
0|2021-11-27|2728.0|0|7073.0|0|6938.0|0|2954.0|0
0|2021-11-28|2728.0|0|7073.0|0|6938.0|0|2954.0|0
0|2021-11-29|2728.0|0|7073.0|0|6938.0|0|2954.0|0
