|dates|Reynolds_Missouri_UnitedStates.JHU_ConfirmedCases.data|Reynolds_Missouri_UnitedStates.JHU_ConfirmedCases.missing|Reynolds_Missouri_UnitedStates.NYT_ConfirmedCases.data|Reynolds_Missouri_UnitedStates.NYT_ConfirmedCases.missing|Reynolds_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|Reynolds_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|Reynolds_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|Reynolds_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|698.0|0|767.0|0|6.0|0|0.0|100
0|2021-10-18|699.0|0|777.0|0|6.0|0|0.0|100
0|2021-10-19|700.0|0|777.0|0|6.0|0|0.0|100
0|2021-10-20|700.0|0|777.0|0|6.0|0|0.0|100
0|2021-10-21|702.0|0|779.0|0|6.0|0|0.0|100
0|2021-10-22|704.0|0|779.0|0|6.0|0|0.0|100
0|2021-10-23|707.0|0|779.0|0|6.0|0|0.0|100
0|2021-10-24|708.0|0|779.0|0|6.0|0|0.0|100
0|2021-10-25|708.0|0|785.0|0|6.0|0|0.0|100
0|2021-10-26|711.0|0|785.0|0|6.0|0|0.0|100
0|2021-10-27|713.0|0|785.0|0|7.0|0|0.0|100
0|2021-10-28|715.0|0|789.0|0|7.0|0|0.0|100
0|2021-10-29|716.0|0|789.0|0|7.0|0|0.0|100
0|2021-10-30|717.0|0|789.0|0|7.0|0|0.0|100
0|2021-10-31|717.0|0|789.0|0|7.0|0|0.0|100
0|2021-11-01|717.0|0|790.0|0|7.0|0|0.0|100
0|2021-11-02|717.0|0|790.0|0|9.0|0|0.0|100
0|2021-11-03|717.0|0|790.0|0|9.0|0|0.0|100
0|2021-11-04|719.0|0|793.0|0|9.0|0|0.0|100
0|2021-11-05|719.0|0|793.0|0|9.0|0|0.0|100
0|2021-11-06|722.0|0|793.0|0|9.0|0|0.0|100
0|2021-11-07|722.0|0|793.0|0|9.0|0|0.0|100
0|2021-11-08|724.0|0|793.0|0|9.0|0|0.0|100
