|dates|Bergen_NewJersey_UnitedStates.JHU_ConfirmedCases.data|Bergen_NewJersey_UnitedStates.JHU_ConfirmedCases.missing|Bergen_NewJersey_UnitedStates.NYT_ConfirmedCases.data|Bergen_NewJersey_UnitedStates.NYT_ConfirmedCases.missing|Bergen_NewJersey_UnitedStates.JHU_ConfirmedDeaths.data|Bergen_NewJersey_UnitedStates.JHU_ConfirmedDeaths.missing|Bergen_NewJersey_UnitedStates.JHU_ConfirmedRecoveries.data|Bergen_NewJersey_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|118678.0|0|118678.0|0|2976.0|0|0.0|100
0|2021-10-18|118756.0|0|118756.0|0|2977.0|0|0.0|100
0|2021-10-19|118812.0|0|118812.0|0|2979.0|0|0.0|100
0|2021-10-20|118896.0|0|118896.0|0|2982.0|0|0.0|100
0|2021-10-21|118984.0|0|118984.0|0|2982.0|0|0.0|100
0|2021-10-22|119123.0|0|119123.0|0|2983.0|0|0.0|100
0|2021-10-23|119208.0|0|119208.0|0|2986.0|0|0.0|100
0|2021-10-24|119267.0|0|119267.0|0|2986.0|0|0.0|100
0|2021-10-25|119375.0|0|119375.0|0|2989.0|0|0.0|100
0|2021-10-26|119509.0|0|119509.0|0|2991.0|0|0.0|100
0|2021-10-27|119619.0|0|119619.0|0|2991.0|0|0.0|100
0|2021-10-28|119767.0|0|119767.0|0|2994.0|0|0.0|100
0|2021-10-29|119911.0|0|119911.0|0|2996.0|0|0.0|100
0|2021-10-30|120023.0|0|120023.0|0|2996.0|0|0.0|100
0|2021-10-31|120092.0|0|120092.0|0|2996.0|0|0.0|100
0|2021-11-01|120162.0|0|120162.0|0|2996.0|0|0.0|100
0|2021-11-02|120240.0|0|120240.0|0|2998.0|0|0.0|100
0|2021-11-03|120364.0|0|120364.0|0|2998.0|0|0.0|100
0|2021-11-04|120461.0|0|120461.0|0|2998.0|0|0.0|100
0|2021-11-05|120571.0|0|120571.0|0|3001.0|0|0.0|100
0|2021-11-06|120671.0|0|120671.0|0|3001.0|0|0.0|100
0|2021-11-07|120734.0|0|120734.0|0|3002.0|0|0.0|100
0|2021-11-08|120802.0|0|120802.0|0|3006.0|0|0.0|100
0|2021-11-09|120902.0|0|120902.0|0|3006.0|0|0.0|100
0|2021-11-10|120902.0|0|121000.0|0|3006.0|0|0.0|100
0|2021-11-11|121137.0|0|121137.0|0|3009.0|0|0.0|100
0|2021-11-12|121265.0|0|121265.0|0|3009.0|0|0.0|100
0|2021-11-13|121389.0|0|121389.0|0|3010.0|0|0.0|100
0|2021-11-14|121543.0|0|121543.0|0|3010.0|0|0.0|100
0|2021-11-15|121652.0|0|121652.0|0|3009.0|0|0.0|100
0|2021-11-16|121816.0|0|121816.0|0|3009.0|0|0.0|100
0|2021-11-17|122016.0|0|122016.0|0|3010.0|0|0.0|100
0|2021-11-18|122200.0|0|122200.0|0|3013.0|0|0.0|100
0|2021-11-19|122393.0|0|122393.0|0|3013.0|0|0.0|100
0|2021-11-20|122588.0|0|122588.0|0|3013.0|0|0.0|100
0|2021-11-21|122740.0|0|122740.0|0|3014.0|0|0.0|100
0|2021-11-22|122850.0|0|122850.0|0|3014.0|0|0.0|100
0|2021-11-23|123077.0|0|123077.0|0|3017.0|0|0.0|100
0|2021-11-24|123245.0|0|123245.0|0|3017.0|0|0.0|100
0|2021-11-25|123467.0|0|123467.0|0|3018.0|0|0.0|100
0|2021-11-26|123649.0|0|123649.0|0|3018.0|0|0.0|100
0|2021-11-27|123821.0|0|123821.0|0|3018.0|0|0.0|100
0|2021-11-28|123973.0|0|123973.0|0|3018.0|0|0.0|100
0|2021-11-29|124132.0|0|124132.0|0|3019.0|0|0.0|100
0|2021-11-30|124405.0|0|124405.0|0|3019.0|0|0.0|100
0|2021-12-01|124682.0|0|124682.0|0|3020.0|0|0.0|100
0|2021-12-02|125013.0|0|125013.0|0|3021.0|0|0.0|100
0|2021-12-03|125013.0|0|125339.0|0|3021.0|0|0.0|100
0|2021-12-04|125650.0|0|125650.0|0|3024.0|0|0.0|100
0|2021-12-05|125880.0|0|125880.0|0|3025.0|0|0.0|100
0|2021-12-06|126141.0|0|126141.0|0|3027.0|0|0.0|100
0|2021-12-07|126522.0|0|126522.0|0|3031.0|0|0.0|100
0|2021-12-08|126851.0|0|126851.0|0|3035.0|0|0.0|100
0|2021-12-09|127337.0|0|127337.0|0|3036.0|0|0.0|100
0|2021-12-10|127771.0|0|127771.0|0|3036.0|0|0.0|100
0|2021-12-11|128134.0|0|128134.0|0|3041.0|0|0.0|100
0|2021-12-12|128476.0|0|128476.0|0|3041.0|0|0.0|100
0|2021-12-13|128759.0|0|128759.0|0|3041.0|0|0.0|100
0|2021-12-14|128759.0|0|129112.0|0|3041.0|0|0.0|100
0|2021-12-15|129676.0|0|129676.0|0|3045.0|0|0.0|100
0|2021-12-16|130341.0|0|130341.0|0|3046.0|0|0.0|100
0|2021-12-17|131062.0|0|131062.0|0|3046.0|0|0.0|100
0|2021-12-18|131854.0|0|131854.0|0|3049.0|0|0.0|100
0|2021-12-19|132589.0|0|132589.0|0|3050.0|0|0.0|100
0|2021-12-20|133193.0|0|133193.0|0|3048.0|0|0.0|100
0|2021-12-21|134093.0|0|134093.0|0|3050.0|0|0.0|100
0|2021-12-22|135459.0|0|135459.0|0|3051.0|0|0.0|100
0|2021-12-23|137350.0|0|137350.0|0|3054.0|0|0.0|100
0|2021-12-24|139544.0|0|139544.0|0|3057.0|0|0.0|100
0|2021-12-25|141877.0|0|141877.0|0|3057.0|0|0.0|100
0|2021-12-26|143393.0|0|143393.0|0|3058.0|0|0.0|100
0|2021-12-27|144576.0|0|144576.0|0|3058.0|0|0.0|100
0|2021-12-28|146477.0|0|146477.0|0|3063.0|0|0.0|100
0|2021-12-29|149803.0|0|149803.0|0|3065.0|0|0.0|100
0|2021-12-30|153956.0|0|153956.0|0|3069.0|0|0.0|100
0|2021-12-31|157470.0|0|157470.0|0|3072.0|0|0.0|100
0|2022-01-01|161029.0|0|161029.0|0|3074.0|0|0.0|100
0|2022-01-02|163211.0|0|163211.0|0|3074.0|0|0.0|100
0|2022-01-03|165317.0|0|165317.0|0|3075.0|0|0.0|100
0|2022-01-04|168644.0|0|168644.0|0|3083.0|0|0.0|100
0|2022-01-05|172553.0|0|172553.0|0|3088.0|0|0.0|100
0|2022-01-06|175750.0|0|175750.0|0|3099.0|0|0.0|100
0|2022-01-07|179690.0|0|179690.0|0|3103.0|0|0.0|100
0|2022-01-08|183161.0|0|183161.0|0|3117.0|0|0.0|100
