|dates|Lawrence_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Lawrence_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Lawrence_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Lawrence_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Lawrence_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Lawrence_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Lawrence_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Lawrence_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2556.0|0|2556.0|0|38.0|0|0.0|100
0|2021-10-18|2563.0|0|2563.0|0|38.0|0|0.0|100
0|2021-10-19|2581.0|0|2581.0|0|38.0|0|0.0|100
0|2021-10-20|2592.0|0|2592.0|0|38.0|0|0.0|100
0|2021-10-21|2599.0|0|2599.0|0|38.0|0|0.0|100
0|2021-10-22|2612.0|0|2612.0|0|38.0|0|0.0|100
0|2021-10-23|2612.0|0|2612.0|0|38.0|0|0.0|100
0|2021-10-24|2612.0|0|2612.0|0|38.0|0|0.0|100
0|2021-10-25|2617.0|0|2617.0|0|39.0|0|0.0|100
0|2021-10-26|2628.0|0|2628.0|0|39.0|0|0.0|100
0|2021-10-27|2640.0|0|2640.0|0|39.0|0|0.0|100
0|2021-10-28|2652.0|0|2652.0|0|39.0|0|0.0|100
0|2021-10-29|2660.0|0|2660.0|0|39.0|0|0.0|100
0|2021-10-30|2660.0|0|2660.0|0|39.0|0|0.0|100
0|2021-10-31|2660.0|0|2660.0|0|39.0|0|0.0|100
0|2021-11-01|2664.0|0|2664.0|0|39.0|0|0.0|100
0|2021-11-02|2672.0|0|2672.0|0|39.0|0|0.0|100
0|2021-11-03|2678.0|0|2678.0|0|39.0|0|0.0|100
0|2021-11-04|2681.0|0|2681.0|0|40.0|0|0.0|100
0|2021-11-05|2689.0|0|2689.0|0|40.0|0|0.0|100
