|dates|BearLake_Idaho_UnitedStates.JHU_ConfirmedCases.data|BearLake_Idaho_UnitedStates.JHU_ConfirmedCases.missing|BearLake_Idaho_UnitedStates.NYT_ConfirmedCases.data|BearLake_Idaho_UnitedStates.NYT_ConfirmedCases.missing|BearLake_Idaho_UnitedStates.JHU_ConfirmedDeaths.data|BearLake_Idaho_UnitedStates.JHU_ConfirmedDeaths.missing|BearLake_Idaho_UnitedStates.JHU_ConfirmedRecoveries.data|BearLake_Idaho_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|640.0|0|641.0|0|13.0|0|0.0|100
0|2021-10-18|651.0|0|652.0|0|13.0|0|0.0|100
0|2021-10-19|655.0|0|659.0|0|13.0|0|0.0|100
0|2021-10-20|657.0|0|663.0|0|13.0|0|0.0|100
0|2021-10-21|665.0|0|671.0|0|13.0|0|0.0|100
0|2021-10-22|671.0|0|677.0|0|13.0|0|0.0|100
0|2021-10-23|671.0|0|677.0|0|13.0|0|0.0|100
0|2021-10-24|671.0|0|677.0|0|13.0|0|0.0|100
0|2021-10-25|673.0|0|677.0|0|13.0|0|0.0|100
0|2021-10-26|682.0|0|686.0|0|13.0|0|0.0|100
0|2021-10-27|689.0|0|692.0|0|13.0|0|0.0|100
0|2021-10-28|691.0|0|694.0|0|13.0|0|0.0|100
0|2021-10-29|698.0|0|701.0|0|13.0|0|0.0|100
0|2021-10-30|698.0|0|701.0|0|13.0|0|0.0|100
0|2021-10-31|698.0|0|701.0|0|13.0|0|0.0|100
0|2021-11-01|703.0|0|706.0|0|13.0|0|0.0|100
0|2021-11-02|709.0|0|712.0|0|13.0|0|0.0|100
0|2021-11-03|710.0|0|713.0|0|13.0|0|0.0|100
0|2021-11-04|712.0|0|715.0|0|13.0|0|0.0|100
0|2021-11-05|713.0|0|716.0|0|13.0|0|0.0|100
0|2021-11-06|713.0|0|716.0|0|13.0|0|0.0|100
0|2021-11-07|713.0|0|716.0|0|13.0|0|0.0|100
0|2021-11-08|717.0|0|720.0|0|13.0|0|0.0|100
0|2021-11-09|717.0|0|720.0|0|13.0|0|0.0|100
0|2021-11-10|718.0|0|721.0|0|13.0|0|0.0|100
0|2021-11-11|718.0|0|721.0|0|13.0|0|0.0|100
0|2021-11-12|719.0|0|721.0|0|13.0|0|0.0|100
0|2021-11-13|719.0|0|721.0|0|14.0|0|0.0|100
0|2021-11-14|719.0|0|721.0|0|14.0|0|0.0|100
0|2021-11-15|722.0|0|724.0|0|14.0|0|0.0|100
0|2021-11-16|722.0|0|724.0|0|14.0|0|0.0|100
0|2021-11-17|724.0|0|725.0|0|14.0|0|0.0|100
0|2021-11-18|724.0|0|725.0|0|14.0|0|0.0|100
0|2021-11-19|725.0|0|726.0|0|14.0|0|0.0|100
0|2021-11-20|725.0|0|726.0|0|14.0|0|0.0|100
0|2021-11-21|725.0|0|726.0|0|14.0|0|0.0|100
0|2021-11-22|727.0|0|727.0|0|14.0|0|0.0|100
0|2021-11-23|727.0|0|728.0|0|14.0|0|0.0|100
0|2021-11-24|727.0|0|728.0|0|14.0|0|0.0|100
0|2021-11-25|727.0|0|728.0|0|14.0|0|0.0|100
0|2021-11-26|728.0|0|729.0|0|14.0|0|0.0|100
0|2021-11-27|728.0|0|729.0|0|14.0|0|0.0|100
0|2021-11-28|728.0|0|729.0|0|14.0|0|0.0|100
0|2021-11-29|728.0|0|729.0|0|14.0|0|0.0|100
0|2021-11-30|728.0|0|729.0|0|14.0|0|0.0|100
0|2021-12-01|728.0|0|729.0|0|14.0|0|0.0|100
0|2021-12-02|738.0|0|739.0|0|14.0|0|0.0|100
0|2021-12-03|738.0|0|739.0|0|14.0|0|0.0|100
0|2021-12-04|738.0|0|739.0|0|14.0|0|0.0|100
0|2021-12-05|738.0|0|739.0|0|14.0|0|0.0|100
0|2021-12-06|738.0|0|739.0|0|15.0|0|0.0|100
0|2021-12-07|740.0|0|741.0|0|15.0|0|0.0|100
0|2021-12-08|740.0|0|741.0|0|15.0|0|0.0|100
0|2021-12-09|741.0|0|741.0|0|15.0|0|0.0|100
0|2021-12-10|741.0|0|741.0|0|15.0|0|0.0|100
0|2021-12-11|741.0|0|741.0|0|15.0|0|0.0|100
0|2021-12-12|741.0|0|741.0|0|15.0|0|0.0|100
0|2021-12-13|741.0|0|741.0|0|15.0|0|0.0|100
0|2021-12-14|741.0|0|743.0|0|15.0|0|0.0|100
0|2021-12-15|745.0|0|745.0|0|15.0|0|0.0|100
0|2021-12-16|748.0|0|748.0|0|15.0|0|0.0|100
0|2021-12-17|749.0|0|749.0|0|15.0|0|0.0|100
0|2021-12-18|749.0|0|749.0|0|15.0|0|0.0|100
0|2021-12-19|749.0|0|749.0|0|15.0|0|0.0|100
0|2021-12-20|749.0|0|749.0|0|15.0|0|0.0|100
0|2021-12-21|749.0|0|749.0|0|15.0|0|0.0|100
0|2021-12-22|750.0|0|750.0|0|15.0|0|0.0|100
0|2021-12-23|750.0|0|767.0|0|15.0|0|0.0|100
0|2021-12-24|750.0|0|767.0|0|15.0|0|0.0|100
0|2021-12-25|750.0|0|767.0|0|15.0|0|0.0|100
0|2021-12-26|750.0|0|767.0|0|15.0|0|0.0|100
0|2021-12-27|753.0|0|770.0|0|15.0|0|0.0|100
0|2021-12-28|755.0|0|773.0|0|15.0|0|0.0|100
0|2021-12-29|754.0|0|772.0|0|15.0|0|0.0|100
0|2021-12-30|754.0|0|772.0|0|15.0|0|0.0|100
0|2021-12-31|754.0|0|772.0|0|15.0|0|0.0|100
0|2022-01-01|754.0|0|772.0|0|15.0|0|0.0|100
0|2022-01-02|754.0|0|772.0|0|15.0|0|0.0|100
0|2022-01-03|755.0|0|773.0|0|15.0|0|0.0|100
0|2022-01-04|755.0|0|773.0|0|15.0|0|0.0|100
0|2022-01-05|757.0|0|775.0|0|15.0|0|0.0|100
0|2022-01-06|760.0|0|777.0|0|15.0|0|0.0|100
0|2022-01-07|764.0|0|781.0|0|15.0|0|0.0|100
0|2022-01-08|764.0|0|781.0|0|15.0|0|0.0|100
0|2022-01-09|764.0|0|781.0|0|15.0|0|0.0|100
0|2022-01-10|764.0|0|781.0|0|15.0|0|0.0|100
0|2022-01-11|770.0|0|787.0|0|15.0|0|0.0|100
0|2022-01-12|774.0|0|791.0|0|15.0|0|0.0|100
0|2022-01-13|774.0|0|795.0|0|15.0|0|0.0|100
0|2022-01-14|785.0|0|802.0|0|15.0|0|0.0|100
0|2022-01-15|785.0|0|802.0|0|15.0|0|0.0|100
0|2022-01-16|785.0|0|802.0|0|15.0|0|0.0|100
0|2022-01-17|785.0|0|0.0|100|15.0|0|0.0|100
