|dates|BenHill_Georgia_UnitedStates.JHU_ConfirmedCases.data|BenHill_Georgia_UnitedStates.JHU_ConfirmedCases.missing|BenHill_Georgia_UnitedStates.NYT_ConfirmedCases.data|BenHill_Georgia_UnitedStates.NYT_ConfirmedCases.missing|BenHill_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|BenHill_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|BenHill_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|BenHill_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3178.0|0|3202.0|0|99.0|0|0.0|100
0|2021-10-18|3183.0|0|3208.0|0|100.0|0|0.0|100
0|2021-10-19|3189.0|0|3214.0|0|100.0|0|0.0|100
0|2021-10-20|3193.0|0|3218.0|0|101.0|0|0.0|100
0|2021-10-21|3194.0|0|3219.0|0|101.0|0|0.0|100
0|2021-10-22|3196.0|0|3221.0|0|101.0|0|0.0|100
0|2021-10-23|3196.0|0|3221.0|0|101.0|0|0.0|100
0|2021-10-24|3196.0|0|3221.0|0|101.0|0|0.0|100
0|2021-10-25|3199.0|0|3224.0|0|101.0|0|0.0|100
0|2021-10-26|3201.0|0|3226.0|0|101.0|0|0.0|100
0|2021-10-27|3203.0|0|3228.0|0|101.0|0|0.0|100
0|2021-10-28|3205.0|0|3230.0|0|101.0|0|0.0|100
0|2021-10-29|3207.0|0|3232.0|0|101.0|0|0.0|100
0|2021-10-30|3207.0|0|3232.0|0|101.0|0|0.0|100
0|2021-10-31|3207.0|0|3232.0|0|101.0|0|0.0|100
0|2021-11-01|3211.0|0|3236.0|0|101.0|0|0.0|100
0|2021-11-02|3218.0|0|3243.0|0|101.0|0|0.0|100
0|2021-11-03|3222.0|0|3247.0|0|101.0|0|0.0|100
0|2021-11-04|3224.0|0|3249.0|0|101.0|0|0.0|100
0|2021-11-05|3226.0|0|3251.0|0|101.0|0|0.0|100
0|2021-11-06|3226.0|0|3251.0|0|101.0|0|0.0|100
0|2021-11-07|3226.0|0|3251.0|0|101.0|0|0.0|100
0|2021-11-08|3226.0|0|3251.0|0|101.0|0|0.0|100
0|2021-11-09|3229.0|0|3254.0|0|104.0|0|0.0|100
0|2021-11-10|3229.0|0|3254.0|0|104.0|0|0.0|100
0|2021-11-11|3229.0|0|3254.0|0|104.0|0|0.0|100
0|2021-11-12|3230.0|0|3255.0|0|104.0|0|0.0|100
0|2021-11-13|3230.0|0|3255.0|0|104.0|0|0.0|100
0|2021-11-14|3230.0|0|3255.0|0|104.0|0|0.0|100
