|dates|Jackson_Alabama_UnitedStates.JHU_ConfirmedCases.data|Jackson_Alabama_UnitedStates.JHU_ConfirmedCases.missing|Jackson_Alabama_UnitedStates.NYT_ConfirmedCases.data|Jackson_Alabama_UnitedStates.NYT_ConfirmedCases.missing|Jackson_Alabama_UnitedStates.JHU_ConfirmedDeaths.data|Jackson_Alabama_UnitedStates.JHU_ConfirmedDeaths.missing|Jackson_Alabama_UnitedStates.JHU_ConfirmedRecoveries.data|Jackson_Alabama_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|9793.0|0|9793.0|0|180.0|0|0.0|100
0|2021-10-18|9795.0|0|9795.0|0|180.0|0|0.0|100
0|2021-10-19|9808.0|0|9808.0|0|182.0|0|0.0|100
0|2021-10-20|9819.0|0|9819.0|0|182.0|0|0.0|100
0|2021-10-21|9844.0|0|9844.0|0|182.0|0|0.0|100
0|2021-10-22|9860.0|0|9860.0|0|183.0|0|0.0|100
0|2021-10-23|9871.0|0|9871.0|0|184.0|0|0.0|100
0|2021-10-24|9874.0|0|9874.0|0|184.0|0|0.0|100
0|2021-10-25|9877.0|0|9877.0|0|184.0|0|0.0|100
0|2021-10-26|9909.0|0|9909.0|0|185.0|0|0.0|100
0|2021-10-27|9987.0|0|9987.0|0|185.0|0|0.0|100
0|2021-10-28|10054.0|0|10054.0|0|185.0|0|0.0|100
0|2021-10-29|10058.0|0|10058.0|0|186.0|0|0.0|100
0|2021-10-30|10055.0|0|10055.0|0|188.0|0|0.0|100
0|2021-10-31|10059.0|0|10059.0|0|188.0|0|0.0|100
0|2021-11-01|10059.0|0|10059.0|0|188.0|0|0.0|100
0|2021-11-02|10087.0|0|10087.0|0|188.0|0|0.0|100
0|2021-11-03|10094.0|0|10094.0|0|189.0|0|0.0|100
0|2021-11-04|10119.0|0|10119.0|0|191.0|0|0.0|100
0|2021-11-05|10118.0|0|10118.0|0|192.0|0|0.0|100
0|2021-11-06|10116.0|0|10116.0|0|192.0|0|0.0|100
0|2021-11-07|10117.0|0|10117.0|0|192.0|0|0.0|100
0|2021-11-08|10118.0|0|10118.0|0|192.0|0|0.0|100
0|2021-11-09|10122.0|0|10122.0|0|192.0|0|0.0|100
0|2021-11-10|10111.0|0|10111.0|0|193.0|0|0.0|100
0|2021-11-11|10131.0|0|10131.0|0|194.0|0|0.0|100
0|2021-11-12|10137.0|0|10137.0|0|194.0|0|0.0|100
0|2021-11-13|10131.0|0|10131.0|0|194.0|0|0.0|100
0|2021-11-14|10134.0|0|10134.0|0|194.0|0|0.0|100
0|2021-11-15|10143.0|0|10143.0|0|194.0|0|0.0|100
0|2021-11-16|10140.0|0|10140.0|0|194.0|0|0.0|100
0|2021-11-17|10136.0|0|10136.0|0|194.0|0|0.0|100
0|2021-11-18|10139.0|0|10139.0|0|194.0|0|0.0|100
0|2021-11-19|10137.0|0|10137.0|0|194.0|0|0.0|100
0|2021-11-20|10146.0|0|10146.0|0|195.0|0|0.0|100
0|2021-11-21|10148.0|0|10148.0|0|195.0|0|0.0|100
0|2021-11-22|10152.0|0|10152.0|0|195.0|0|0.0|100
0|2021-11-23|10162.0|0|10162.0|0|194.0|0|0.0|100
