|dates|Allegheny_Pennsylvania_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.data|Allegheny_Pennsylvania_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.missing|Allegheny_Pennsylvania_UnitedStates.NYT_ConfirmedDeaths.data|Allegheny_Pennsylvania_UnitedStates.NYT_ConfirmedDeaths.missing|Allegheny_Pennsylvania_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.data|Allegheny_Pennsylvania_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.missing|Allegheny_Pennsylvania_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.data|Allegheny_Pennsylvania_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.missing
0|2021-10-17|0.0|100|2257.0|0|0.0|100|0.0|100
0|2021-10-18|0.0|100|2263.0|0|0.0|100|0.0|100
0|2021-10-19|0.0|100|2267.0|0|0.0|100|0.0|100
0|2021-10-20|0.0|100|2281.0|0|0.0|100|0.0|100
0|2021-10-21|0.0|100|2286.0|0|0.0|100|0.0|100
0|2021-10-22|0.0|100|2298.0|0|0.0|100|0.0|100
0|2021-10-23|0.0|100|2303.0|0|0.0|100|0.0|100
0|2021-10-24|0.0|100|2303.0|0|0.0|100|0.0|100
0|2021-10-25|0.0|100|2303.0|0|0.0|100|0.0|100
0|2021-10-26|0.0|100|2306.0|0|0.0|100|0.0|100
0|2021-10-27|0.0|100|2321.0|0|0.0|100|0.0|100
0|2021-10-28|0.0|100|2332.0|0|0.0|100|0.0|100
0|2021-10-29|0.0|100|2334.0|0|0.0|100|0.0|100
0|2021-10-30|0.0|100|2338.0|0|0.0|100|0.0|100
0|2021-10-31|0.0|100|2343.0|0|0.0|100|0.0|100
0|2021-11-01|0.0|100|2343.0|0|0.0|100|0.0|100
0|2021-11-02|0.0|100|2350.0|0|0.0|100|0.0|100
0|2021-11-03|0.0|100|2358.0|0|0.0|100|0.0|100
0|2021-11-04|0.0|100|2369.0|0|0.0|100|0.0|100
0|2021-11-05|0.0|100|2372.0|0|0.0|100|0.0|100
0|2021-11-06|0.0|100|2376.0|0|0.0|100|0.0|100
0|2021-11-07|0.0|100|2376.0|0|0.0|100|0.0|100
0|2021-11-08|0.0|100|2378.0|0|0.0|100|0.0|100
0|2021-11-09|0.0|100|2388.0|0|0.0|100|0.0|100
0|2021-11-10|0.0|100|2402.0|0|0.0|100|0.0|100
0|2021-11-11|0.0|100|2412.0|0|0.0|100|0.0|100
0|2021-11-12|0.0|100|2414.0|0|0.0|100|0.0|100
0|2021-11-13|0.0|100|2420.0|0|0.0|100|0.0|100
0|2021-11-14|0.0|100|2423.0|0|0.0|100|0.0|100
0|2021-11-15|0.0|100|2424.0|0|0.0|100|0.0|100
0|2021-11-16|0.0|100|2431.0|0|0.0|100|0.0|100
0|2021-11-17|0.0|100|2439.0|0|0.0|100|0.0|100
