|dates|Northumberland_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Northumberland_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Northumberland_Pennsylvania_UnitedStates.NYT_ConfirmedCases.data|Northumberland_Pennsylvania_UnitedStates.NYT_ConfirmedCases.missing|Northumberland_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Northumberland_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Northumberland_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Northumberland_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|12263.0|0|12263.0|0|396.0|0|0.0|100
0|2021-10-18|12296.0|0|12296.0|0|396.0|0|0.0|100
0|2021-10-19|12313.0|0|12313.0|0|396.0|0|0.0|100
0|2021-10-20|12353.0|0|12353.0|0|398.0|0|0.0|100
0|2021-10-21|12399.0|0|12399.0|0|399.0|0|0.0|100
0|2021-10-22|12462.0|0|12462.0|0|399.0|0|0.0|100
0|2021-10-23|12516.0|0|12516.0|0|399.0|0|0.0|100
0|2021-10-24|12556.0|0|12556.0|0|399.0|0|0.0|100
0|2021-10-25|12577.0|0|12577.0|0|399.0|0|0.0|100
0|2021-10-26|12604.0|0|12604.0|0|400.0|0|0.0|100
0|2021-10-27|12672.0|0|12672.0|0|403.0|0|0.0|100
0|2021-10-28|12751.0|0|12751.0|0|404.0|0|0.0|100
0|2021-10-29|12810.0|0|12810.0|0|404.0|0|0.0|100
0|2021-10-30|12862.0|0|12862.0|0|404.0|0|0.0|100
0|2021-10-31|12910.0|0|12910.0|0|404.0|0|0.0|100
0|2021-11-01|12910.0|0|12910.0|0|404.0|0|0.0|100
0|2021-11-02|12969.0|0|12969.0|0|405.0|0|0.0|100
0|2021-11-03|13013.0|0|13013.0|0|406.0|0|0.0|100
0|2021-11-04|13060.0|0|13060.0|0|407.0|0|0.0|100
0|2021-11-05|13127.0|0|13127.0|0|407.0|0|0.0|100
0|2021-11-06|13177.0|0|13177.0|0|407.0|0|0.0|100
0|2021-11-07|13211.0|0|13211.0|0|407.0|0|0.0|100
