|dates|Grant_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Grant_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Grant_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Grant_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Grant_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Grant_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Grant_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Grant_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3950.0|0|4199.0|0|30.0|0|0.0|100
0|2021-10-18|3974.0|0|4212.0|0|30.0|0|0.0|100
0|2021-10-19|4007.0|0|4239.0|0|30.0|0|0.0|100
0|2021-10-20|4032.0|0|4282.0|0|30.0|0|0.0|100
0|2021-10-21|4050.0|0|4297.0|0|32.0|0|0.0|100
0|2021-10-22|4055.0|0|4316.0|0|32.0|0|0.0|100
0|2021-10-23|4055.0|0|4316.0|0|32.0|0|0.0|100
0|2021-10-24|4055.0|0|4316.0|0|32.0|0|0.0|100
0|2021-10-25|4079.0|0|4350.0|0|32.0|0|0.0|100
0|2021-10-26|4093.0|0|4358.0|0|32.0|0|0.0|100
0|2021-10-27|4104.0|0|4367.0|0|32.0|0|0.0|100
0|2021-10-28|4132.0|0|4383.0|0|32.0|0|0.0|100
0|2021-10-29|4142.0|0|4394.0|0|35.0|0|0.0|100
0|2021-10-30|4142.0|0|4394.0|0|35.0|0|0.0|100
0|2021-10-31|4142.0|0|4394.0|0|35.0|0|0.0|100
0|2021-11-01|4161.0|0|4415.0|0|35.0|0|0.0|100
0|2021-11-02|4170.0|0|4423.0|0|35.0|0|0.0|100
0|2021-11-03|4187.0|0|4441.0|0|35.0|0|0.0|100
0|2021-11-04|4200.0|0|4457.0|0|35.0|0|0.0|100
0|2021-11-05|4212.0|0|4457.0|0|35.0|0|0.0|100
0|2021-11-06|4212.0|0|4457.0|0|35.0|0|0.0|100
0|2021-11-07|4212.0|0|4457.0|0|35.0|0|0.0|100
0|2021-11-08|4257.0|0|4534.0|0|35.0|0|0.0|100
0|2021-11-09|4274.0|0|4545.0|0|35.0|0|0.0|100
0|2021-11-10|4295.0|0|4570.0|0|35.0|0|0.0|100
0|2021-11-11|4295.0|0|4570.0|0|35.0|0|0.0|100
0|2021-11-12|4324.0|0|4598.0|0|35.0|0|0.0|100
0|2021-11-13|4324.0|0|4598.0|0|35.0|0|0.0|100
0|2021-11-14|4324.0|0|4598.0|0|35.0|0|0.0|100
0|2021-11-15|4344.0|0|4633.0|0|36.0|0|0.0|100
0|2021-11-16|4348.0|0|4638.0|0|36.0|0|0.0|100
0|2021-11-17|4369.0|0|4649.0|0|36.0|0|0.0|100
0|2021-11-18|4394.0|0|4672.0|0|36.0|0|0.0|100
0|2021-11-19|4415.0|0|4692.0|0|36.0|0|0.0|100
0|2021-11-20|4415.0|0|4692.0|0|36.0|0|0.0|100
0|2021-11-21|4415.0|0|4692.0|0|36.0|0|0.0|100
0|2021-11-22|4441.0|0|4738.0|0|36.0|0|0.0|100
0|2021-11-23|4469.0|0|4750.0|0|36.0|0|0.0|100
0|2021-11-24|4497.0|0|4782.0|0|36.0|0|0.0|100
0|2021-11-25|4497.0|0|4782.0|0|36.0|0|0.0|100
0|2021-11-26|4497.0|0|4782.0|0|36.0|0|0.0|100
0|2021-11-27|4497.0|0|4782.0|0|36.0|0|0.0|100
0|2021-11-28|4497.0|0|4782.0|0|36.0|0|0.0|100
0|2021-11-29|4542.0|0|4840.0|0|37.0|0|0.0|100
0|2021-11-30|4559.0|0|4856.0|0|37.0|0|0.0|100
0|2021-12-01|4601.0|0|4894.0|0|37.0|0|0.0|100
0|2021-12-02|4627.0|0|4926.0|0|40.0|0|0.0|100
0|2021-12-03|4649.0|0|4954.0|0|40.0|0|0.0|100
0|2021-12-04|4649.0|0|4954.0|0|40.0|0|0.0|100
0|2021-12-05|4649.0|0|4954.0|0|40.0|0|0.0|100
0|2021-12-06|4677.0|0|5006.0|0|41.0|0|0.0|100
0|2021-12-07|4704.0|0|5033.0|0|41.0|0|0.0|100
0|2021-12-08|4731.0|0|5060.0|0|41.0|0|0.0|100
0|2021-12-09|4764.0|0|5074.0|0|41.0|0|0.0|100
0|2021-12-10|4783.0|0|5099.0|0|41.0|0|0.0|100
0|2021-12-11|4783.0|0|5099.0|0|41.0|0|0.0|100
0|2021-12-12|4783.0|0|5099.0|0|41.0|0|0.0|100
0|2021-12-13|4815.0|0|5153.0|0|41.0|0|0.0|100
0|2021-12-14|4815.0|0|5170.0|0|41.0|0|0.0|100
0|2021-12-15|4872.0|0|5193.0|0|41.0|0|0.0|100
0|2021-12-16|4892.0|0|5215.0|0|41.0|0|0.0|100
0|2021-12-17|4908.0|0|5248.0|0|41.0|0|0.0|100
0|2021-12-18|4908.0|0|5248.0|0|41.0|0|0.0|100
0|2021-12-19|4908.0|0|5248.0|0|41.0|0|0.0|100
0|2021-12-20|4942.0|0|5287.0|0|41.0|0|0.0|100
0|2021-12-21|4946.0|0|5294.0|0|41.0|0|0.0|100
0|2021-12-22|4956.0|0|5308.0|0|41.0|0|0.0|100
0|2021-12-23|4956.0|0|5308.0|0|41.0|0|0.0|100
0|2021-12-24|4956.0|0|5308.0|0|41.0|0|0.0|100
0|2021-12-25|4956.0|0|5308.0|0|41.0|0|0.0|100
