|dates|Bertie_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Bertie_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Bertie_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data|Bertie_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Bertie_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Bertie_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Bertie_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Bertie_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2434.0|0|2434.0|0|49.0|0|0.0|100
0|2021-10-18|2442.0|0|2442.0|0|50.0|0|0.0|100
0|2021-10-19|2446.0|0|2446.0|0|50.0|0|0.0|100
0|2021-10-20|2446.0|0|2446.0|0|51.0|0|0.0|100
0|2021-10-21|2451.0|0|2451.0|0|51.0|0|0.0|100
0|2021-10-22|2453.0|0|2453.0|0|51.0|0|0.0|100
0|2021-10-23|2453.0|0|2453.0|0|51.0|0|0.0|100
0|2021-10-24|2453.0|0|2453.0|0|51.0|0|0.0|100
0|2021-10-25|2464.0|0|2464.0|0|52.0|0|0.0|100
0|2021-10-26|2464.0|0|2464.0|0|52.0|0|0.0|100
0|2021-10-27|2468.0|0|2468.0|0|52.0|0|0.0|100
0|2021-10-28|2474.0|0|2474.0|0|52.0|0|0.0|100
0|2021-10-29|2475.0|0|2475.0|0|52.0|0|0.0|100
0|2021-10-30|2475.0|0|2475.0|0|52.0|0|0.0|100
0|2021-10-31|2475.0|0|2475.0|0|52.0|0|0.0|100
0|2021-11-01|2480.0|0|2480.0|0|52.0|0|0.0|100
0|2021-11-02|2484.0|0|2484.0|0|52.0|0|0.0|100
0|2021-11-03|2487.0|0|2487.0|0|52.0|0|0.0|100
0|2021-11-04|2492.0|0|2492.0|0|52.0|0|0.0|100
0|2021-11-05|2495.0|0|2495.0|0|52.0|0|0.0|100
0|2021-11-06|2495.0|0|2495.0|0|52.0|0|0.0|100
0|2021-11-07|2495.0|0|2495.0|0|52.0|0|0.0|100
0|2021-11-08|2502.0|0|2502.0|0|52.0|0|0.0|100
0|2021-11-09|2502.0|0|2502.0|0|52.0|0|0.0|100
0|2021-11-10|2502.0|0|2506.0|0|52.0|0|0.0|100
