|dates|Putnam_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Putnam_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Putnam_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Putnam_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Putnam_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Putnam_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Putnam_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Putnam_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|16527.0|0|16527.0|0|214.0|0|0.0|100
0|2021-10-18|16556.0|0|16556.0|0|214.0|0|0.0|100
0|2021-10-19|16565.0|0|16565.0|0|214.0|0|0.0|100
0|2021-10-20|16599.0|0|16599.0|0|218.0|0|0.0|100
0|2021-10-21|16613.0|0|16613.0|0|218.0|0|0.0|100
0|2021-10-22|16655.0|0|16655.0|0|218.0|0|0.0|100
0|2021-10-23|16655.0|0|16655.0|0|218.0|0|0.0|100
0|2021-10-24|16655.0|0|16655.0|0|218.0|0|0.0|100
0|2021-10-25|16655.0|0|16655.0|0|218.0|0|0.0|100
0|2021-10-26|16682.0|0|16682.0|0|218.0|0|0.0|100
0|2021-10-27|16689.0|0|16689.0|0|218.0|0|0.0|100
0|2021-10-28|16727.0|0|16727.0|0|218.0|0|0.0|100
0|2021-10-29|16738.0|0|16738.0|0|218.0|0|0.0|100
0|2021-10-30|16738.0|0|16738.0|0|218.0|0|0.0|100
0|2021-10-31|16738.0|0|16738.0|0|218.0|0|0.0|100
0|2021-11-01|16738.0|0|16738.0|0|218.0|0|0.0|100
0|2021-11-02|16764.0|0|16764.0|0|220.0|0|0.0|100
0|2021-11-03|16788.0|0|16788.0|0|220.0|0|0.0|100
0|2021-11-04|16791.0|0|16791.0|0|220.0|0|0.0|100
0|2021-11-05|16797.0|0|16797.0|0|220.0|0|0.0|100
0|2021-11-06|16797.0|0|16797.0|0|220.0|0|0.0|100
0|2021-11-07|16797.0|0|16797.0|0|220.0|0|0.0|100
0|2021-11-08|16797.0|0|16797.0|0|220.0|0|0.0|100
0|2021-11-09|16829.0|0|16829.0|0|220.0|0|0.0|100
0|2021-11-10|16836.0|0|16836.0|0|220.0|0|0.0|100
0|2021-11-11|16836.0|0|16836.0|0|220.0|0|0.0|100
0|2021-11-12|16854.0|0|16854.0|0|220.0|0|0.0|100
0|2021-11-13|16854.0|0|16854.0|0|220.0|0|0.0|100
0|2021-11-14|16854.0|0|16854.0|0|220.0|0|0.0|100
0|2021-11-15|16881.0|0|16881.0|0|220.0|0|0.0|100
0|2021-11-16|16903.0|0|16903.0|0|220.0|0|0.0|100
0|2021-11-17|16926.0|0|16926.0|0|221.0|0|0.0|100
0|2021-11-18|16944.0|0|16944.0|0|221.0|0|0.0|100
0|2021-11-19|16957.0|0|16957.0|0|223.0|0|0.0|100
0|2021-11-20|16957.0|0|16957.0|0|223.0|0|0.0|100
0|2021-11-21|16957.0|0|16957.0|0|223.0|0|0.0|100
0|2021-11-22|16984.0|0|16984.0|0|223.0|0|0.0|100
0|2021-11-23|16991.0|0|16991.0|0|224.0|0|0.0|100
0|2021-11-24|17007.0|0|17007.0|0|225.0|0|0.0|100
0|2021-11-25|17007.0|0|17007.0|0|225.0|0|0.0|100
0|2021-11-26|17007.0|0|17007.0|0|225.0|0|0.0|100
0|2021-11-27|17007.0|0|17007.0|0|225.0|0|0.0|100
0|2021-11-28|17007.0|0|17007.0|0|225.0|0|0.0|100
0|2021-11-29|17054.0|0|17054.0|0|225.0|0|0.0|100
0|2021-11-30|17088.0|0|17088.0|0|225.0|0|0.0|100
0|2021-12-01|17133.0|0|17133.0|0|226.0|0|0.0|100
0|2021-12-02|17151.0|0|17151.0|0|227.0|0|0.0|100
0|2021-12-03|17173.0|0|17173.0|0|228.0|0|0.0|100
0|2021-12-04|17173.0|0|17173.0|0|228.0|0|0.0|100
0|2021-12-05|17173.0|0|17173.0|0|228.0|0|0.0|100
0|2021-12-06|17214.0|0|17214.0|0|228.0|0|0.0|100
0|2021-12-07|17234.0|0|17234.0|0|228.0|0|0.0|100
0|2021-12-08|17259.0|0|17259.0|0|228.0|0|0.0|100
0|2021-12-09|17259.0|0|17259.0|0|228.0|0|0.0|100
0|2021-12-10|17304.0|0|17304.0|0|228.0|0|0.0|100
0|2021-12-11|17304.0|0|17304.0|0|228.0|0|0.0|100
0|2021-12-12|17304.0|0|17304.0|0|228.0|0|0.0|100
0|2021-12-13|17354.0|0|17354.0|0|228.0|0|0.0|100
0|2021-12-14|17354.0|0|17372.0|0|228.0|0|0.0|100
0|2021-12-15|17409.0|0|17409.0|0|229.0|0|0.0|100
