|dates|JeffDavis_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|JeffDavis_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|JeffDavis_Texas_UnitedStates.Male_Total_Population.data|JeffDavis_Texas_UnitedStates.Male_Total_Population.missing|JeffDavis_Texas_UnitedStates.Female_Total_Population.data|JeffDavis_Texas_UnitedStates.Female_Total_Population.missing|JeffDavis_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|JeffDavis_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-10-18|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-10-19|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-10-20|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-10-21|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-10-22|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-10-23|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-10-24|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-10-25|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-10-26|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-10-27|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-10-28|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-10-29|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-10-30|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-10-31|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-11-01|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-11-02|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-11-03|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-11-04|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-11-05|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-11-06|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-11-07|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-11-08|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-11-09|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-11-10|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-11-11|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-11-12|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-11-13|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-11-14|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-11-15|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-11-16|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-11-17|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-11-18|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-11-19|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-11-20|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-11-21|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-11-22|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-11-23|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-11-24|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-11-25|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-11-26|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-11-27|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-11-28|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-11-29|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-11-30|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-12-01|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-12-02|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-12-03|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-12-04|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-12-05|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-12-06|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-12-07|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-12-08|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-12-09|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-12-10|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-12-11|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-12-12|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-12-13|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-12-14|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-12-15|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-12-16|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-12-17|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-12-18|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-12-19|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-12-20|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-12-21|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-12-22|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-12-23|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-12-24|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-12-25|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-12-26|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-12-27|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-12-28|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-12-29|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-12-30|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2021-12-31|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2022-01-01|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2022-01-02|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2022-01-03|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2022-01-04|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2022-01-05|785.0|0|1154.0|0|1098.0|0|174.0|0
