|dates|Sherburne_Minnesota_UnitedStates.JHU_ConfirmedCases.data|Sherburne_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|Sherburne_Minnesota_UnitedStates.NYT_ConfirmedCases.data|Sherburne_Minnesota_UnitedStates.NYT_ConfirmedCases.missing|Sherburne_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|Sherburne_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|Sherburne_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|Sherburne_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|15232.0|0|15232.0|0|111.0|0|0.0|100
0|2021-10-18|15291.0|0|15291.0|0|114.0|0|0.0|100
0|2021-10-19|15420.0|0|15420.0|0|114.0|0|0.0|100
0|2021-10-20|15467.0|0|15467.0|0|115.0|0|0.0|100
0|2021-10-21|15480.0|0|15480.0|0|115.0|0|0.0|100
0|2021-10-22|15515.0|0|15515.0|0|115.0|0|0.0|100
0|2021-10-23|15515.0|0|15515.0|0|115.0|0|0.0|100
0|2021-10-24|15515.0|0|15515.0|0|115.0|0|0.0|100
0|2021-10-25|15601.0|0|15601.0|0|115.0|0|0.0|100
0|2021-10-26|15716.0|0|15716.0|0|115.0|0|0.0|100
0|2021-10-27|15764.0|0|15764.0|0|116.0|0|0.0|100
0|2021-10-28|15835.0|0|15835.0|0|116.0|0|0.0|100
0|2021-10-29|15866.0|0|15866.0|0|116.0|0|0.0|100
0|2021-10-30|15866.0|0|15866.0|0|116.0|0|0.0|100
0|2021-10-31|15866.0|0|15866.0|0|116.0|0|0.0|100
0|2021-11-01|16090.0|0|16090.0|0|116.0|0|0.0|100
0|2021-11-02|16224.0|0|16224.0|0|117.0|0|0.0|100
0|2021-11-03|16300.0|0|16300.0|0|117.0|0|0.0|100
0|2021-11-04|16393.0|0|16393.0|0|117.0|0|0.0|100
0|2021-11-05|16453.0|0|16453.0|0|117.0|0|0.0|100
0|2021-11-06|16453.0|0|16453.0|0|117.0|0|0.0|100
0|2021-11-07|16453.0|0|16453.0|0|117.0|0|0.0|100
0|2021-11-08|16548.0|0|16548.0|0|117.0|0|0.0|100
0|2021-11-09|16732.0|0|16732.0|0|117.0|0|0.0|100
0|2021-11-10|16732.0|0|16861.0|0|117.0|0|0.0|100
0|2021-11-11|16963.0|0|16963.0|0|118.0|0|0.0|100
0|2021-11-12|17067.0|0|17067.0|0|118.0|0|0.0|100
0|2021-11-13|17067.0|0|17067.0|0|118.0|0|0.0|100
0|2021-11-14|17067.0|0|17067.0|0|118.0|0|0.0|100
0|2021-11-15|17256.0|0|17256.0|0|118.0|0|0.0|100
0|2021-11-16|17601.0|0|17601.0|0|118.0|0|0.0|100
0|2021-11-17|17703.0|0|17703.0|0|119.0|0|0.0|100
0|2021-11-18|17744.0|0|17744.0|0|120.0|0|0.0|100
0|2021-11-19|17869.0|0|17869.0|0|120.0|0|0.0|100
0|2021-11-20|17869.0|0|17869.0|0|120.0|0|0.0|100
0|2021-11-21|17869.0|0|17869.0|0|120.0|0|0.0|100
0|2021-11-22|18030.0|0|18030.0|0|122.0|0|0.0|100
0|2021-11-23|18333.0|0|18333.0|0|123.0|0|0.0|100
0|2021-11-24|18406.0|0|18406.0|0|126.0|0|0.0|100
0|2021-11-25|18406.0|0|18406.0|0|126.0|0|0.0|100
0|2021-11-26|18478.0|0|18478.0|0|126.0|0|0.0|100
0|2021-11-27|18478.0|0|18478.0|0|126.0|0|0.0|100
0|2021-11-28|18478.0|0|18478.0|0|126.0|0|0.0|100
0|2021-11-29|18608.0|0|18608.0|0|126.0|0|0.0|100
0|2021-11-30|18919.0|0|18919.0|0|126.0|0|0.0|100
0|2021-12-01|19000.0|0|19000.0|0|127.0|0|0.0|100
0|2021-12-02|19000.0|0|19117.0|0|127.0|0|0.0|100
0|2021-12-03|19206.0|0|19206.0|0|130.0|0|0.0|100
0|2021-12-04|19206.0|0|19206.0|0|130.0|0|0.0|100
0|2021-12-05|19206.0|0|19206.0|0|130.0|0|0.0|100
0|2021-12-06|19326.0|0|19326.0|0|130.0|0|0.0|100
0|2021-12-07|19616.0|0|19616.0|0|130.0|0|0.0|100
0|2021-12-08|19697.0|0|19697.0|0|131.0|0|0.0|100
0|2021-12-09|19693.0|0|19693.0|0|132.0|0|0.0|100
