|dates|Phillips_Colorado_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Phillips_Colorado_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Phillips_Colorado_UnitedStates.Male_Total_Population.data|Phillips_Colorado_UnitedStates.Male_Total_Population.missing|Phillips_Colorado_UnitedStates.Female_Total_Population.data|Phillips_Colorado_UnitedStates.Female_Total_Population.missing|Phillips_Colorado_UnitedStates.MaleAndFemale_Under18_Population.data|Phillips_Colorado_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-10-18|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-10-19|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-10-20|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-10-21|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-10-22|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-10-23|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-10-24|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-10-25|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-10-26|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-10-27|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-10-28|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-10-29|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-10-30|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-10-31|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-11-01|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-11-02|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-11-03|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-11-04|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-11-05|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-11-06|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-11-07|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-11-08|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-11-09|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-11-10|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-11-11|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-11-12|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-11-13|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-11-14|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-11-15|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-11-16|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-11-17|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-11-18|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-11-19|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-11-20|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-11-21|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-11-22|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-11-23|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-11-24|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-11-25|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-11-26|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-11-27|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-11-28|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-11-29|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-11-30|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-12-01|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-12-02|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-12-03|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-12-04|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-12-05|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-12-06|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-12-07|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-12-08|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-12-09|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-12-10|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-12-11|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-12-12|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-12-13|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-12-14|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-12-15|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-12-16|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-12-17|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-12-18|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-12-19|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-12-20|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-12-21|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-12-22|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-12-23|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-12-24|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-12-25|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-12-26|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-12-27|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-12-28|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-12-29|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-12-30|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2021-12-31|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2022-01-01|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2022-01-02|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2022-01-03|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2022-01-04|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2022-01-05|966.0|0|2115.0|0|2171.0|0|1056.0|0
0|2022-01-06|966.0|0|2115.0|0|2171.0|0|1056.0|0
