|dates|Lee_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Lee_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Lee_SouthCarolina_UnitedStates.NYT_ConfirmedCases.data|Lee_SouthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Lee_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Lee_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Lee_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Lee_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2497.0|0|2497.0|0|74.0|0|0.0|100
0|2021-10-18|2506.0|0|2506.0|0|74.0|0|0.0|100
0|2021-10-19|2508.0|0|2508.0|0|74.0|0|0.0|100
0|2021-10-20|2510.0|0|2510.0|0|74.0|0|0.0|100
0|2021-10-21|2512.0|0|2512.0|0|74.0|0|0.0|100
0|2021-10-22|2514.0|0|2514.0|0|74.0|0|0.0|100
0|2021-10-23|2514.0|0|2514.0|0|74.0|0|0.0|100
0|2021-10-24|2514.0|0|2514.0|0|74.0|0|0.0|100
0|2021-10-25|2520.0|0|2520.0|0|74.0|0|0.0|100
0|2021-10-26|2524.0|0|2524.0|0|74.0|0|0.0|100
0|2021-10-27|2524.0|0|2524.0|0|74.0|0|0.0|100
0|2021-10-28|2525.0|0|2525.0|0|75.0|0|0.0|100
0|2021-10-29|2530.0|0|2530.0|0|75.0|0|0.0|100
0|2021-10-30|2530.0|0|2530.0|0|75.0|0|0.0|100
0|2021-10-31|2530.0|0|2530.0|0|75.0|0|0.0|100
0|2021-11-01|2550.0|0|2550.0|0|75.0|0|0.0|100
0|2021-11-02|2552.0|0|2552.0|0|75.0|0|0.0|100
0|2021-11-03|2549.0|0|2549.0|0|75.0|0|0.0|100
0|2021-11-04|2552.0|0|2552.0|0|75.0|0|0.0|100
0|2021-11-05|2561.0|0|2561.0|0|75.0|0|0.0|100
0|2021-11-06|2561.0|0|2561.0|0|75.0|0|0.0|100
0|2021-11-07|2561.0|0|2561.0|0|75.0|0|0.0|100
0|2021-11-08|2564.0|0|2564.0|0|75.0|0|0.0|100
0|2021-11-09|2565.0|0|2565.0|0|75.0|0|0.0|100
0|2021-11-10|2568.0|0|2568.0|0|75.0|0|0.0|100
0|2021-11-11|2568.0|0|2568.0|0|75.0|0|0.0|100
0|2021-11-12|2573.0|0|2573.0|0|75.0|0|0.0|100
0|2021-11-13|2573.0|0|2573.0|0|75.0|0|0.0|100
0|2021-11-14|2573.0|0|2573.0|0|75.0|0|0.0|100
0|2021-11-15|2588.0|0|2588.0|0|75.0|0|0.0|100
0|2021-11-16|2591.0|0|2591.0|0|75.0|0|0.0|100
0|2021-11-17|2596.0|0|2596.0|0|75.0|0|0.0|100
0|2021-11-18|2598.0|0|2598.0|0|75.0|0|0.0|100
0|2021-11-19|2601.0|0|2601.0|0|75.0|0|0.0|100
0|2021-11-20|2601.0|0|2601.0|0|75.0|0|0.0|100
0|2021-11-21|2601.0|0|2601.0|0|75.0|0|0.0|100
0|2021-11-22|2630.0|0|2630.0|0|77.0|0|0.0|100
0|2021-11-23|2633.0|0|2633.0|0|77.0|0|0.0|100
0|2021-11-24|2637.0|0|2635.0|0|77.0|0|0.0|100
0|2021-11-25|2635.0|0|2635.0|0|77.0|0|0.0|100
0|2021-11-26|2636.0|0|2636.0|0|78.0|0|0.0|100
0|2021-11-27|2636.0|0|2636.0|0|78.0|0|0.0|100
0|2021-11-28|2636.0|0|2636.0|0|78.0|0|0.0|100
0|2021-11-29|2647.0|0|2647.0|0|78.0|0|0.0|100
