|dates|SanBernardino_California_UnitedStates.JHU_ConfirmedCases.data|SanBernardino_California_UnitedStates.JHU_ConfirmedCases.missing|SanBernardino_California_UnitedStates.NYT_ConfirmedCases.data|SanBernardino_California_UnitedStates.NYT_ConfirmedCases.missing|SanBernardino_California_UnitedStates.JHU_ConfirmedDeaths.data|SanBernardino_California_UnitedStates.JHU_ConfirmedDeaths.missing|SanBernardino_California_UnitedStates.JHU_ConfirmedRecoveries.data|SanBernardino_California_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|357613.0|0|356315.0|0|5597.0|0|0.0|100
0|2021-10-18|357852.0|0|357421.0|0|5597.0|0|0.0|100
0|2021-10-19|357939.0|0|357639.0|0|5606.0|0|0.0|100
0|2021-10-20|358372.0|0|357711.0|0|5627.0|0|0.0|100
0|2021-10-21|358867.0|0|358213.0|0|5663.0|0|0.0|100
0|2021-10-22|358902.0|0|358677.0|0|5692.0|0|0.0|100
0|2021-10-23|358918.0|0|358677.0|0|5692.0|0|0.0|100
0|2021-10-24|358925.0|0|358677.0|0|5692.0|0|0.0|100
0|2021-10-25|360332.0|0|358677.0|0|5720.0|0|0.0|100
0|2021-10-26|360618.0|0|360071.0|0|5754.0|0|0.0|100
0|2021-10-27|360907.0|0|360342.0|0|5771.0|0|0.0|100
0|2021-10-28|361380.0|0|360817.0|0|5777.0|0|0.0|100
0|2021-10-29|361399.0|0|361269.0|0|5777.0|0|0.0|100
0|2021-10-30|361407.0|0|361269.0|0|5777.0|0|0.0|100
0|2021-10-31|362758.0|0|361269.0|0|5777.0|0|0.0|100
0|2021-11-01|362975.0|0|362604.0|0|5810.0|0|0.0|100
0|2021-11-02|363189.0|0|362813.0|0|5815.0|0|0.0|100
0|2021-11-03|363582.0|0|363025.0|0|5813.0|0|0.0|100
0|2021-11-04|364499.0|0|363592.0|0|5813.0|0|0.0|100
0|2021-11-05|364509.0|0|364509.0|0|5813.0|0|0.0|100
0|2021-11-06|364509.0|0|364509.0|0|5813.0|0|0.0|100
0|2021-11-07|364509.0|0|364509.0|0|5813.0|0|0.0|100
0|2021-11-08|365855.0|0|365855.0|0|5832.0|0|0.0|100
0|2021-11-09|366108.0|0|366108.0|0|5836.0|0|0.0|100
0|2021-11-10|366339.0|0|366339.0|0|5839.0|0|0.0|100
0|2021-11-11|367034.0|0|367034.0|0|5849.0|0|0.0|100
0|2021-11-12|367034.0|0|367034.0|0|5849.0|0|0.0|100
0|2021-11-13|367946.0|0|367946.0|0|5873.0|0|0.0|100
0|2021-11-14|367946.0|0|367946.0|0|5873.0|0|0.0|100
