|dates|Cumberland_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Cumberland_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Cumberland_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data|Cumberland_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Cumberland_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Cumberland_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Cumberland_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Cumberland_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2022-01-07|55796.0|0|55796.0|0|512.0|0|0.0|100
0|2022-01-08|55796.0|0|55796.0|0|512.0|0|0.0|100
0|2022-01-09|55796.0|0|55796.0|0|512.0|0|0.0|100
0|2022-01-10|57539.0|0|57539.0|0|512.0|0|0.0|100
0|2022-01-11|58000.0|0|58000.0|0|512.0|0|0.0|100
0|2022-01-12|58692.0|0|58692.0|0|512.0|0|0.0|100
0|2022-01-13|58692.0|0|59746.0|0|512.0|0|0.0|100
0|2022-01-14|60683.0|0|60683.0|0|513.0|0|0.0|100
0|2022-01-15|60683.0|0|60683.0|0|513.0|0|0.0|100
0|2022-01-16|60683.0|0|60683.0|0|513.0|0|0.0|100
0|2022-01-17|60683.0|0|0.0|100|513.0|0|0.0|100
