|dates|Letcher_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Letcher_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Letcher_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Letcher_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Letcher_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Letcher_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Letcher_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Letcher_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3750.0|0|3750.0|0|65.0|0|0.0|100
0|2021-10-18|3769.0|0|3769.0|0|65.0|0|0.0|100
0|2021-10-19|3788.0|0|3788.0|0|65.0|0|0.0|100
0|2021-10-20|3801.0|0|3801.0|0|65.0|0|0.0|100
0|2021-10-21|3816.0|0|3816.0|0|65.0|0|0.0|100
0|2021-10-22|3826.0|0|3826.0|0|65.0|0|0.0|100
0|2021-10-23|3826.0|0|3826.0|0|65.0|0|0.0|100
0|2021-10-24|3826.0|0|3826.0|0|65.0|0|0.0|100
0|2021-10-25|3860.0|0|3860.0|0|65.0|0|0.0|100
0|2021-10-26|3882.0|0|3882.0|0|66.0|0|0.0|100
0|2021-10-27|3891.0|0|3891.0|0|66.0|0|0.0|100
0|2021-10-28|3896.0|0|3896.0|0|66.0|0|0.0|100
0|2021-10-29|3905.0|0|3905.0|0|66.0|0|0.0|100
0|2021-10-30|3905.0|0|3905.0|0|66.0|0|0.0|100
0|2021-10-31|3905.0|0|3905.0|0|66.0|0|0.0|100
0|2021-11-01|3923.0|0|3923.0|0|66.0|0|0.0|100
0|2021-11-02|3938.0|0|3938.0|0|66.0|0|0.0|100
0|2021-11-03|3948.0|0|3948.0|0|66.0|0|0.0|100
0|2021-11-04|3958.0|0|3958.0|0|68.0|0|0.0|100
0|2021-11-05|3965.0|0|3965.0|0|70.0|0|0.0|100
0|2021-11-06|3965.0|0|3965.0|0|70.0|0|0.0|100
