|dates|Kearney_Nebraska_UnitedStates.JHU_ConfirmedCases.data|Kearney_Nebraska_UnitedStates.JHU_ConfirmedCases.missing|Kearney_Nebraska_UnitedStates.NYT_ConfirmedCases.data|Kearney_Nebraska_UnitedStates.NYT_ConfirmedCases.missing|Kearney_Nebraska_UnitedStates.JHU_ConfirmedDeaths.data|Kearney_Nebraska_UnitedStates.JHU_ConfirmedDeaths.missing|Kearney_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.data|Kearney_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|820.0|0|820.0|0|5.0|0|0.0|100
0|2021-10-18|823.0|0|823.0|0|5.0|0|0.0|100
0|2021-10-19|824.0|0|824.0|0|5.0|0|0.0|100
0|2021-10-20|826.0|0|826.0|0|5.0|0|0.0|100
0|2021-10-21|829.0|0|829.0|0|5.0|0|0.0|100
0|2021-10-22|829.0|0|829.0|0|5.0|0|0.0|100
0|2021-10-23|829.0|0|829.0|0|5.0|0|0.0|100
0|2021-10-24|829.0|0|829.0|0|5.0|0|0.0|100
0|2021-10-25|829.0|0|829.0|0|5.0|0|0.0|100
0|2021-10-26|829.0|0|829.0|0|5.0|0|0.0|100
0|2021-10-27|834.0|0|834.0|0|5.0|0|0.0|100
0|2021-10-28|834.0|0|834.0|0|5.0|0|0.0|100
0|2021-10-29|834.0|0|838.0|0|5.0|0|0.0|100
0|2021-10-30|834.0|0|838.0|0|5.0|0|0.0|100
0|2021-10-31|834.0|0|839.0|0|5.0|0|0.0|100
0|2021-11-01|834.0|0|844.0|0|5.0|0|0.0|100
0|2021-11-02|834.0|0|844.0|0|5.0|0|0.0|100
0|2021-11-03|849.0|0|849.0|0|5.0|0|0.0|100
0|2021-11-04|849.0|0|849.0|0|5.0|0|0.0|100
0|2021-11-05|849.0|0|849.0|0|5.0|0|0.0|100
0|2021-11-06|849.0|0|849.0|0|5.0|0|0.0|100
0|2021-11-07|849.0|0|849.0|0|5.0|0|0.0|100
0|2021-11-08|862.0|0|862.0|0|5.0|0|0.0|100
0|2021-11-09|870.0|0|870.0|0|5.0|0|0.0|100
0|2021-11-10|869.0|0|869.0|0|5.0|0|0.0|100
0|2021-11-11|871.0|0|871.0|0|5.0|0|0.0|100
0|2021-11-12|876.0|0|876.0|0|5.0|0|0.0|100
0|2021-11-13|876.0|0|876.0|0|5.0|0|0.0|100
0|2021-11-14|876.0|0|876.0|0|5.0|0|0.0|100
0|2021-11-15|878.0|0|878.0|0|5.0|0|0.0|100
