|dates|Keweenaw_Michigan_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Keweenaw_Michigan_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Keweenaw_Michigan_UnitedStates.Male_Total_Population.data|Keweenaw_Michigan_UnitedStates.Male_Total_Population.missing|Keweenaw_Michigan_UnitedStates.Female_Total_Population.data|Keweenaw_Michigan_UnitedStates.Female_Total_Population.missing|Keweenaw_Michigan_UnitedStates.MaleAndFemale_Under18_Population.data|Keweenaw_Michigan_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-10-18|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-10-19|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-10-20|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-10-21|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-10-22|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-10-23|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-10-24|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-10-25|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-10-26|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-10-27|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-10-28|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-10-29|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-10-30|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-10-31|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-11-01|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-11-02|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-11-03|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-11-04|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-11-05|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-11-06|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-11-07|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-11-08|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-11-09|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-11-10|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-11-11|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-11-12|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-11-13|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-11-14|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-11-15|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-11-16|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-11-17|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-11-18|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-11-19|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-11-20|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-11-21|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-11-22|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-11-23|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-11-24|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-11-25|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-11-26|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-11-27|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-11-28|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-11-29|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-11-30|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-12-01|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-12-02|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-12-03|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-12-04|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-12-05|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-12-06|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-12-07|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-12-08|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-12-09|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-12-10|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-12-11|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-12-12|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-12-13|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-12-14|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-12-15|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-12-16|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-12-17|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-12-18|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-12-19|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-12-20|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-12-21|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-12-22|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-12-23|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-12-24|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-12-25|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-12-26|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-12-27|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-12-28|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-12-29|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-12-30|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2021-12-31|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2022-01-01|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2022-01-02|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2022-01-03|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2022-01-04|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2022-01-05|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2022-01-06|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2022-01-07|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2022-01-08|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2022-01-09|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2022-01-10|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2022-01-11|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2022-01-12|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2022-01-13|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2022-01-14|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2022-01-15|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2022-01-16|777.0|0|1085.0|0|1028.0|0|313.0|0
0|2022-01-17|777.0|0|1085.0|0|1028.0|0|313.0|0
