|dates|Mercer_NewJersey_UnitedStates.JHU_ConfirmedCases.data|Mercer_NewJersey_UnitedStates.JHU_ConfirmedCases.missing|Mercer_NewJersey_UnitedStates.NYT_ConfirmedCases.data|Mercer_NewJersey_UnitedStates.NYT_ConfirmedCases.missing|Mercer_NewJersey_UnitedStates.JHU_ConfirmedDeaths.data|Mercer_NewJersey_UnitedStates.JHU_ConfirmedDeaths.missing|Mercer_NewJersey_UnitedStates.JHU_ConfirmedRecoveries.data|Mercer_NewJersey_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|38944.0|0|38944.0|0|1001.0|0|0.0|100
0|2021-10-18|38985.0|0|38985.0|0|1002.0|0|0.0|100
0|2021-10-19|39043.0|0|39043.0|0|1002.0|0|0.0|100
0|2021-10-20|39088.0|0|39088.0|0|1003.0|0|0.0|100
0|2021-10-21|39185.0|0|39185.0|0|1003.0|0|0.0|100
0|2021-10-22|39243.0|0|39243.0|0|1004.0|0|0.0|100
0|2021-10-23|39289.0|0|39289.0|0|1006.0|0|0.0|100
0|2021-10-24|39314.0|0|39314.0|0|1006.0|0|0.0|100
0|2021-10-25|39350.0|0|39350.0|0|1008.0|0|0.0|100
0|2021-10-26|39397.0|0|39397.0|0|1012.0|0|0.0|100
0|2021-10-27|39446.0|0|39446.0|0|1013.0|0|0.0|100
0|2021-10-28|39493.0|0|39493.0|0|1013.0|0|0.0|100
0|2021-10-29|39556.0|0|39556.0|0|1013.0|0|0.0|100
0|2021-10-30|39590.0|0|39590.0|0|1014.0|0|0.0|100
0|2021-10-31|39636.0|0|39636.0|0|1014.0|0|0.0|100
0|2021-11-01|39658.0|0|39658.0|0|1014.0|0|0.0|100
0|2021-11-02|39718.0|0|39718.0|0|1015.0|0|0.0|100
0|2021-11-03|39778.0|0|39778.0|0|1016.0|0|0.0|100
0|2021-11-04|39838.0|0|39838.0|0|1016.0|0|0.0|100
0|2021-11-05|39900.0|0|39900.0|0|1017.0|0|0.0|100
0|2021-11-06|39949.0|0|39949.0|0|1018.0|0|0.0|100
0|2021-11-07|39978.0|0|39978.0|0|1018.0|0|0.0|100
0|2021-11-08|40007.0|0|40007.0|0|1019.0|0|0.0|100
0|2021-11-09|40066.0|0|40066.0|0|1021.0|0|0.0|100
0|2021-11-10|40066.0|0|40124.0|0|1021.0|0|0.0|100
0|2021-11-11|40175.0|0|40175.0|0|1021.0|0|0.0|100
0|2021-11-12|40246.0|0|40246.0|0|1021.0|0|0.0|100
0|2021-11-13|40303.0|0|40303.0|0|1021.0|0|0.0|100
0|2021-11-14|40370.0|0|40370.0|0|1021.0|0|0.0|100
0|2021-11-15|40431.0|0|40431.0|0|1021.0|0|0.0|100
0|2021-11-16|40505.0|0|40505.0|0|1023.0|0|0.0|100
0|2021-11-17|40564.0|0|40564.0|0|1023.0|0|0.0|100
0|2021-11-18|40653.0|0|40653.0|0|1023.0|0|0.0|100
0|2021-11-19|40724.0|0|40724.0|0|1023.0|0|0.0|100
0|2021-11-20|40794.0|0|40794.0|0|1024.0|0|0.0|100
0|2021-11-21|40853.0|0|40853.0|0|1025.0|0|0.0|100
0|2021-11-22|40921.0|0|40921.0|0|1025.0|0|0.0|100
0|2021-11-23|41016.0|0|41016.0|0|1027.0|0|0.0|100
0|2021-11-24|41106.0|0|41106.0|0|1029.0|0|0.0|100
0|2021-11-25|41270.0|0|41270.0|0|1029.0|0|0.0|100
0|2021-11-26|41359.0|0|41359.0|0|1029.0|0|0.0|100
0|2021-11-27|41426.0|0|41426.0|0|1030.0|0|0.0|100
0|2021-11-28|41502.0|0|41502.0|0|1030.0|0|0.0|100
0|2021-11-29|41585.0|0|41585.0|0|1031.0|0|0.0|100
0|2021-11-30|41725.0|0|41725.0|0|1033.0|0|0.0|100
0|2021-12-01|41834.0|0|41834.0|0|1033.0|0|0.0|100
0|2021-12-02|41999.0|0|41999.0|0|1034.0|0|0.0|100
0|2021-12-03|41999.0|0|42155.0|0|1034.0|0|0.0|100
0|2021-12-04|42309.0|0|42309.0|0|1037.0|0|0.0|100
0|2021-12-05|42410.0|0|42410.0|0|1037.0|0|0.0|100
0|2021-12-06|42518.0|0|42518.0|0|1038.0|0|0.0|100
0|2021-12-07|42640.0|0|42640.0|0|1041.0|0|0.0|100
0|2021-12-08|42810.0|0|42810.0|0|1043.0|0|0.0|100
0|2021-12-09|42997.0|0|42997.0|0|1043.0|0|0.0|100
0|2021-12-10|43178.0|0|43178.0|0|1048.0|0|0.0|100
0|2021-12-11|43348.0|0|43348.0|0|1048.0|0|0.0|100
0|2021-12-12|43493.0|0|43493.0|0|1048.0|0|0.0|100
0|2021-12-13|43619.0|0|43619.0|0|1049.0|0|0.0|100
