|dates|Davidson_Tennessee_UnitedStates.BLS_EmployedPopulation.data|Davidson_Tennessee_UnitedStates.BLS_EmployedPopulation.missing|Davidson_Tennessee_UnitedStates.BLS_UnemployedPopulation.data|Davidson_Tennessee_UnitedStates.BLS_UnemployedPopulation.missing|Davidson_Tennessee_UnitedStates.BLS_UnemploymentRate.data|Davidson_Tennessee_UnitedStates.BLS_UnemploymentRate.missing|Davidson_Tennessee_UnitedStates.BLS_LaborForcePopulation.data|Davidson_Tennessee_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-12-19|390016.0|0|17642.0|0|4.327647194462025|0|407658.0|0
0|2021-12-20|390016.0|0|17642.0|0|4.327647194462025|0|407658.0|0
0|2021-12-21|390016.0|0|17642.0|0|4.327647194462025|0|407658.0|0
0|2021-12-22|390016.0|0|17642.0|0|4.327647194462025|0|407658.0|0
0|2021-12-23|390016.0|0|17642.0|0|4.327647194462025|0|407658.0|0
0|2021-12-24|390016.0|0|17642.0|0|4.327647194462025|0|407658.0|0
0|2021-12-25|390016.0|0|17642.0|0|4.327647194462025|0|407658.0|0
0|2021-12-26|390016.0|0|17642.0|0|4.327647194462025|0|407658.0|0
0|2021-12-27|390016.0|0|17642.0|0|4.327647194462025|0|407658.0|0
0|2021-12-28|390016.0|0|17642.0|0|4.327647194462025|0|407658.0|0
0|2021-12-29|390016.0|0|17642.0|0|4.327647194462025|0|407658.0|0
0|2021-12-30|390016.0|0|17642.0|0|4.327647194462025|0|407658.0|0
0|2021-12-31|390016.0|0|17642.0|0|4.327647194462025|0|407658.0|0
0|2022-01-01|390016.0|0|17642.0|0|4.327647194462025|0|407658.0|0
0|2022-01-02|390016.0|0|17642.0|0|4.327647194462025|0|407658.0|0
0|2022-01-03|390016.0|0|17642.0|0|4.327647194462025|0|407658.0|0
0|2022-01-04|390016.0|0|17642.0|0|4.327647194462025|0|407658.0|0
0|2022-01-05|390016.0|0|17642.0|0|4.327647194462025|0|407658.0|0
0|2022-01-06|390016.0|0|17642.0|0|4.327647194462025|0|407658.0|0
0|2022-01-07|390016.0|0|17642.0|0|4.327647194462025|0|407658.0|0
0|2022-01-08|390016.0|0|17642.0|0|4.327647194462025|0|407658.0|0
0|2022-01-09|390016.0|0|17642.0|0|4.327647194462025|0|407658.0|0
0|2022-01-10|390016.0|0|17642.0|0|4.327647194462025|0|407658.0|0
0|2022-01-11|390016.0|0|17642.0|0|4.327647194462025|0|407658.0|0
0|2022-01-12|390016.0|0|17642.0|0|4.327647194462025|0|407658.0|0
0|2022-01-13|390016.0|0|17642.0|0|4.327647194462025|0|407658.0|0
0|2022-01-14|390016.0|0|17642.0|0|4.327647194462025|0|407658.0|0
0|2022-01-15|390016.0|0|17642.0|0|4.327647194462025|0|407658.0|0
0|2022-01-16|390016.0|0|17642.0|0|4.327647194462025|0|407658.0|0
0|2022-01-17|390016.0|0|17642.0|0|4.327647194462025|0|407658.0|0
