|dates|Thurston_Washington_UnitedStates.BLS_EmployedPopulation.data|Thurston_Washington_UnitedStates.BLS_EmployedPopulation.missing|Thurston_Washington_UnitedStates.BLS_UnemployedPopulation.data|Thurston_Washington_UnitedStates.BLS_UnemployedPopulation.missing|Thurston_Washington_UnitedStates.BLS_UnemploymentRate.data|Thurston_Washington_UnitedStates.BLS_UnemploymentRate.missing|Thurston_Washington_UnitedStates.BLS_LaborForcePopulation.data|Thurston_Washington_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|137269.0|0|7111.0|0|4.925197395761185|0|144380.0|0
0|2021-10-18|137269.0|0|7111.0|0|4.925197395761185|0|144380.0|0
0|2021-10-19|137269.0|0|7111.0|0|4.925197395761185|0|144380.0|0
0|2021-10-20|137269.0|0|7111.0|0|4.925197395761185|0|144380.0|0
0|2021-10-21|137269.0|0|7111.0|0|4.925197395761185|0|144380.0|0
0|2021-10-22|137269.0|0|7111.0|0|4.925197395761185|0|144380.0|0
0|2021-10-23|137269.0|0|7111.0|0|4.925197395761185|0|144380.0|0
0|2021-10-24|137269.0|0|7111.0|0|4.925197395761185|0|144380.0|0
0|2021-10-25|137269.0|0|7111.0|0|4.925197395761185|0|144380.0|0
0|2021-10-26|137269.0|0|7111.0|0|4.925197395761185|0|144380.0|0
0|2021-10-27|137269.0|0|7111.0|0|4.925197395761185|0|144380.0|0
0|2021-10-28|137269.0|0|7111.0|0|4.925197395761185|0|144380.0|0
0|2021-10-29|137269.0|0|7111.0|0|4.925197395761185|0|144380.0|0
0|2021-10-30|137269.0|0|7111.0|0|4.925197395761185|0|144380.0|0
0|2021-10-31|137269.0|0|7111.0|0|4.925197395761185|0|144380.0|0
0|2021-11-01|137269.0|0|7111.0|0|4.925197395761185|0|144380.0|0
0|2021-11-02|137269.0|0|7111.0|0|4.925197395761185|0|144380.0|0
0|2021-11-03|137269.0|0|7111.0|0|4.925197395761185|0|144380.0|0
0|2021-11-04|137269.0|0|7111.0|0|4.925197395761185|0|144380.0|0
0|2021-11-05|137269.0|0|7111.0|0|4.925197395761185|0|144380.0|0
0|2021-11-06|137269.0|0|7111.0|0|4.925197395761185|0|144380.0|0
0|2021-11-07|137269.0|0|7111.0|0|4.925197395761185|0|144380.0|0
0|2021-11-08|137269.0|0|7111.0|0|4.925197395761185|0|144380.0|0
0|2021-11-09|137269.0|0|7111.0|0|4.925197395761185|0|144380.0|0
0|2021-11-10|137269.0|0|7111.0|0|4.925197395761185|0|144380.0|0
