|dates|Hancock_Georgia_UnitedStates.JHU_ConfirmedCases.data|Hancock_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Hancock_Georgia_UnitedStates.NYT_ConfirmedCases.data|Hancock_Georgia_UnitedStates.NYT_ConfirmedCases.missing|Hancock_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Hancock_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Hancock_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Hancock_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-12-28|1189.0|0|1194.0|0|82.0|0|0.0|100
0|2021-12-29|1192.0|0|1197.0|0|82.0|0|0.0|100
0|2021-12-30|1205.0|0|1210.0|0|83.0|0|0.0|100
0|2021-12-31|1259.0|0|1264.0|0|83.0|0|0.0|100
0|2022-01-01|1259.0|0|1264.0|0|83.0|0|0.0|100
0|2022-01-02|1259.0|0|1264.0|0|83.0|0|0.0|100
0|2022-01-03|1259.0|0|1264.0|0|83.0|0|0.0|100
0|2022-01-04|1289.0|0|1294.0|0|83.0|0|0.0|100
0|2022-01-05|1304.0|0|1309.0|0|83.0|0|0.0|100
0|2022-01-06|1304.0|0|1309.0|0|83.0|0|0.0|100
0|2022-01-07|1304.0|0|1309.0|0|83.0|0|0.0|100
0|2022-01-08|1304.0|0|1309.0|0|83.0|0|0.0|100
0|2022-01-09|1304.0|0|1309.0|0|83.0|0|0.0|100
0|2022-01-10|1349.0|0|1354.0|0|83.0|0|0.0|100
0|2022-01-11|1359.0|0|1364.0|0|83.0|0|0.0|100
0|2022-01-12|1369.0|0|1374.0|0|83.0|0|0.0|100
0|2022-01-13|1369.0|0|1380.0|0|83.0|0|0.0|100
0|2022-01-14|1392.0|0|1397.0|0|83.0|0|0.0|100
0|2022-01-15|1392.0|0|1397.0|0|83.0|0|0.0|100
0|2022-01-16|1392.0|0|1397.0|0|83.0|0|0.0|100
0|2022-01-17|1407.0|0|0.0|100|83.0|0|0.0|100
