|dates|Searcy_Arkansas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Searcy_Arkansas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Searcy_Arkansas_UnitedStates.Male_Total_Population.data|Searcy_Arkansas_UnitedStates.Male_Total_Population.missing|Searcy_Arkansas_UnitedStates.Female_Total_Population.data|Searcy_Arkansas_UnitedStates.Female_Total_Population.missing|Searcy_Arkansas_UnitedStates.MaleAndFemale_Under18_Population.data|Searcy_Arkansas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|1988.0|0|3988.0|0|3970.0|0|1626.0|0
0|2021-10-18|1988.0|0|3988.0|0|3970.0|0|1626.0|0
0|2021-10-19|1988.0|0|3988.0|0|3970.0|0|1626.0|0
0|2021-10-20|1988.0|0|3988.0|0|3970.0|0|1626.0|0
0|2021-10-21|1988.0|0|3988.0|0|3970.0|0|1626.0|0
0|2021-10-22|1988.0|0|3988.0|0|3970.0|0|1626.0|0
0|2021-10-23|1988.0|0|3988.0|0|3970.0|0|1626.0|0
0|2021-10-24|1988.0|0|3988.0|0|3970.0|0|1626.0|0
0|2021-10-25|1988.0|0|3988.0|0|3970.0|0|1626.0|0
0|2021-10-26|1988.0|0|3988.0|0|3970.0|0|1626.0|0
0|2021-10-27|1988.0|0|3988.0|0|3970.0|0|1626.0|0
0|2021-10-28|1988.0|0|3988.0|0|3970.0|0|1626.0|0
0|2021-10-29|1988.0|0|3988.0|0|3970.0|0|1626.0|0
0|2021-10-30|1988.0|0|3988.0|0|3970.0|0|1626.0|0
0|2021-10-31|1988.0|0|3988.0|0|3970.0|0|1626.0|0
0|2021-11-01|1988.0|0|3988.0|0|3970.0|0|1626.0|0
0|2021-11-02|1988.0|0|3988.0|0|3970.0|0|1626.0|0
0|2021-11-03|1988.0|0|3988.0|0|3970.0|0|1626.0|0
0|2021-11-04|1988.0|0|3988.0|0|3970.0|0|1626.0|0
0|2021-11-05|1988.0|0|3988.0|0|3970.0|0|1626.0|0
0|2021-11-06|1988.0|0|3988.0|0|3970.0|0|1626.0|0
0|2021-11-07|1988.0|0|3988.0|0|3970.0|0|1626.0|0
0|2021-11-08|1988.0|0|3988.0|0|3970.0|0|1626.0|0
0|2021-11-09|1988.0|0|3988.0|0|3970.0|0|1626.0|0
0|2021-11-10|1988.0|0|3988.0|0|3970.0|0|1626.0|0
0|2021-11-11|1988.0|0|3988.0|0|3970.0|0|1626.0|0
0|2021-11-12|1988.0|0|3988.0|0|3970.0|0|1626.0|0
0|2021-11-13|1988.0|0|3988.0|0|3970.0|0|1626.0|0
0|2021-11-14|1988.0|0|3988.0|0|3970.0|0|1626.0|0
0|2021-11-15|1988.0|0|3988.0|0|3970.0|0|1626.0|0
0|2021-11-16|1988.0|0|3988.0|0|3970.0|0|1626.0|0
0|2021-11-17|1988.0|0|3988.0|0|3970.0|0|1626.0|0
0|2021-11-18|1988.0|0|3988.0|0|3970.0|0|1626.0|0
0|2021-11-19|1988.0|0|3988.0|0|3970.0|0|1626.0|0
0|2021-11-20|1988.0|0|3988.0|0|3970.0|0|1626.0|0
0|2021-11-21|1988.0|0|3988.0|0|3970.0|0|1626.0|0
0|2021-11-22|1988.0|0|3988.0|0|3970.0|0|1626.0|0
0|2021-11-23|1988.0|0|3988.0|0|3970.0|0|1626.0|0
0|2021-11-24|1988.0|0|3988.0|0|3970.0|0|1626.0|0
0|2021-11-25|1988.0|0|3988.0|0|3970.0|0|1626.0|0
0|2021-11-26|1988.0|0|3988.0|0|3970.0|0|1626.0|0
0|2021-11-27|1988.0|0|3988.0|0|3970.0|0|1626.0|0
0|2021-11-28|1988.0|0|3988.0|0|3970.0|0|1626.0|0
0|2021-11-29|1988.0|0|3988.0|0|3970.0|0|1626.0|0
0|2021-11-30|1988.0|0|3988.0|0|3970.0|0|1626.0|0
0|2021-12-01|1988.0|0|3988.0|0|3970.0|0|1626.0|0
