|dates|Morrill_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Morrill_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Morrill_Nebraska_UnitedStates.Male_Total_Population.data|Morrill_Nebraska_UnitedStates.Male_Total_Population.missing|Morrill_Nebraska_UnitedStates.Female_Total_Population.data|Morrill_Nebraska_UnitedStates.Female_Total_Population.missing|Morrill_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.data|Morrill_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-10-18|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-10-19|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-10-20|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-10-21|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-10-22|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-10-23|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-10-24|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-10-25|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-10-26|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-10-27|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-10-28|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-10-29|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-10-30|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-10-31|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-11-01|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-11-02|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-11-03|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-11-04|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-11-05|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-11-06|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-11-07|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-11-08|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-11-09|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-11-10|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-11-11|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-11-12|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-11-13|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-11-14|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-11-15|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-11-16|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-11-17|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-11-18|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-11-19|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-11-20|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-11-21|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-11-22|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-11-23|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-11-24|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-11-25|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-11-26|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-11-27|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-11-28|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-11-29|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-11-30|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-12-01|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-12-02|993.0|0|2405.0|0|2281.0|0|1081.0|0
