|dates|Miami_Indiana_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Miami_Indiana_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Miami_Indiana_UnitedStates.Male_Total_Population.data|Miami_Indiana_UnitedStates.Male_Total_Population.missing|Miami_Indiana_UnitedStates.Female_Total_Population.data|Miami_Indiana_UnitedStates.Female_Total_Population.missing|Miami_Indiana_UnitedStates.MaleAndFemale_Under18_Population.data|Miami_Indiana_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-12-24|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-12-25|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-12-26|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-12-27|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-12-28|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-12-29|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-12-30|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-12-31|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2022-01-01|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2022-01-02|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2022-01-03|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2022-01-04|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2022-01-05|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2022-01-06|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2022-01-07|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2022-01-08|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2022-01-09|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2022-01-10|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2022-01-11|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2022-01-12|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2022-01-13|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2022-01-14|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2022-01-15|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2022-01-16|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2022-01-17|6289.0|0|19133.0|0|16434.0|0|7490.0|0
