|dates|Koochiching_Minnesota_UnitedStates.JHU_ConfirmedCases.data|Koochiching_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|Koochiching_Minnesota_UnitedStates.NYT_ConfirmedCases.data|Koochiching_Minnesota_UnitedStates.NYT_ConfirmedCases.missing|Koochiching_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|Koochiching_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|Koochiching_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|Koochiching_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1372.0|0|1372.0|0|19.0|0|0.0|100
0|2021-10-18|1375.0|0|1375.0|0|19.0|0|0.0|100
0|2021-10-19|1379.0|0|1379.0|0|19.0|0|0.0|100
0|2021-10-20|1383.0|0|1383.0|0|19.0|0|0.0|100
0|2021-10-21|1383.0|0|1383.0|0|19.0|0|0.0|100
0|2021-10-22|1386.0|0|1386.0|0|19.0|0|0.0|100
0|2021-10-23|1386.0|0|1386.0|0|19.0|0|0.0|100
0|2021-10-24|1386.0|0|1386.0|0|19.0|0|0.0|100
0|2021-10-25|1391.0|0|1391.0|0|19.0|0|0.0|100
0|2021-10-26|1396.0|0|1396.0|0|19.0|0|0.0|100
0|2021-10-27|1402.0|0|1402.0|0|19.0|0|0.0|100
0|2021-10-28|1411.0|0|1411.0|0|19.0|0|0.0|100
0|2021-10-29|1414.0|0|1414.0|0|19.0|0|0.0|100
0|2021-10-30|1414.0|0|1414.0|0|19.0|0|0.0|100
0|2021-10-31|1414.0|0|1414.0|0|19.0|0|0.0|100
0|2021-11-01|1426.0|0|1426.0|0|19.0|0|0.0|100
0|2021-11-02|1437.0|0|1437.0|0|19.0|0|0.0|100
0|2021-11-03|1452.0|0|1452.0|0|20.0|0|0.0|100
0|2021-11-04|1458.0|0|1458.0|0|20.0|0|0.0|100
0|2021-11-05|1461.0|0|1461.0|0|20.0|0|0.0|100
0|2021-11-06|1461.0|0|1461.0|0|20.0|0|0.0|100
0|2021-11-07|1461.0|0|1461.0|0|20.0|0|0.0|100
0|2021-11-08|1471.0|0|1471.0|0|21.0|0|0.0|100
0|2021-11-09|1488.0|0|1488.0|0|21.0|0|0.0|100
0|2021-11-10|1488.0|0|1495.0|0|21.0|0|0.0|100
0|2021-11-11|1519.0|0|1519.0|0|21.0|0|0.0|100
0|2021-11-12|1528.0|0|1528.0|0|21.0|0|0.0|100
0|2021-11-13|1528.0|0|1528.0|0|21.0|0|0.0|100
0|2021-11-14|1528.0|0|1528.0|0|21.0|0|0.0|100
0|2021-11-15|1534.0|0|1534.0|0|21.0|0|0.0|100
0|2021-11-16|1560.0|0|1560.0|0|21.0|0|0.0|100
0|2021-11-17|1574.0|0|1574.0|0|21.0|0|0.0|100
0|2021-11-18|1590.0|0|1590.0|0|22.0|0|0.0|100
0|2021-11-19|1597.0|0|1597.0|0|22.0|0|0.0|100
0|2021-11-20|1597.0|0|1597.0|0|22.0|0|0.0|100
0|2021-11-21|1597.0|0|1597.0|0|22.0|0|0.0|100
0|2021-11-22|1613.0|0|1613.0|0|22.0|0|0.0|100
0|2021-11-23|1637.0|0|1637.0|0|22.0|0|0.0|100
0|2021-11-24|1653.0|0|1653.0|0|23.0|0|0.0|100
0|2021-11-25|1653.0|0|1653.0|0|23.0|0|0.0|100
0|2021-11-26|1681.0|0|1681.0|0|23.0|0|0.0|100
0|2021-11-27|1681.0|0|1681.0|0|23.0|0|0.0|100
0|2021-11-28|1681.0|0|1681.0|0|23.0|0|0.0|100
0|2021-11-29|1704.0|0|1704.0|0|23.0|0|0.0|100
0|2021-11-30|1760.0|0|1760.0|0|23.0|0|0.0|100
0|2021-12-01|1767.0|0|1767.0|0|25.0|0|0.0|100
0|2021-12-02|1767.0|0|1778.0|0|25.0|0|0.0|100
0|2021-12-03|1792.0|0|1792.0|0|25.0|0|0.0|100
0|2021-12-04|1792.0|0|1792.0|0|25.0|0|0.0|100
0|2021-12-05|1792.0|0|1792.0|0|25.0|0|0.0|100
0|2021-12-06|1804.0|0|1804.0|0|25.0|0|0.0|100
0|2021-12-07|1833.0|0|1833.0|0|25.0|0|0.0|100
0|2021-12-08|1843.0|0|1843.0|0|25.0|0|0.0|100
0|2021-12-09|1854.0|0|1854.0|0|26.0|0|0.0|100
0|2021-12-10|1863.0|0|1863.0|0|27.0|0|0.0|100
0|2021-12-11|1863.0|0|1863.0|0|27.0|0|0.0|100
0|2021-12-12|1863.0|0|1863.0|0|27.0|0|0.0|100
0|2021-12-13|1882.0|0|1882.0|0|27.0|0|0.0|100
0|2021-12-14|1882.0|0|1902.0|0|27.0|0|0.0|100
0|2021-12-15|1913.0|0|1913.0|0|27.0|0|0.0|100
0|2021-12-16|1923.0|0|1923.0|0|27.0|0|0.0|100
0|2021-12-17|1934.0|0|1934.0|0|28.0|0|0.0|100
0|2021-12-18|1934.0|0|1934.0|0|28.0|0|0.0|100
0|2021-12-19|1934.0|0|1934.0|0|28.0|0|0.0|100
0|2021-12-20|1944.0|0|1944.0|0|28.0|0|0.0|100
0|2021-12-21|1955.0|0|1955.0|0|29.0|0|0.0|100
0|2021-12-22|1962.0|0|1962.0|0|29.0|0|0.0|100
0|2021-12-23|1969.0|0|1969.0|0|29.0|0|0.0|100
0|2021-12-24|1969.0|0|1969.0|0|29.0|0|0.0|100
0|2021-12-25|1969.0|0|1969.0|0|29.0|0|0.0|100
0|2021-12-26|1969.0|0|1969.0|0|29.0|0|0.0|100
0|2021-12-27|1976.0|0|1976.0|0|29.0|0|0.0|100
0|2021-12-28|1988.0|0|1988.0|0|29.0|0|0.0|100
0|2021-12-29|1987.0|0|1987.0|0|29.0|0|0.0|100
0|2021-12-30|1996.0|0|1996.0|0|29.0|0|0.0|100
0|2021-12-31|1996.0|0|1996.0|0|29.0|0|0.0|100
0|2022-01-01|1996.0|0|1996.0|0|29.0|0|0.0|100
0|2022-01-02|1996.0|0|1996.0|0|29.0|0|0.0|100
0|2022-01-03|1999.0|0|1999.0|0|29.0|0|0.0|100
0|2022-01-04|2013.0|0|2013.0|0|30.0|0|0.0|100
0|2022-01-05|2018.0|0|2018.0|0|30.0|0|0.0|100
0|2022-01-06|2027.0|0|2027.0|0|31.0|0|0.0|100
0|2022-01-07|2030.0|0|2030.0|0|31.0|0|0.0|100
0|2022-01-08|2030.0|0|2030.0|0|31.0|0|0.0|100
0|2022-01-09|2030.0|0|2030.0|0|31.0|0|0.0|100
0|2022-01-10|2032.0|0|2032.0|0|31.0|0|0.0|100
0|2022-01-11|2055.0|0|2055.0|0|32.0|0|0.0|100
0|2022-01-12|2062.0|0|2062.0|0|32.0|0|0.0|100
0|2022-01-13|2062.0|0|2075.0|0|32.0|0|0.0|100
0|2022-01-14|2087.0|0|2087.0|0|32.0|0|0.0|100
0|2022-01-15|2087.0|0|2087.0|0|32.0|0|0.0|100
0|2022-01-16|2087.0|0|2087.0|0|32.0|0|0.0|100
0|2022-01-17|2087.0|0|0.0|100|32.0|0|0.0|100
