|dates|Unicoi_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Unicoi_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Unicoi_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Unicoi_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Unicoi_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Unicoi_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Unicoi_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Unicoi_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3104.0|0|3104.0|0|64.0|0|0.0|100
0|2021-10-18|3113.0|0|3113.0|0|65.0|0|0.0|100
0|2021-10-19|3119.0|0|3119.0|0|65.0|0|0.0|100
0|2021-10-20|3121.0|0|3121.0|0|65.0|0|0.0|100
0|2021-10-21|3125.0|0|3125.0|0|65.0|0|0.0|100
0|2021-10-22|3127.0|0|3127.0|0|65.0|0|0.0|100
0|2021-10-23|3127.0|0|3127.0|0|65.0|0|0.0|100
0|2021-10-24|3127.0|0|3127.0|0|65.0|0|0.0|100
0|2021-10-25|3127.0|0|3127.0|0|65.0|0|0.0|100
0|2021-10-26|3139.0|0|3139.0|0|65.0|0|0.0|100
0|2021-10-27|3142.0|0|3142.0|0|65.0|0|0.0|100
0|2021-10-28|3143.0|0|3143.0|0|65.0|0|0.0|100
0|2021-10-29|3147.0|0|3147.0|0|65.0|0|0.0|100
0|2021-10-30|3147.0|0|3147.0|0|65.0|0|0.0|100
0|2021-10-31|3147.0|0|3147.0|0|65.0|0|0.0|100
0|2021-11-01|3147.0|0|3147.0|0|65.0|0|0.0|100
0|2021-11-02|3159.0|0|3159.0|0|65.0|0|0.0|100
0|2021-11-03|3162.0|0|3162.0|0|65.0|0|0.0|100
0|2021-11-04|3164.0|0|3164.0|0|65.0|0|0.0|100
0|2021-11-05|3165.0|0|3165.0|0|65.0|0|0.0|100
0|2021-11-06|3165.0|0|3165.0|0|65.0|0|0.0|100
0|2021-11-07|3165.0|0|3165.0|0|65.0|0|0.0|100
0|2021-11-08|3165.0|0|3165.0|0|65.0|0|0.0|100
0|2021-11-09|3177.0|0|3177.0|0|65.0|0|0.0|100
0|2021-11-10|3179.0|0|3179.0|0|66.0|0|0.0|100
0|2021-11-11|3179.0|0|3179.0|0|66.0|0|0.0|100
0|2021-11-12|3190.0|0|3190.0|0|65.0|0|0.0|100
0|2021-11-13|3190.0|0|3190.0|0|65.0|0|0.0|100
0|2021-11-14|3190.0|0|3190.0|0|65.0|0|0.0|100
0|2021-11-15|3200.0|0|3200.0|0|65.0|0|0.0|100
0|2021-11-16|3202.0|0|3202.0|0|65.0|0|0.0|100
0|2021-11-17|3204.0|0|3204.0|0|65.0|0|0.0|100
0|2021-11-18|3206.0|0|3206.0|0|65.0|0|0.0|100
0|2021-11-19|3211.0|0|3211.0|0|65.0|0|0.0|100
0|2021-11-20|3211.0|0|3211.0|0|65.0|0|0.0|100
0|2021-11-21|3211.0|0|3211.0|0|65.0|0|0.0|100
0|2021-11-22|3218.0|0|3218.0|0|65.0|0|0.0|100
0|2021-11-23|3224.0|0|3224.0|0|65.0|0|0.0|100
0|2021-11-24|3226.0|0|3226.0|0|65.0|0|0.0|100
0|2021-11-25|3226.0|0|3226.0|0|65.0|0|0.0|100
0|2021-11-26|3226.0|0|3226.0|0|65.0|0|0.0|100
0|2021-11-27|3226.0|0|3226.0|0|65.0|0|0.0|100
0|2021-11-28|3226.0|0|3226.0|0|65.0|0|0.0|100
0|2021-11-29|3239.0|0|3239.0|0|65.0|0|0.0|100
0|2021-11-30|3242.0|0|3242.0|0|66.0|0|0.0|100
0|2021-12-01|3246.0|0|3246.0|0|66.0|0|0.0|100
0|2021-12-02|3253.0|0|3253.0|0|67.0|0|0.0|100
0|2021-12-03|3264.0|0|3264.0|0|68.0|0|0.0|100
0|2021-12-04|3264.0|0|3264.0|0|68.0|0|0.0|100
