|dates|Orange_California_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Orange_California_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Orange_California_UnitedStates.Male_Total_Population.data|Orange_California_UnitedStates.Male_Total_Population.missing|Orange_California_UnitedStates.Female_Total_Population.data|Orange_California_UnitedStates.Female_Total_Population.missing|Orange_California_UnitedStates.MaleAndFemale_Under18_Population.data|Orange_California_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-10-18|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-10-19|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-10-20|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-10-21|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-10-22|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-10-23|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-10-24|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-10-25|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-10-26|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-10-27|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-10-28|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-10-29|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-10-30|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-10-31|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-11-01|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-11-02|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-11-03|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-11-04|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-11-05|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-11-06|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-11-07|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-11-08|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-11-09|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-11-10|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-11-11|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-11-12|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-11-13|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-11-14|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-11-15|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-11-16|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-11-17|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-11-18|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-11-19|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-11-20|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-11-21|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-11-22|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-11-23|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-11-24|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-11-25|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-11-26|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-11-27|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-11-28|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-11-29|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-11-30|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-12-01|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-12-02|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-12-03|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-12-04|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-12-05|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-12-06|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-12-07|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-12-08|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-12-09|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-12-10|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
0|2021-12-11|470387.0|0|1572801.0|0|1613167.0|0|698788.0|0
