|dates|Forsyth_NorthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Forsyth_NorthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Forsyth_NorthCarolina_UnitedStates.Male_Total_Population.data|Forsyth_NorthCarolina_UnitedStates.Male_Total_Population.missing|Forsyth_NorthCarolina_UnitedStates.Female_Total_Population.data|Forsyth_NorthCarolina_UnitedStates.Female_Total_Population.missing|Forsyth_NorthCarolina_UnitedStates.MaleAndFemale_Under18_Population.data|Forsyth_NorthCarolina_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-10-18|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-10-19|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-10-20|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-10-21|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-10-22|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-10-23|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-10-24|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-10-25|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-10-26|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-10-27|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-10-28|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-10-29|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-10-30|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-10-31|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-11-01|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-11-02|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-11-03|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-11-04|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-11-05|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-11-06|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-11-07|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-11-08|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-11-09|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-11-10|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-11-11|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-11-12|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-11-13|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-11-14|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-11-15|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-11-16|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-11-17|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-11-18|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-11-19|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-11-20|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-11-21|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-11-22|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-11-23|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-11-24|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-11-25|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-11-26|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-11-27|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-11-28|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-11-29|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-11-30|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-12-01|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-12-02|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-12-03|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-12-04|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-12-05|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-12-06|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-12-07|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-12-08|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-12-09|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-12-10|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-12-11|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-12-12|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-12-13|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-12-14|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-12-15|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-12-16|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-12-17|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-12-18|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-12-19|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-12-20|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-12-21|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-12-22|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-12-23|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-12-24|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-12-25|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-12-26|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-12-27|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-12-28|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-12-29|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-12-30|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2021-12-31|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2022-01-01|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2022-01-02|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2022-01-03|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2022-01-04|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2022-01-05|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2022-01-06|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2022-01-07|60617.0|0|179783.0|0|199316.0|0|86957.0|0
