|dates|Harper_Oklahoma_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Harper_Oklahoma_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Harper_Oklahoma_UnitedStates.Male_Total_Population.data|Harper_Oklahoma_UnitedStates.Male_Total_Population.missing|Harper_Oklahoma_UnitedStates.Female_Total_Population.data|Harper_Oklahoma_UnitedStates.Female_Total_Population.missing|Harper_Oklahoma_UnitedStates.MaleAndFemale_Under18_Population.data|Harper_Oklahoma_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|686.0|0|1898.0|0|1899.0|0|1019.0|0
0|2021-10-18|686.0|0|1898.0|0|1899.0|0|1019.0|0
0|2021-10-19|686.0|0|1898.0|0|1899.0|0|1019.0|0
0|2021-10-20|686.0|0|1898.0|0|1899.0|0|1019.0|0
0|2021-10-21|686.0|0|1898.0|0|1899.0|0|1019.0|0
0|2021-10-22|686.0|0|1898.0|0|1899.0|0|1019.0|0
0|2021-10-23|686.0|0|1898.0|0|1899.0|0|1019.0|0
0|2021-10-24|686.0|0|1898.0|0|1899.0|0|1019.0|0
0|2021-10-25|686.0|0|1898.0|0|1899.0|0|1019.0|0
0|2021-10-26|686.0|0|1898.0|0|1899.0|0|1019.0|0
0|2021-10-27|686.0|0|1898.0|0|1899.0|0|1019.0|0
0|2021-10-28|686.0|0|1898.0|0|1899.0|0|1019.0|0
0|2021-10-29|686.0|0|1898.0|0|1899.0|0|1019.0|0
0|2021-10-30|686.0|0|1898.0|0|1899.0|0|1019.0|0
0|2021-10-31|686.0|0|1898.0|0|1899.0|0|1019.0|0
0|2021-11-01|686.0|0|1898.0|0|1899.0|0|1019.0|0
0|2021-11-02|686.0|0|1898.0|0|1899.0|0|1019.0|0
0|2021-11-03|686.0|0|1898.0|0|1899.0|0|1019.0|0
0|2021-11-04|686.0|0|1898.0|0|1899.0|0|1019.0|0
0|2021-11-05|686.0|0|1898.0|0|1899.0|0|1019.0|0
0|2021-11-06|686.0|0|1898.0|0|1899.0|0|1019.0|0
0|2021-11-07|686.0|0|1898.0|0|1899.0|0|1019.0|0
0|2021-11-08|686.0|0|1898.0|0|1899.0|0|1019.0|0
0|2021-11-09|686.0|0|1898.0|0|1899.0|0|1019.0|0
0|2021-11-10|686.0|0|1898.0|0|1899.0|0|1019.0|0
0|2021-11-11|686.0|0|1898.0|0|1899.0|0|1019.0|0
0|2021-11-12|686.0|0|1898.0|0|1899.0|0|1019.0|0
0|2021-11-13|686.0|0|1898.0|0|1899.0|0|1019.0|0
0|2021-11-14|686.0|0|1898.0|0|1899.0|0|1019.0|0
0|2021-11-15|686.0|0|1898.0|0|1899.0|0|1019.0|0
0|2021-11-16|686.0|0|1898.0|0|1899.0|0|1019.0|0
