|dates|Saline_Kansas_UnitedStates.JHU_ConfirmedCases.data|Saline_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Saline_Kansas_UnitedStates.NYT_ConfirmedCases.data|Saline_Kansas_UnitedStates.NYT_ConfirmedCases.missing|Saline_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Saline_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Saline_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Saline_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|8189.0|0|8189.0|0|174.0|0|0.0|100
0|2021-10-18|8228.0|0|8228.0|0|174.0|0|0.0|100
0|2021-10-19|8228.0|0|8228.0|0|174.0|0|0.0|100
0|2021-10-20|8273.0|0|8273.0|0|174.0|0|0.0|100
0|2021-10-21|8273.0|0|8273.0|0|174.0|0|0.0|100
0|2021-10-22|8345.0|0|8345.0|0|176.0|0|0.0|100
0|2021-10-23|8345.0|0|8345.0|0|176.0|0|0.0|100
0|2021-10-24|8345.0|0|8345.0|0|176.0|0|0.0|100
0|2021-10-25|8392.0|0|8392.0|0|178.0|0|0.0|100
0|2021-10-26|8392.0|0|8392.0|0|178.0|0|0.0|100
0|2021-10-27|8457.0|0|8457.0|0|181.0|0|0.0|100
0|2021-10-28|8457.0|0|8457.0|0|181.0|0|0.0|100
0|2021-10-29|8514.0|0|8514.0|0|182.0|0|0.0|100
0|2021-10-30|8514.0|0|8514.0|0|182.0|0|0.0|100
0|2021-10-31|8514.0|0|8514.0|0|182.0|0|0.0|100
0|2021-11-01|8554.0|0|8554.0|0|182.0|0|0.0|100
0|2021-11-02|8554.0|0|8554.0|0|182.0|0|0.0|100
0|2021-11-03|8606.0|0|8606.0|0|183.0|0|0.0|100
0|2021-11-04|8606.0|0|8606.0|0|183.0|0|0.0|100
0|2021-11-05|8659.0|0|8659.0|0|184.0|0|0.0|100
0|2021-11-06|8659.0|0|8659.0|0|184.0|0|0.0|100
0|2021-11-07|8659.0|0|8659.0|0|184.0|0|0.0|100
0|2021-11-08|8701.0|0|8701.0|0|185.0|0|0.0|100
0|2021-11-09|8701.0|0|8701.0|0|185.0|0|0.0|100
0|2021-11-10|8701.0|0|8753.0|0|185.0|0|0.0|100
0|2021-11-11|8753.0|0|8753.0|0|186.0|0|0.0|100
0|2021-11-12|8813.0|0|8813.0|0|186.0|0|0.0|100
