|dates|Cabarrus_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Cabarrus_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Cabarrus_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data|Cabarrus_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Cabarrus_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Cabarrus_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Cabarrus_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Cabarrus_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|32263.0|0|32263.0|0|325.0|0|0.0|100
0|2021-10-18|32433.0|0|32433.0|0|326.0|0|0.0|100
0|2021-10-19|32462.0|0|32462.0|0|329.0|0|0.0|100
0|2021-10-20|32505.0|0|32505.0|0|329.0|0|0.0|100
0|2021-10-21|32559.0|0|32559.0|0|330.0|0|0.0|100
0|2021-10-22|32598.0|0|32598.0|0|332.0|0|0.0|100
0|2021-10-23|32598.0|0|32598.0|0|332.0|0|0.0|100
0|2021-10-24|32598.0|0|32598.0|0|332.0|0|0.0|100
0|2021-10-25|32698.0|0|32698.0|0|332.0|0|0.0|100
0|2021-10-26|32717.0|0|32717.0|0|332.0|0|0.0|100
0|2021-10-27|32758.0|0|32758.0|0|334.0|0|0.0|100
0|2021-10-28|32813.0|0|32813.0|0|337.0|0|0.0|100
0|2021-10-29|32853.0|0|32853.0|0|338.0|0|0.0|100
0|2021-10-30|32853.0|0|32853.0|0|338.0|0|0.0|100
0|2021-10-31|32853.0|0|32853.0|0|338.0|0|0.0|100
0|2021-11-01|32962.0|0|32962.0|0|339.0|0|0.0|100
0|2021-11-02|32977.0|0|32977.0|0|339.0|0|0.0|100
0|2021-11-03|33006.0|0|33006.0|0|342.0|0|0.0|100
0|2021-11-04|33071.0|0|33071.0|0|342.0|0|0.0|100
0|2021-11-05|33134.0|0|33134.0|0|344.0|0|0.0|100
0|2021-11-06|33134.0|0|33134.0|0|344.0|0|0.0|100
0|2021-11-07|33134.0|0|33134.0|0|344.0|0|0.0|100
0|2021-11-08|33281.0|0|33281.0|0|344.0|0|0.0|100
