|dates|Cocke_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Cocke_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Cocke_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Cocke_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Cocke_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Cocke_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Cocke_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Cocke_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|7262.0|0|7262.0|0|104.0|0|0.0|100
0|2021-10-18|7290.0|0|7290.0|0|104.0|0|0.0|100
0|2021-10-19|7305.0|0|7305.0|0|105.0|0|0.0|100
0|2021-10-20|7326.0|0|7326.0|0|105.0|0|0.0|100
0|2021-10-21|7339.0|0|7339.0|0|106.0|0|0.0|100
0|2021-10-22|7348.0|0|7348.0|0|106.0|0|0.0|100
0|2021-10-23|7348.0|0|7348.0|0|106.0|0|0.0|100
0|2021-10-24|7348.0|0|7348.0|0|106.0|0|0.0|100
0|2021-10-25|7348.0|0|7348.0|0|106.0|0|0.0|100
0|2021-10-26|7383.0|0|7383.0|0|107.0|0|0.0|100
0|2021-10-27|7398.0|0|7398.0|0|107.0|0|0.0|100
0|2021-10-28|7407.0|0|7407.0|0|107.0|0|0.0|100
0|2021-10-29|7415.0|0|7415.0|0|107.0|0|0.0|100
0|2021-10-30|7415.0|0|7415.0|0|107.0|0|0.0|100
0|2021-10-31|7415.0|0|7415.0|0|107.0|0|0.0|100
0|2021-11-01|7415.0|0|7415.0|0|107.0|0|0.0|100
0|2021-11-02|7436.0|0|7436.0|0|107.0|0|0.0|100
0|2021-11-03|7443.0|0|7443.0|0|107.0|0|0.0|100
0|2021-11-04|7450.0|0|7450.0|0|108.0|0|0.0|100
0|2021-11-05|7456.0|0|7456.0|0|108.0|0|0.0|100
0|2021-11-06|7456.0|0|7456.0|0|108.0|0|0.0|100
0|2021-11-07|7456.0|0|7456.0|0|108.0|0|0.0|100
0|2021-11-08|7456.0|0|7456.0|0|108.0|0|0.0|100
0|2021-11-09|7472.0|0|7472.0|0|108.0|0|0.0|100
0|2021-11-10|7472.0|0|7476.0|0|108.0|0|0.0|100
0|2021-11-11|7476.0|0|7476.0|0|108.0|0|0.0|100
0|2021-11-12|7492.0|0|7492.0|0|108.0|0|0.0|100
0|2021-11-13|7492.0|0|7492.0|0|108.0|0|0.0|100
0|2021-11-14|7492.0|0|7492.0|0|108.0|0|0.0|100
0|2021-11-15|7503.0|0|7503.0|0|108.0|0|0.0|100
0|2021-11-16|7511.0|0|7511.0|0|108.0|0|0.0|100
0|2021-11-17|7516.0|0|7516.0|0|108.0|0|0.0|100
0|2021-11-18|7532.0|0|7532.0|0|108.0|0|0.0|100
0|2021-11-19|7541.0|0|7541.0|0|109.0|0|0.0|100
0|2021-11-20|7541.0|0|7541.0|0|109.0|0|0.0|100
