|dates|Stevens_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Stevens_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Stevens_Kansas_UnitedStates.Male_Total_Population.data|Stevens_Kansas_UnitedStates.Male_Total_Population.missing|Stevens_Kansas_UnitedStates.Female_Total_Population.data|Stevens_Kansas_UnitedStates.Female_Total_Population.missing|Stevens_Kansas_UnitedStates.MaleAndFemale_Under18_Population.data|Stevens_Kansas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|884.0|0|2754.0|0|2805.0|0|1607.0|0
0|2021-10-18|884.0|0|2754.0|0|2805.0|0|1607.0|0
0|2021-10-19|884.0|0|2754.0|0|2805.0|0|1607.0|0
0|2021-10-20|884.0|0|2754.0|0|2805.0|0|1607.0|0
0|2021-10-21|884.0|0|2754.0|0|2805.0|0|1607.0|0
0|2021-10-22|884.0|0|2754.0|0|2805.0|0|1607.0|0
0|2021-10-23|884.0|0|2754.0|0|2805.0|0|1607.0|0
0|2021-10-24|884.0|0|2754.0|0|2805.0|0|1607.0|0
0|2021-10-25|884.0|0|2754.0|0|2805.0|0|1607.0|0
0|2021-10-26|884.0|0|2754.0|0|2805.0|0|1607.0|0
0|2021-10-27|884.0|0|2754.0|0|2805.0|0|1607.0|0
0|2021-10-28|884.0|0|2754.0|0|2805.0|0|1607.0|0
0|2021-10-29|884.0|0|2754.0|0|2805.0|0|1607.0|0
0|2021-10-30|884.0|0|2754.0|0|2805.0|0|1607.0|0
0|2021-10-31|884.0|0|2754.0|0|2805.0|0|1607.0|0
0|2021-11-01|884.0|0|2754.0|0|2805.0|0|1607.0|0
0|2021-11-02|884.0|0|2754.0|0|2805.0|0|1607.0|0
0|2021-11-03|884.0|0|2754.0|0|2805.0|0|1607.0|0
0|2021-11-04|884.0|0|2754.0|0|2805.0|0|1607.0|0
0|2021-11-05|884.0|0|2754.0|0|2805.0|0|1607.0|0
0|2021-11-06|884.0|0|2754.0|0|2805.0|0|1607.0|0
0|2021-11-07|884.0|0|2754.0|0|2805.0|0|1607.0|0
0|2021-11-08|884.0|0|2754.0|0|2805.0|0|1607.0|0
0|2021-11-09|884.0|0|2754.0|0|2805.0|0|1607.0|0
0|2021-11-10|884.0|0|2754.0|0|2805.0|0|1607.0|0
0|2021-11-11|884.0|0|2754.0|0|2805.0|0|1607.0|0
