|dates|Greeley_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Greeley_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Greeley_Kansas_UnitedStates.Male_Total_Population.data|Greeley_Kansas_UnitedStates.Male_Total_Population.missing|Greeley_Kansas_UnitedStates.Female_Total_Population.data|Greeley_Kansas_UnitedStates.Female_Total_Population.missing|Greeley_Kansas_UnitedStates.MaleAndFemale_Under18_Population.data|Greeley_Kansas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|254.0|0|588.0|0|639.0|0|319.0|0
0|2021-10-18|254.0|0|588.0|0|639.0|0|319.0|0
0|2021-10-19|254.0|0|588.0|0|639.0|0|319.0|0
0|2021-10-20|254.0|0|588.0|0|639.0|0|319.0|0
0|2021-10-21|254.0|0|588.0|0|639.0|0|319.0|0
0|2021-10-22|254.0|0|588.0|0|639.0|0|319.0|0
0|2021-10-23|254.0|0|588.0|0|639.0|0|319.0|0
0|2021-10-24|254.0|0|588.0|0|639.0|0|319.0|0
0|2021-10-25|254.0|0|588.0|0|639.0|0|319.0|0
0|2021-10-26|254.0|0|588.0|0|639.0|0|319.0|0
0|2021-10-27|254.0|0|588.0|0|639.0|0|319.0|0
0|2021-10-28|254.0|0|588.0|0|639.0|0|319.0|0
0|2021-10-29|254.0|0|588.0|0|639.0|0|319.0|0
0|2021-10-30|254.0|0|588.0|0|639.0|0|319.0|0
0|2021-10-31|254.0|0|588.0|0|639.0|0|319.0|0
0|2021-11-01|254.0|0|588.0|0|639.0|0|319.0|0
0|2021-11-02|254.0|0|588.0|0|639.0|0|319.0|0
0|2021-11-03|254.0|0|588.0|0|639.0|0|319.0|0
0|2021-11-04|254.0|0|588.0|0|639.0|0|319.0|0
0|2021-11-05|254.0|0|588.0|0|639.0|0|319.0|0
0|2021-11-06|254.0|0|588.0|0|639.0|0|319.0|0
0|2021-11-07|254.0|0|588.0|0|639.0|0|319.0|0
0|2021-11-08|254.0|0|588.0|0|639.0|0|319.0|0
0|2021-11-09|254.0|0|588.0|0|639.0|0|319.0|0
0|2021-11-10|254.0|0|588.0|0|639.0|0|319.0|0
0|2021-11-11|254.0|0|588.0|0|639.0|0|319.0|0
0|2021-11-12|254.0|0|588.0|0|639.0|0|319.0|0
0|2021-11-13|254.0|0|588.0|0|639.0|0|319.0|0
0|2021-11-14|254.0|0|588.0|0|639.0|0|319.0|0
0|2021-11-15|254.0|0|588.0|0|639.0|0|319.0|0
0|2021-11-16|254.0|0|588.0|0|639.0|0|319.0|0
0|2021-11-17|254.0|0|588.0|0|639.0|0|319.0|0
0|2021-11-18|254.0|0|588.0|0|639.0|0|319.0|0
0|2021-11-19|254.0|0|588.0|0|639.0|0|319.0|0
0|2021-11-20|254.0|0|588.0|0|639.0|0|319.0|0
0|2021-11-21|254.0|0|588.0|0|639.0|0|319.0|0
0|2021-11-22|254.0|0|588.0|0|639.0|0|319.0|0
0|2021-11-23|254.0|0|588.0|0|639.0|0|319.0|0
0|2021-11-24|254.0|0|588.0|0|639.0|0|319.0|0
0|2021-11-25|254.0|0|588.0|0|639.0|0|319.0|0
0|2021-11-26|254.0|0|588.0|0|639.0|0|319.0|0
0|2021-11-27|254.0|0|588.0|0|639.0|0|319.0|0
0|2021-11-28|254.0|0|588.0|0|639.0|0|319.0|0
0|2021-11-29|254.0|0|588.0|0|639.0|0|319.0|0
0|2021-11-30|254.0|0|588.0|0|639.0|0|319.0|0
0|2021-12-01|254.0|0|588.0|0|639.0|0|319.0|0
0|2021-12-02|254.0|0|588.0|0|639.0|0|319.0|0
0|2021-12-03|254.0|0|588.0|0|639.0|0|319.0|0
0|2021-12-04|254.0|0|588.0|0|639.0|0|319.0|0
0|2021-12-05|254.0|0|588.0|0|639.0|0|319.0|0
0|2021-12-06|254.0|0|588.0|0|639.0|0|319.0|0
0|2021-12-07|254.0|0|588.0|0|639.0|0|319.0|0
