|dates|Jefferson_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Jefferson_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Jefferson_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Jefferson_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Jefferson_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Jefferson_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Jefferson_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Jefferson_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|9786.0|0|9786.0|0|141.0|0|0.0|100
0|2021-10-18|9811.0|0|9811.0|0|141.0|0|0.0|100
0|2021-10-19|9836.0|0|9836.0|0|141.0|0|0.0|100
0|2021-10-20|9853.0|0|9853.0|0|142.0|0|0.0|100
0|2021-10-21|9870.0|0|9870.0|0|144.0|0|0.0|100
0|2021-10-22|9880.0|0|9880.0|0|144.0|0|0.0|100
0|2021-10-23|9880.0|0|9880.0|0|144.0|0|0.0|100
0|2021-10-24|9880.0|0|9880.0|0|144.0|0|0.0|100
0|2021-10-25|9880.0|0|9880.0|0|144.0|0|0.0|100
0|2021-10-26|9919.0|0|9919.0|0|144.0|0|0.0|100
0|2021-10-27|9924.0|0|9924.0|0|144.0|0|0.0|100
0|2021-10-28|9943.0|0|9943.0|0|145.0|0|0.0|100
0|2021-10-29|9952.0|0|9952.0|0|145.0|0|0.0|100
0|2021-10-30|9952.0|0|9952.0|0|145.0|0|0.0|100
0|2021-10-31|9952.0|0|9952.0|0|145.0|0|0.0|100
0|2021-11-01|9952.0|0|9952.0|0|145.0|0|0.0|100
0|2021-11-02|9968.0|0|9968.0|0|145.0|0|0.0|100
0|2021-11-03|9974.0|0|9974.0|0|147.0|0|0.0|100
0|2021-11-04|9980.0|0|9980.0|0|147.0|0|0.0|100
0|2021-11-05|9984.0|0|9984.0|0|147.0|0|0.0|100
0|2021-11-06|9984.0|0|9984.0|0|147.0|0|0.0|100
0|2021-11-07|9984.0|0|9984.0|0|147.0|0|0.0|100
0|2021-11-08|9984.0|0|9984.0|0|147.0|0|0.0|100
0|2021-11-09|10009.0|0|10009.0|0|148.0|0|0.0|100
0|2021-11-10|10020.0|0|10020.0|0|149.0|0|0.0|100
0|2021-11-11|10020.0|0|10020.0|0|149.0|0|0.0|100
0|2021-11-12|10032.0|0|10032.0|0|149.0|0|0.0|100
0|2021-11-13|10032.0|0|10032.0|0|149.0|0|0.0|100
0|2021-11-14|10032.0|0|10032.0|0|149.0|0|0.0|100
0|2021-11-15|10034.0|0|10034.0|0|149.0|0|0.0|100
0|2021-11-16|10043.0|0|10043.0|0|149.0|0|0.0|100
0|2021-11-17|10058.0|0|10058.0|0|149.0|0|0.0|100
0|2021-11-18|10075.0|0|10075.0|0|149.0|0|0.0|100
0|2021-11-19|10088.0|0|10088.0|0|149.0|0|0.0|100
0|2021-11-20|10088.0|0|10088.0|0|149.0|0|0.0|100
0|2021-11-21|10088.0|0|10088.0|0|149.0|0|0.0|100
0|2021-11-22|10108.0|0|10108.0|0|149.0|0|0.0|100
0|2021-11-23|10113.0|0|10113.0|0|150.0|0|0.0|100
0|2021-11-24|10121.0|0|10121.0|0|151.0|0|0.0|100
0|2021-11-25|10121.0|0|10121.0|0|151.0|0|0.0|100
0|2021-11-26|10121.0|0|10121.0|0|151.0|0|0.0|100
0|2021-11-27|10121.0|0|10121.0|0|151.0|0|0.0|100
0|2021-11-28|10121.0|0|10121.0|0|151.0|0|0.0|100
0|2021-11-29|10166.0|0|10166.0|0|152.0|0|0.0|100
0|2021-11-30|10187.0|0|10187.0|0|153.0|0|0.0|100
0|2021-12-01|10216.0|0|10216.0|0|157.0|0|0.0|100
0|2021-12-02|10234.0|0|10234.0|0|157.0|0|0.0|100
0|2021-12-03|10260.0|0|10260.0|0|159.0|0|0.0|100
0|2021-12-04|10260.0|0|10260.0|0|159.0|0|0.0|100
0|2021-12-05|10260.0|0|10260.0|0|159.0|0|0.0|100
0|2021-12-06|10300.0|0|10300.0|0|162.0|0|0.0|100
0|2021-12-07|10320.0|0|10320.0|0|164.0|0|0.0|100
0|2021-12-08|10337.0|0|10337.0|0|164.0|0|0.0|100
0|2021-12-09|10337.0|0|10337.0|0|164.0|0|0.0|100
0|2021-12-10|10369.0|0|10369.0|0|165.0|0|0.0|100
0|2021-12-11|10369.0|0|10369.0|0|165.0|0|0.0|100
0|2021-12-12|10369.0|0|10369.0|0|165.0|0|0.0|100
0|2021-12-13|10420.0|0|10420.0|0|165.0|0|0.0|100
0|2021-12-14|10420.0|0|10440.0|0|165.0|0|0.0|100
0|2021-12-15|10456.0|0|10456.0|0|167.0|0|0.0|100
0|2021-12-16|10478.0|0|10478.0|0|167.0|0|0.0|100
0|2021-12-17|10493.0|0|10493.0|0|167.0|0|0.0|100
