|dates|Potter_SouthDakota_UnitedStates.JHU_ConfirmedCases.data|Potter_SouthDakota_UnitedStates.JHU_ConfirmedCases.missing|Potter_SouthDakota_UnitedStates.NYT_ConfirmedCases.data|Potter_SouthDakota_UnitedStates.NYT_ConfirmedCases.missing|Potter_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Potter_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Potter_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Potter_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|408.0|0|408.0|0|4.0|0|0.0|100
0|2021-10-18|408.0|0|408.0|0|4.0|0|0.0|100
0|2021-10-19|408.0|0|410.0|0|4.0|0|0.0|100
0|2021-10-20|413.0|0|413.0|0|4.0|0|0.0|100
0|2021-10-21|415.0|0|415.0|0|4.0|0|0.0|100
0|2021-10-22|416.0|0|416.0|0|4.0|0|0.0|100
0|2021-10-23|416.0|0|416.0|0|4.0|0|0.0|100
0|2021-10-24|416.0|0|416.0|0|4.0|0|0.0|100
0|2021-10-25|417.0|0|417.0|0|4.0|0|0.0|100
0|2021-10-26|418.0|0|418.0|0|4.0|0|0.0|100
0|2021-10-27|422.0|0|422.0|0|4.0|0|0.0|100
0|2021-10-28|424.0|0|424.0|0|4.0|0|0.0|100
0|2021-10-29|425.0|0|425.0|0|4.0|0|0.0|100
0|2021-10-30|425.0|0|425.0|0|4.0|0|0.0|100
0|2021-10-31|425.0|0|425.0|0|4.0|0|0.0|100
0|2021-11-01|426.0|0|426.0|0|4.0|0|0.0|100
0|2021-11-02|426.0|0|426.0|0|4.0|0|0.0|100
0|2021-11-03|427.0|0|427.0|0|4.0|0|0.0|100
0|2021-11-04|432.0|0|432.0|0|4.0|0|0.0|100
0|2021-11-05|433.0|0|433.0|0|4.0|0|0.0|100
0|2021-11-06|433.0|0|433.0|0|4.0|0|0.0|100
0|2021-11-07|433.0|0|433.0|0|4.0|0|0.0|100
0|2021-11-08|434.0|0|434.0|0|4.0|0|0.0|100
0|2021-11-09|435.0|0|435.0|0|4.0|0|0.0|100
0|2021-11-10|435.0|0|437.0|0|4.0|0|0.0|100
0|2021-11-11|437.0|0|437.0|0|4.0|0|0.0|100
0|2021-11-12|439.0|0|439.0|0|4.0|0|0.0|100
0|2021-11-13|439.0|0|439.0|0|4.0|0|0.0|100
0|2021-11-14|439.0|0|439.0|0|4.0|0|0.0|100
0|2021-11-15|441.0|0|441.0|0|4.0|0|0.0|100
0|2021-11-16|441.0|0|441.0|0|4.0|0|0.0|100
0|2021-11-17|442.0|0|442.0|0|4.0|0|0.0|100
0|2021-11-18|446.0|0|446.0|0|4.0|0|0.0|100
0|2021-11-19|451.0|0|451.0|0|4.0|0|0.0|100
0|2021-11-20|451.0|0|451.0|0|4.0|0|0.0|100
0|2021-11-21|451.0|0|451.0|0|4.0|0|0.0|100
0|2021-11-22|454.0|0|454.0|0|4.0|0|0.0|100
0|2021-11-23|459.0|0|459.0|0|5.0|0|0.0|100
0|2021-11-24|462.0|0|462.0|0|5.0|0|0.0|100
0|2021-11-25|462.0|0|462.0|0|5.0|0|0.0|100
0|2021-11-26|462.0|0|462.0|0|5.0|0|0.0|100
0|2021-11-27|462.0|0|462.0|0|5.0|0|0.0|100
0|2021-11-28|462.0|0|462.0|0|5.0|0|0.0|100
0|2021-11-29|464.0|0|464.0|0|5.0|0|0.0|100
0|2021-11-30|468.0|0|468.0|0|5.0|0|0.0|100
0|2021-12-01|474.0|0|474.0|0|5.0|0|0.0|100
0|2021-12-02|476.0|0|476.0|0|5.0|0|0.0|100
0|2021-12-03|476.0|0|476.0|0|5.0|0|0.0|100
0|2021-12-04|476.0|0|476.0|0|5.0|0|0.0|100
0|2021-12-05|476.0|0|476.0|0|5.0|0|0.0|100
0|2021-12-06|477.0|0|477.0|0|5.0|0|0.0|100
0|2021-12-07|483.0|0|483.0|0|5.0|0|0.0|100
0|2021-12-08|487.0|0|487.0|0|5.0|0|0.0|100
0|2021-12-09|489.0|0|489.0|0|5.0|0|0.0|100
0|2021-12-10|490.0|0|490.0|0|5.0|0|0.0|100
0|2021-12-11|490.0|0|490.0|0|5.0|0|0.0|100
0|2021-12-12|490.0|0|490.0|0|5.0|0|0.0|100
0|2021-12-13|491.0|0|491.0|0|5.0|0|0.0|100
0|2021-12-14|491.0|0|495.0|0|5.0|0|0.0|100
0|2021-12-15|500.0|0|500.0|0|5.0|0|0.0|100
0|2021-12-16|500.0|0|500.0|0|5.0|0|0.0|100
0|2021-12-17|502.0|0|502.0|0|5.0|0|0.0|100
0|2021-12-18|502.0|0|502.0|0|5.0|0|0.0|100
0|2021-12-19|502.0|0|502.0|0|5.0|0|0.0|100
0|2021-12-20|505.0|0|505.0|0|5.0|0|0.0|100
0|2021-12-21|509.0|0|509.0|0|5.0|0|0.0|100
0|2021-12-22|512.0|0|512.0|0|5.0|0|0.0|100
0|2021-12-23|514.0|0|514.0|0|5.0|0|0.0|100
0|2021-12-24|514.0|0|514.0|0|5.0|0|0.0|100
0|2021-12-25|514.0|0|514.0|0|5.0|0|0.0|100
0|2021-12-26|514.0|0|514.0|0|5.0|0|0.0|100
0|2021-12-27|517.0|0|517.0|0|5.0|0|0.0|100
0|2021-12-28|517.0|0|518.0|0|5.0|0|0.0|100
0|2021-12-29|518.0|0|518.0|0|5.0|0|0.0|100
0|2021-12-30|519.0|0|519.0|0|5.0|0|0.0|100
0|2021-12-31|519.0|0|519.0|0|5.0|0|0.0|100
0|2022-01-01|519.0|0|519.0|0|5.0|0|0.0|100
0|2022-01-02|519.0|0|519.0|0|5.0|0|0.0|100
0|2022-01-03|520.0|0|520.0|0|5.0|0|0.0|100
0|2022-01-04|522.0|0|522.0|0|5.0|0|0.0|100
0|2022-01-05|525.0|0|525.0|0|5.0|0|0.0|100
0|2022-01-06|530.0|0|530.0|0|5.0|0|0.0|100
0|2022-01-07|535.0|0|535.0|0|5.0|0|0.0|100
0|2022-01-08|535.0|0|535.0|0|5.0|0|0.0|100
0|2022-01-09|535.0|0|535.0|0|5.0|0|0.0|100
0|2022-01-10|540.0|0|540.0|0|5.0|0|0.0|100
0|2022-01-11|550.0|0|550.0|0|5.0|0|0.0|100
0|2022-01-12|556.0|0|556.0|0|5.0|0|0.0|100
0|2022-01-13|556.0|0|567.0|0|5.0|0|0.0|100
0|2022-01-14|567.0|0|576.0|0|5.0|0|0.0|100
0|2022-01-15|576.0|0|576.0|0|5.0|0|0.0|100
0|2022-01-16|576.0|0|576.0|0|5.0|0|0.0|100
0|2022-01-17|576.0|0|0.0|100|5.0|0|0.0|100
