|dates|Furnas_Nebraska_UnitedStates.JHU_ConfirmedCases.data|Furnas_Nebraska_UnitedStates.JHU_ConfirmedCases.missing|Furnas_Nebraska_UnitedStates.NYT_ConfirmedCases.data|Furnas_Nebraska_UnitedStates.NYT_ConfirmedCases.missing|Furnas_Nebraska_UnitedStates.JHU_ConfirmedDeaths.data|Furnas_Nebraska_UnitedStates.JHU_ConfirmedDeaths.missing|Furnas_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.data|Furnas_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|630.0|0|630.0|0|5.0|0|0.0|100
0|2021-10-18|637.0|0|637.0|0|5.0|0|0.0|100
0|2021-10-19|638.0|0|638.0|0|5.0|0|0.0|100
0|2021-10-20|638.0|0|638.0|0|5.0|0|0.0|100
0|2021-10-21|641.0|0|641.0|0|5.0|0|0.0|100
0|2021-10-22|641.0|0|641.0|0|5.0|0|0.0|100
0|2021-10-23|641.0|0|641.0|0|5.0|0|0.0|100
0|2021-10-24|641.0|0|641.0|0|5.0|0|0.0|100
0|2021-10-25|641.0|0|641.0|0|5.0|0|0.0|100
0|2021-10-26|641.0|0|641.0|0|5.0|0|0.0|100
0|2021-10-27|661.0|0|661.0|0|5.0|0|0.0|100
0|2021-10-28|661.0|0|661.0|0|5.0|0|0.0|100
0|2021-10-29|661.0|0|662.0|0|5.0|0|0.0|100
0|2021-10-30|661.0|0|662.0|0|5.0|0|0.0|100
0|2021-10-31|661.0|0|664.0|0|5.0|0|0.0|100
0|2021-11-01|661.0|0|671.0|0|5.0|0|0.0|100
0|2021-11-02|661.0|0|671.0|0|5.0|0|0.0|100
0|2021-11-03|681.0|0|681.0|0|5.0|0|0.0|100
0|2021-11-04|681.0|0|681.0|0|5.0|0|0.0|100
0|2021-11-05|681.0|0|681.0|0|5.0|0|0.0|100
0|2021-11-06|681.0|0|681.0|0|5.0|0|0.0|100
0|2021-11-07|681.0|0|681.0|0|5.0|0|0.0|100
0|2021-11-08|702.0|0|702.0|0|5.0|0|0.0|100
0|2021-11-09|705.0|0|705.0|0|5.0|0|0.0|100
0|2021-11-10|705.0|0|709.0|0|5.0|0|0.0|100
0|2021-11-11|716.0|0|716.0|0|5.0|0|0.0|100
0|2021-11-12|725.0|0|725.0|0|5.0|0|0.0|100
0|2021-11-13|725.0|0|725.0|0|5.0|0|0.0|100
0|2021-11-14|725.0|0|725.0|0|5.0|0|0.0|100
0|2021-11-15|730.0|0|730.0|0|5.0|0|0.0|100
0|2021-11-16|733.0|0|733.0|0|5.0|0|0.0|100
0|2021-11-17|737.0|0|737.0|0|5.0|0|0.0|100
0|2021-11-18|742.0|0|742.0|0|5.0|0|0.0|100
0|2021-11-19|750.0|0|750.0|0|5.0|0|0.0|100
0|2021-11-20|750.0|0|750.0|0|5.0|0|0.0|100
0|2021-11-21|750.0|0|750.0|0|5.0|0|0.0|100
0|2021-11-22|753.0|0|753.0|0|5.0|0|0.0|100
0|2021-11-23|755.0|0|755.0|0|5.0|0|0.0|100
0|2021-11-24|757.0|0|757.0|0|5.0|0|0.0|100
0|2021-11-25|757.0|0|757.0|0|5.0|0|0.0|100
0|2021-11-26|757.0|0|757.0|0|5.0|0|0.0|100
0|2021-11-27|757.0|0|757.0|0|5.0|0|0.0|100
0|2021-11-28|757.0|0|757.0|0|5.0|0|0.0|100
0|2021-11-29|769.0|0|769.0|0|5.0|0|0.0|100
0|2021-11-30|773.0|0|773.0|0|5.0|0|0.0|100
0|2021-12-01|783.0|0|783.0|0|5.0|0|0.0|100
0|2021-12-02|783.0|0|783.0|0|5.0|0|0.0|100
0|2021-12-03|783.0|0|793.0|0|5.0|0|0.0|100
0|2021-12-04|793.0|0|793.0|0|5.0|0|0.0|100
0|2021-12-05|793.0|0|793.0|0|5.0|0|0.0|100
0|2021-12-06|795.0|0|795.0|0|5.0|0|0.0|100
0|2021-12-07|802.0|0|802.0|0|5.0|0|0.0|100
0|2021-12-08|807.0|0|807.0|0|5.0|0|0.0|100
0|2021-12-09|808.0|0|808.0|0|5.0|0|0.0|100
0|2021-12-10|809.0|0|809.0|0|5.0|0|0.0|100
0|2021-12-11|809.0|0|809.0|0|5.0|0|0.0|100
0|2021-12-12|809.0|0|809.0|0|5.0|0|0.0|100
0|2021-12-13|809.0|0|809.0|0|5.0|0|0.0|100
0|2021-12-14|809.0|0|808.0|0|5.0|0|0.0|100
0|2021-12-15|810.0|0|810.0|0|5.0|0|0.0|100
0|2021-12-16|811.0|0|811.0|0|5.0|0|0.0|100
