|dates|Huntingdon_Pennsylvania_UnitedStates.BLS_EmployedPopulation.data|Huntingdon_Pennsylvania_UnitedStates.BLS_EmployedPopulation.missing|Huntingdon_Pennsylvania_UnitedStates.BLS_UnemployedPopulation.data|Huntingdon_Pennsylvania_UnitedStates.BLS_UnemployedPopulation.missing|Huntingdon_Pennsylvania_UnitedStates.BLS_UnemploymentRate.data|Huntingdon_Pennsylvania_UnitedStates.BLS_UnemploymentRate.missing|Huntingdon_Pennsylvania_UnitedStates.BLS_LaborForcePopulation.data|Huntingdon_Pennsylvania_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|18109.0|0|1149.0|0|5.966351646069166|0|19258.0|0
0|2021-10-18|18109.0|0|1149.0|0|5.966351646069166|0|19258.0|0
0|2021-10-19|18109.0|0|1149.0|0|5.966351646069166|0|19258.0|0
0|2021-10-20|18109.0|0|1149.0|0|5.966351646069166|0|19258.0|0
0|2021-10-21|18109.0|0|1149.0|0|5.966351646069166|0|19258.0|0
0|2021-10-22|18109.0|0|1149.0|0|5.966351646069166|0|19258.0|0
0|2021-10-23|18109.0|0|1149.0|0|5.966351646069166|0|19258.0|0
0|2021-10-24|18109.0|0|1149.0|0|5.966351646069166|0|19258.0|0
0|2021-10-25|18109.0|0|1149.0|0|5.966351646069166|0|19258.0|0
0|2021-10-26|18109.0|0|1149.0|0|5.966351646069166|0|19258.0|0
0|2021-10-27|18109.0|0|1149.0|0|5.966351646069166|0|19258.0|0
0|2021-10-28|18109.0|0|1149.0|0|5.966351646069166|0|19258.0|0
0|2021-10-29|18109.0|0|1149.0|0|5.966351646069166|0|19258.0|0
0|2021-10-30|18109.0|0|1149.0|0|5.966351646069166|0|19258.0|0
0|2021-10-31|18109.0|0|1149.0|0|5.966351646069166|0|19258.0|0
0|2021-11-01|18109.0|0|1149.0|0|5.966351646069166|0|19258.0|0
0|2021-11-02|18109.0|0|1149.0|0|5.966351646069166|0|19258.0|0
0|2021-11-03|18109.0|0|1149.0|0|5.966351646069166|0|19258.0|0
0|2021-11-04|18109.0|0|1149.0|0|5.966351646069166|0|19258.0|0
