|dates|Hinsdale_Colorado_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Hinsdale_Colorado_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Hinsdale_Colorado_UnitedStates.Male_Total_Population.data|Hinsdale_Colorado_UnitedStates.Male_Total_Population.missing|Hinsdale_Colorado_UnitedStates.Female_Total_Population.data|Hinsdale_Colorado_UnitedStates.Female_Total_Population.missing|Hinsdale_Colorado_UnitedStates.MaleAndFemale_Under18_Population.data|Hinsdale_Colorado_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-10-18|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-10-19|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-10-20|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-10-21|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-10-22|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-10-23|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-10-24|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-10-25|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-10-26|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-10-27|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-10-28|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-10-29|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-10-30|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-10-31|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-11-01|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-11-02|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-11-03|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-11-04|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-11-05|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-11-06|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-11-07|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-11-08|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-11-09|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-11-10|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-11-11|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-11-12|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-11-13|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-11-14|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-11-15|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-11-16|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-11-17|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-11-18|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-11-19|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-11-20|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-11-21|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-11-22|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-11-23|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-11-24|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-11-25|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-11-26|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-11-27|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-11-28|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-11-29|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-11-30|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-12-01|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-12-02|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-12-03|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-12-04|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-12-05|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-12-06|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-12-07|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-12-08|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-12-09|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-12-10|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-12-11|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-12-12|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-12-13|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-12-14|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-12-15|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-12-16|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-12-17|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-12-18|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-12-19|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-12-20|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-12-21|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-12-22|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-12-23|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-12-24|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-12-25|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-12-26|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-12-27|246.0|0|418.0|0|393.0|0|126.0|0
0|2021-12-28|246.0|0|418.0|0|393.0|0|126.0|0
