|dates|Grant_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Grant_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Grant_NorthDakota_UnitedStates.Male_Total_Population.data|Grant_NorthDakota_UnitedStates.Male_Total_Population.missing|Grant_NorthDakota_UnitedStates.Female_Total_Population.data|Grant_NorthDakota_UnitedStates.Female_Total_Population.missing|Grant_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Grant_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-10-18|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-10-19|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-10-20|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-10-21|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-10-22|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-10-23|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-10-24|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-10-25|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-10-26|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-10-27|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-10-28|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-10-29|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-10-30|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-10-31|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-11-01|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-11-02|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-11-03|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-11-04|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-11-05|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-11-06|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-11-07|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-11-08|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-11-09|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-11-10|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-11-11|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-11-12|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-11-13|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-11-14|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-11-15|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-11-16|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-11-17|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-11-18|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-11-19|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-11-20|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-11-21|710.0|0|1185.0|0|1189.0|0|488.0|0
