|dates|Collin_Texas_UnitedStates.JHU_ConfirmedCases.data|Collin_Texas_UnitedStates.JHU_ConfirmedCases.missing|Collin_Texas_UnitedStates.NYT_ConfirmedCases.data|Collin_Texas_UnitedStates.NYT_ConfirmedCases.missing|Collin_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Collin_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Collin_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Collin_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|127569.0|0|127569.0|0|1081.0|0|0.0|100
0|2021-10-18|127723.0|0|127723.0|0|1081.0|0|0.0|100
0|2021-10-19|127923.0|0|127923.0|0|1090.0|0|0.0|100
0|2021-10-20|128037.0|0|128037.0|0|1097.0|0|0.0|100
0|2021-10-21|128184.0|0|128184.0|0|1101.0|0|0.0|100
0|2021-10-22|128337.0|0|128337.0|0|1107.0|0|0.0|100
0|2021-10-23|128487.0|0|128487.0|0|1115.0|0|0.0|100
0|2021-10-24|128614.0|0|128614.0|0|1115.0|0|0.0|100
0|2021-10-25|128707.0|0|128707.0|0|1115.0|0|0.0|100
0|2021-10-26|128882.0|0|128882.0|0|1117.0|0|0.0|100
0|2021-10-27|129019.0|0|129019.0|0|1119.0|0|0.0|100
0|2021-10-28|129153.0|0|129153.0|0|1122.0|0|0.0|100
0|2021-10-29|129302.0|0|129302.0|0|1127.0|0|0.0|100
0|2021-10-30|129447.0|0|129447.0|0|1129.0|0|0.0|100
0|2021-10-31|129547.0|0|129547.0|0|1130.0|0|0.0|100
0|2021-11-01|129641.0|0|129641.0|0|1130.0|0|0.0|100
0|2021-11-02|129729.0|0|129729.0|0|1130.0|0|0.0|100
0|2021-11-03|129803.0|0|129803.0|0|1131.0|0|0.0|100
0|2021-11-04|129892.0|0|129892.0|0|1136.0|0|0.0|100
0|2021-11-05|130014.0|0|130014.0|0|1138.0|0|0.0|100
0|2021-11-06|130133.0|0|130133.0|0|1139.0|0|0.0|100
0|2021-11-07|130260.0|0|130260.0|0|1140.0|0|0.0|100
0|2021-11-08|130343.0|0|130343.0|0|1140.0|0|0.0|100
0|2021-11-09|130389.0|0|130389.0|0|1142.0|0|0.0|100
0|2021-11-10|130389.0|0|130389.0|0|1142.0|0|0.0|100
0|2021-11-11|130578.0|0|130578.0|0|1147.0|0|0.0|100
0|2021-11-12|130747.0|0|130747.0|0|1149.0|0|0.0|100
0|2021-11-13|130817.0|0|130817.0|0|1151.0|0|0.0|100
0|2021-11-14|130817.0|0|130817.0|0|1151.0|0|0.0|100
0|2021-11-15|130817.0|0|130817.0|0|1151.0|0|0.0|100
0|2021-11-16|130817.0|0|130817.0|0|1153.0|0|0.0|100
0|2021-11-17|130817.0|0|130817.0|0|1155.0|0|0.0|100
0|2021-11-18|131486.0|0|131486.0|0|1157.0|0|0.0|100
0|2021-11-19|131486.0|0|131486.0|0|1158.0|0|0.0|100
0|2021-11-20|131507.0|0|131507.0|0|1158.0|0|0.0|100
0|2021-11-21|131507.0|0|131507.0|0|1158.0|0|0.0|100
0|2021-11-22|131717.0|0|131717.0|0|1158.0|0|0.0|100
0|2021-11-23|131941.0|0|131941.0|0|1161.0|0|0.0|100
0|2021-11-24|132045.0|0|132045.0|0|1163.0|0|0.0|100
0|2021-11-25|132045.0|0|132045.0|0|1163.0|0|0.0|100
0|2021-11-26|132045.0|0|132045.0|0|1163.0|0|0.0|100
0|2021-11-27|132045.0|0|132045.0|0|1163.0|0|0.0|100
0|2021-11-28|132045.0|0|132045.0|0|1163.0|0|0.0|100
0|2021-11-29|133004.0|0|133004.0|0|1165.0|0|0.0|100
0|2021-11-30|133141.0|0|133141.0|0|1165.0|0|0.0|100
0|2021-12-01|133195.0|0|133195.0|0|1168.0|0|0.0|100
0|2021-12-02|133286.0|0|133286.0|0|1170.0|0|0.0|100
0|2021-12-03|133383.0|0|133383.0|0|1172.0|0|0.0|100
0|2021-12-04|133383.0|0|133444.0|0|1172.0|0|0.0|100
0|2021-12-05|133492.0|0|133492.0|0|1175.0|0|0.0|100
0|2021-12-06|133653.0|0|133653.0|0|1175.0|0|0.0|100
0|2021-12-07|133779.0|0|133779.0|0|1176.0|0|0.0|100
0|2021-12-08|133834.0|0|133834.0|0|1181.0|0|0.0|100
0|2021-12-09|133928.0|0|133928.0|0|1182.0|0|0.0|100
0|2021-12-10|134856.0|0|134856.0|0|1186.0|0|0.0|100
0|2021-12-11|135010.0|0|135010.0|0|1189.0|0|0.0|100
0|2021-12-12|135099.0|0|135099.0|0|1190.0|0|0.0|100
0|2021-12-13|135270.0|0|135270.0|0|1190.0|0|0.0|100
0|2021-12-14|135270.0|0|135411.0|0|1190.0|0|0.0|100
0|2021-12-15|135552.0|0|135552.0|0|1190.0|0|0.0|100
