|dates|Thurston_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Thurston_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Thurston_Nebraska_UnitedStates.Male_Total_Population.data|Thurston_Nebraska_UnitedStates.Male_Total_Population.missing|Thurston_Nebraska_UnitedStates.Female_Total_Population.data|Thurston_Nebraska_UnitedStates.Female_Total_Population.missing|Thurston_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.data|Thurston_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|865.0|0|3605.0|0|3698.0|0|2641.0|0
0|2021-10-18|865.0|0|3605.0|0|3698.0|0|2641.0|0
0|2021-10-19|865.0|0|3605.0|0|3698.0|0|2641.0|0
0|2021-10-20|865.0|0|3605.0|0|3698.0|0|2641.0|0
0|2021-10-21|865.0|0|3605.0|0|3698.0|0|2641.0|0
0|2021-10-22|865.0|0|3605.0|0|3698.0|0|2641.0|0
0|2021-10-23|865.0|0|3605.0|0|3698.0|0|2641.0|0
0|2021-10-24|865.0|0|3605.0|0|3698.0|0|2641.0|0
0|2021-10-25|865.0|0|3605.0|0|3698.0|0|2641.0|0
0|2021-10-26|865.0|0|3605.0|0|3698.0|0|2641.0|0
0|2021-10-27|865.0|0|3605.0|0|3698.0|0|2641.0|0
0|2021-10-28|865.0|0|3605.0|0|3698.0|0|2641.0|0
0|2021-10-29|865.0|0|3605.0|0|3698.0|0|2641.0|0
0|2021-10-30|865.0|0|3605.0|0|3698.0|0|2641.0|0
0|2021-10-31|865.0|0|3605.0|0|3698.0|0|2641.0|0
0|2021-11-01|865.0|0|3605.0|0|3698.0|0|2641.0|0
0|2021-11-02|865.0|0|3605.0|0|3698.0|0|2641.0|0
0|2021-11-03|865.0|0|3605.0|0|3698.0|0|2641.0|0
0|2021-11-04|865.0|0|3605.0|0|3698.0|0|2641.0|0
0|2021-11-05|865.0|0|3605.0|0|3698.0|0|2641.0|0
0|2021-11-06|865.0|0|3605.0|0|3698.0|0|2641.0|0
0|2021-11-07|865.0|0|3605.0|0|3698.0|0|2641.0|0
0|2021-11-08|865.0|0|3605.0|0|3698.0|0|2641.0|0
0|2021-11-09|865.0|0|3605.0|0|3698.0|0|2641.0|0
0|2021-11-10|865.0|0|3605.0|0|3698.0|0|2641.0|0
0|2021-11-11|865.0|0|3605.0|0|3698.0|0|2641.0|0
0|2021-11-12|865.0|0|3605.0|0|3698.0|0|2641.0|0
