|dates|Davie_NorthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Davie_NorthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Davie_NorthCarolina_UnitedStates.Male_Total_Population.data|Davie_NorthCarolina_UnitedStates.Male_Total_Population.missing|Davie_NorthCarolina_UnitedStates.Female_Total_Population.data|Davie_NorthCarolina_UnitedStates.Female_Total_Population.missing|Davie_NorthCarolina_UnitedStates.MaleAndFemale_Under18_Population.data|Davie_NorthCarolina_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|9044.0|0|20849.0|0|21884.0|0|8979.0|0
0|2021-10-18|9044.0|0|20849.0|0|21884.0|0|8979.0|0
0|2021-10-19|9044.0|0|20849.0|0|21884.0|0|8979.0|0
0|2021-10-20|9044.0|0|20849.0|0|21884.0|0|8979.0|0
0|2021-10-21|9044.0|0|20849.0|0|21884.0|0|8979.0|0
0|2021-10-22|9044.0|0|20849.0|0|21884.0|0|8979.0|0
0|2021-10-23|9044.0|0|20849.0|0|21884.0|0|8979.0|0
0|2021-10-24|9044.0|0|20849.0|0|21884.0|0|8979.0|0
0|2021-10-25|9044.0|0|20849.0|0|21884.0|0|8979.0|0
0|2021-10-26|9044.0|0|20849.0|0|21884.0|0|8979.0|0
0|2021-10-27|9044.0|0|20849.0|0|21884.0|0|8979.0|0
0|2021-10-28|9044.0|0|20849.0|0|21884.0|0|8979.0|0
0|2021-10-29|9044.0|0|20849.0|0|21884.0|0|8979.0|0
0|2021-10-30|9044.0|0|20849.0|0|21884.0|0|8979.0|0
0|2021-10-31|9044.0|0|20849.0|0|21884.0|0|8979.0|0
0|2021-11-01|9044.0|0|20849.0|0|21884.0|0|8979.0|0
0|2021-11-02|9044.0|0|20849.0|0|21884.0|0|8979.0|0
0|2021-11-03|9044.0|0|20849.0|0|21884.0|0|8979.0|0
0|2021-11-04|9044.0|0|20849.0|0|21884.0|0|8979.0|0
0|2021-11-05|9044.0|0|20849.0|0|21884.0|0|8979.0|0
0|2021-11-06|9044.0|0|20849.0|0|21884.0|0|8979.0|0
0|2021-11-07|9044.0|0|20849.0|0|21884.0|0|8979.0|0
0|2021-11-08|9044.0|0|20849.0|0|21884.0|0|8979.0|0
0|2021-11-09|9044.0|0|20849.0|0|21884.0|0|8979.0|0
0|2021-11-10|9044.0|0|20849.0|0|21884.0|0|8979.0|0
0|2021-11-11|9044.0|0|20849.0|0|21884.0|0|8979.0|0
0|2021-11-12|9044.0|0|20849.0|0|21884.0|0|8979.0|0
0|2021-11-13|9044.0|0|20849.0|0|21884.0|0|8979.0|0
0|2021-11-14|9044.0|0|20849.0|0|21884.0|0|8979.0|0
0|2021-11-15|9044.0|0|20849.0|0|21884.0|0|8979.0|0
0|2021-11-16|9044.0|0|20849.0|0|21884.0|0|8979.0|0
0|2021-11-17|9044.0|0|20849.0|0|21884.0|0|8979.0|0
0|2021-11-18|9044.0|0|20849.0|0|21884.0|0|8979.0|0
0|2021-11-19|9044.0|0|20849.0|0|21884.0|0|8979.0|0
0|2021-11-20|9044.0|0|20849.0|0|21884.0|0|8979.0|0
